epoch,split,week,tow,time_gps_s,obs_count,obs_count_ls_gate,coarse_ok,coarse_iter,coarse_rx_x_m,coarse_rx_y_m,coarse_rx_z_m,coarse_cb_m,gt_lat_deg,gt_lon_deg,gt_h_m,speed_mps,is_static
1,train,2206,379365.208049767,1334568165.20805,6,6,1,6,-2399704.6175566204,5383203.290583172,2429711.011968496,-14943.304078628218,22.5395161633321,114.026177252802,5.26845383919431,0.136970751124754,0
2,train,2206,379365.505050401,1334568165.50505,6,6,1,2,-2399704.409808909,5383203.085796087,2429710.865995806,-15114.145114709061,22.5395163491475,114.026177052244,5.31207848200571,0.195321741405967,1
3,train,2206,379366.005051317,1334568166.00505,8,8,1,2,-2399704.413175584,5383208.564679164,2429710.3546396154,-15399.082400264733,22.539516600761,114.02617680534,5.36605669673026,0.0173515677063204,1
4,train,2206,379366.505052273,1334568166.50505,8,8,1,2,-2399703.6985031674,5383204.024593144,2429710.803936558,-15688.180588087265,22.5395167493792,114.02617664958,5.39996047981104,0.114161845492808,1
5,train,2206,379367.005053228,1334568167.00505,9,9,1,2,-2399704.0237815036,5383203.669707478,2429710.9232594743,-15974.848167860471,22.539516899788,114.026176498873,5.4297057621353,0.0151588961771892,1
6,train,2206,379367.505054186,1334568167.50505,9,9,1,2,-2399703.8898038846,5383201.8569374895,2429711.0718955654,-16262.614811266627,22.5395170513657,114.026176450421,5.42433738772415,0.0483985851625378,1
7,train,2206,379368.005055144,1334568168.00506,9,9,1,2,-2399703.64244445,5383201.394991284,2429710.8998780428,-16550.13131396337,22.5395172003009,114.026176401367,5.41730263235974,0.0179519936058585,1
8,train,2206,379368.505056104,1334568168.50506,9,9,1,2,-2399703.6770843067,5383202.48752391,2429710.3662272277,-16836.96992095383,22.5395171555682,114.02617634771,5.3806228593167,0.104514544542872,1
9,train,2206,379369.005057063,1334568169.00506,9,9,1,2,-2399703.5624804813,5383202.083957812,2429710.1701615425,-17124.375732607314,22.5395170979907,114.026176298358,5.35071961080019,0.0136891999886452,1
10,train,2206,379369.505058022,1334568169.50506,9,9,1,2,-2399703.1639497476,5383202.692935961,2429709.2834762684,-17411.89301224168,22.5395170458928,114.026175998081,5.34139369847758,0.100468149015112,1
11,train,2206,379370.005058981,1334568170.00506,9,9,1,2,-2399702.9426594586,5383202.311524134,2429709.0907408437,-17699.37517646782,22.5395169985781,114.026175702182,5.33558476428129,0.0266036692202985,1
12,train,2206,379370.505059939,1334568170.50506,10,9,1,2,-2399702.953774316,5383202.279367282,2429708.8888601754,-17986.577206619084,22.5395170459635,114.026175349768,5.35284360846055,0.114679046827871,1
13,train,2206,379371.005060897,1334568171.00506,10,9,1,2,-2399702.9926501513,5383202.630253798,2429708.724214383,-18273.649074970865,22.5395170998897,114.026175002998,5.36590137744977,0.0148468894533687,1
14,train,2206,379371.505061854,1334568171.50506,9,9,1,2,-2399702.943392388,5383202.635560182,2429708.6973164426,-18560.797459342455,22.539517152829,114.026174646515,5.37794338054505,0.113415459629504,1
15,train,2206,379372.005062808,1334568172.00506,9,9,1,2,-2399702.9981770823,5383202.978629469,2429708.263622339,-18846.832714216343,22.5395171965228,114.026174297987,5.39229517315416,0.0196404291485636,1
16,train,2206,379372.505063766,1334568172.50506,9,9,1,2,-2399703.04944237,5383203.262674421,2429708.412511032,-19133.832312884537,22.5395173536264,114.02617399377,5.37834105417203,0.114977353522997,1
17,train,2206,379373.005064724,1334568173.00506,9,9,1,2,-2399703.1185381883,5383203.488057302,2429708.4540143223,-19420.873317167774,22.5395175046802,114.026173698292,5.36483092531158,0.0187251705943294,1
18,train,2206,379373.505065681,1334568173.50507,9,9,1,2,-2399703.201567955,5383203.661958438,2429708.628734307,-19707.831992525396,22.5395173961648,114.026173488868,5.36810652831908,0.0728078803691635,1
19,train,2206,379374.005066638,1334568174.00507,9,9,1,2,-2399703.413375015,5383203.72711239,2429708.984834391,-19994.636173816696,22.5395172985878,114.026173297706,5.36495694400405,0.0123333354328581,1
20,train,2206,379374.505067595,1334568174.50507,9,9,1,2,-2399703.535780793,5383204.130839833,2429708.971777242,-20281.600238134906,22.5395174944171,114.02617315157,5.37893337117852,0.0882953511339967,1
21,train,2206,379375.005068552,1334568175.00507,9,9,1,2,-2399703.4774246425,5383203.964014698,2429708.94340663,-20568.820234369818,22.5395176993484,114.026173000332,5.39110489994289,0.0192328391490122,1
22,train,2206,379375.505069509,1334568175.50507,9,9,1,2,-2399703.485913025,5383204.050323257,2429709.1947224606,-20855.779174357802,22.5395176081161,114.026172846885,5.3841730531679,0.0607349000020853,1
23,train,2206,379376.005070466,1334568176.00507,9,9,1,2,-2399703.54600545,5383204.154920923,2429709.0189724322,-21143.005528275462,22.5395175055682,114.026172700306,5.38283571828623,0.0112443973011977,1
24,train,2206,379376.505071423,1334568176.50507,9,9,1,2,-2399703.55674956,5383204.304773192,2429708.8214024655,-21430.238556219425,22.5395174588236,114.026172500897,5.37633122832718,0.0677812793051881,1
25,train,2206,379377.005072383,1334568177.00507,9,9,1,2,-2399703.4838968245,5383204.795939489,2429708.768971016,-21717.373945079016,22.539517393933,114.026172302479,5.37345173740879,0.0212232834444965,1
26,train,2206,379377.505073342,1334568177.50507,9,9,1,2,-2399703.368629976,5383204.990963103,2429708.692039942,-22004.57424912437,22.5395174477969,114.026172147888,5.36843997965338,0.0549026683362379,1
27,train,2206,379378.005074302,1334568178.00507,10,10,1,2,-2399703.312795386,5383205.370729992,2429708.380016567,-22291.893682359638,22.5395174976501,114.026171997612,5.36669604316035,0.0324542648770085,1
28,train,2206,379378.505075261,1334568178.50508,14,14,1,2,-2399694.9576948946,5383203.792842218,2429699.042827349,-22579.766921394945,22.539517641816,114.026171945495,5.37115057845622,0.0515017337671674,1
29,train,2206,379379.005076219,1334568179.00508,14,14,1,2,-2399694.968414461,5383203.697252376,2429699.012429313,-22866.887561063555,22.5395177951724,114.026171897096,5.36809833147957,0.0054037257439643,1
30,train,2206,379379.505077176,1334568179.50508,14,14,1,2,-2399694.952209153,5383203.75209231,2429699.106171312,-23153.922929674718,22.5395178929406,114.026171798951,5.37736311045617,0.0493257811524123,1
31,train,2206,379380.005078135,1334568180.00508,14,14,1,2,-2399694.831966925,5383203.893643,2429698.7560165166,-23441.2712328618,22.539518002058,114.026171703568,5.38333621985763,0.0134315563953052,1
32,train,2206,379380.505079089,1334568180.50508,14,14,1,2,-2399694.803813591,5383203.530142476,2429698.796182992,-23728.325259861012,22.5395179014215,114.026171546588,5.38226674670426,0.0604287600553069,1
33,train,2206,379381.005080047,1334568181.00508,14,14,1,2,-2399694.738443043,5383203.779944258,2429698.58601664,-24015.47945893701,22.5395178028267,114.026171396589,5.37905214239899,0.018828256127269,1
34,train,2206,379381.505081004,1334568181.50508,14,14,1,2,-2399694.761565007,5383203.767207721,2429698.6406332254,-24302.457477041782,22.5395177040842,114.026171198729,5.38803802031823,0.0800445129560892,1
35,train,2206,379382.00508196,1334568182.00508,14,14,1,2,-2399694.7107916987,5383203.484440468,2429698.5716954353,-24589.602660008113,22.5395175980447,114.026170999372,5.39978408663996,0.00763867965614838,1
36,train,2206,379382.505082916,1334568182.50508,14,14,1,2,-2399694.7233767174,5383203.229763676,2429698.521844456,-24876.716466973343,22.5395176013749,114.026170943949,5.38567142755474,0.0418627986523239,1
37,train,2206,379383.005083874,1334568183.00508,14,14,1,2,-2399694.7287755623,5383203.1201917445,2429698.5091277696,-25163.768639498616,22.539517602866,114.02617089715,5.37240974989279,0.00570406290814984,1
38,train,2206,379383.505084832,1334568183.50508,14,14,1,2,-2399694.8835827014,5383203.25476836,2429698.5263675046,-25450.68183906823,22.5395176999686,114.026170902382,5.34592468848456,0.0840202319113252,1
39,train,2206,379384.005085789,1334568184.00509,14,14,1,2,-2399694.9300067252,5383203.204813974,2429698.601058229,-25737.63076088698,22.5395177991679,114.026170897584,5.31739490935744,0.0156168688109094,1
40,train,2206,379384.505086747,1334568184.50509,14,14,1,2,-2399694.926032013,5383203.233857817,2429698.647611792,-26024.606919574788,22.5395178971486,114.026170844732,5.31002701154842,0.0368374203369153,1
41,train,2206,379385.005087705,1334568185.00509,14,14,1,2,-2399694.873766852,5383203.274808967,2429698.70114257,-26311.65129725626,22.5395179997525,114.026170800259,5.30039157559906,0.0223825241579406,1
42,train,2206,379385.505088662,1334568185.50509,14,14,1,2,-2399694.825068635,5383203.141536506,2429698.6761758192,-26598.758971728643,22.5395180541662,114.026170651541,5.3260213509904,0.098109118603059,1
43,train,2206,379386.00508962,1334568186.00509,14,14,1,2,-2399694.7007790348,5383202.9534885585,2429698.5394481434,-26885.929964758514,22.5395180988706,114.026170504638,5.34953088073293,0.0251564241088107,1
44,train,2206,379386.505090578,1334568186.50509,14,14,1,2,-2399694.7219899627,5383202.787486696,2429698.6129049486,-27172.941459631627,22.5395181537499,114.026170354918,5.37596895967835,0.103619605376113,1
45,train,2206,379387.005091536,1334568187.00509,14,14,1,2,-2399694.651773705,5383202.412478385,2429698.5883985353,-27460.1825026027,22.5395182006498,114.026170201966,5.40324698076014,0.0180122984862799,1
46,train,2206,379387.505092494,1334568187.50509,14,14,1,2,-2399694.5769227976,5383202.2639695695,2429698.748006445,-27747.262117219907,22.5395181971686,114.02617004609,5.4262156860957,0.0876434999198391,1
47,train,2206,379388.005093452,1334568188.00509,14,14,1,2,-2399694.423804783,5383202.099125138,2429698.625976565,-28034.589753970493,22.539518200801,114.026169896609,5.44491643724175,0.0310651984960794,1
48,train,2206,379388.505094409,1334568188.50509,15,15,1,2,-2399695.763321782,5383203.724642021,2429703.8599168723,-28317.709088937034,22.5395182055654,114.026169798333,5.45443613003808,0.0524675747856448,1
49,train,2206,379389.005095364,1334568189.0051,15,15,1,2,-2399694.5605123024,5383201.965698991,2429699.239546153,-28608.471584900813,22.5395182038515,114.026169699939,5.46497112539133,0.024415710958534,1
50,train,2206,379389.505096321,1334568189.5051,15,15,1,2,-2399694.1090063057,5383201.314870301,2429697.882791757,-28896.795236908332,22.5395182037019,114.026169596544,5.47242371442265,0.0434355856668953,1
51,train,2206,379390.005097278,1334568190.0051,15,15,1,2,-2399694.3555616024,5383201.055461142,2429698.886779239,-29183.404539712712,22.5395182013917,114.026169495486,5.47598215044248,0.0372514905358409,1
52,train,2206,379390.505098237,1334568190.5051,15,15,1,2,-2399693.9417481394,5383200.260882665,2429697.784776536,-29471.584623958297,22.5395181480187,114.02616924577,5.47843859907406,0.0796319889522949,1
