epoch,week,tow,time_gps_s,gt_ecef_x_m,gt_ecef_y_m,gt_ecef_z_m,gt_lat_deg,gt_lon_deg,gt_h_m,gt_vel_x_mps,gt_vel_y_mps,gt_vel_z_mps,speed_mps,is_static
1,2206,379365.208049767,1334568165.20805,-2399704.3719196,5383203.82090075,2429701.23892549,22.5395161633321,114.026177252802,5.26845383919431,0.0106811962784407,0.0999471198905056,0.0930455368909953,0.136970751124754,0
2,2206,379365.505050401,1334568165.50505,-2399704.36627008,5383203.85889796,2429701.27465274,22.5395163491475,114.026177052244,5.31207848200571,0.0236252067531009,0.140535921945666,0.133574274898329,0.195321741405967,1
3,2206,379366.005051317,1334568166.00505,-2399704.35902239,5383203.90501948,2429701.32107849,22.539516600761,114.02617680534,5.36605669673026,-0.00423881607213416,0.00469778044074081,0.0161567385045445,0.0173515677063204,1
4,2206,379366.505052273,1334568166.50505,-2399704.35456914,5383203.93438214,2429701.34927503,22.5395167493792,114.02617664958,5.39996047981104,0.016038109402623,0.083842354491554,0.0758034669815697,0.114161845492808,1
5,2206,379367.005053228,1334568167.00505,-2399704.34899579,5383203.9599557,2429701.37606068,22.539516899788,114.026176498873,5.4297057621353,0.00109337564099322,-0.00888056893696165,0.0122365092397446,0.0151588961771892,1
6,2206,379367.505054186,1334568167.50505,-2399704.33980506,5383203.95157953,2429701.3895061,22.5395170513657,114.026176450421,5.42433738772415,0.0273423996609719,-0.0213253907911234,0.0337645366341814,0.0483985851625378,1
7,2206,379368.005055144,1334568168.00506,-2399704.3299767,5383203.94192533,2429701.40204248,22.5395172003009,114.026176401367,5.41730263235974,0.00509727688708022,-0.015388409662145,0.00771289121090286,0.0179519936058585,1
8,2206,379368.505056104,1334568168.50506,-2399704.31191493,5383203.91496413,2429701.38340716,22.5395171555682,114.02617634771,5.3806228593167,0.0500452500692317,-0.0701704057216008,-0.0591174858005486,0.104514544542872,1
9,2206,379369.005057063,1334568169.00506,-2399704.2970279,5383203.89403728,2429701.36605566,22.5395170979907,114.026176298358,5.35071961080019,-0.0045022303239548,0.00745102087352059,0.0105643933276619,0.0136891999886452,1
10,2206,379369.505058022,1334568169.50506,-2399704.26620887,5383203.90076628,2429701.35715232,22.5395170458928,114.026175998081,5.34139369847758,0.0938774009292055,0.0177589587781796,-0.0310725271649227,0.100468149015112,1
