epoch,split,week,tow,time_gps_s,obs_count,obs_count_ls_gate,coarse_ok,coarse_iter,coarse_rx_x_m,coarse_rx_y_m,coarse_rx_z_m,coarse_cb_m,gt_lat_deg,gt_lon_deg,gt_h_m,speed_mps,is_static
1,train,1900,130925.899999913,1149250925.9,17,15,1,6,3784212.294455462,901261.3268574895,5037761.250503031,-55721.979781168804,52.5116592071648,13.3962173447854,75.4481837682877,0.0022172025240037,1
2,train,1900,130926.099999913,1149250926.1,17,15,1,2,3784212.2922820076,901261.3325900157,5037761.378739952,-55732.296297092646,52.5116592349959,13.3962173583901,75.4481192514583,0.0006820267217746,1
3,train,1900,130926.299999913,1149250926.3,17,15,1,2,3784211.9416662436,901261.269508106,5037763.5809222,-55741.62094095936,52.5116592825054,13.3962173447846,75.4480904028076,0.0001669155928669,1
4,train,1900,130926.499999913,1149250926.5,17,15,1,2,3784212.398220352,901261.0868571268,5037764.500230267,-55751.26823643165,52.5116592252187,13.3962173418045,75.448105321806,-0.0003008200804073,1
5,train,1900,130926.699999913,1149250926.6999998,17,15,1,2,3784212.0080623194,901261.2912234366,5037765.150466959,-55761.52298311754,52.5116592369077,13.3962173366821,75.4481659296523,0.0002206896586148,1
6,train,1900,130926.899999913,1149250926.9,17,15,1,2,3784211.5936179254,901261.4769501463,5037765.691817415,-55771.83926643906,52.5116592182523,13.3962173631761,75.4482637797626,0.0005349540137829,1
7,train,1900,130927.099999913,1149250927.1,17,15,1,2,3784211.8694350007,901261.3551295485,5037766.5763597395,-55781.58904299081,52.5116592399904,13.3962173676652,75.4483873604393,0.0009850600799081,1
8,train,1900,130927.299999913,1149250927.3,16,15,1,2,3784211.409228818,901261.5684662915,5037765.65566441,-55792.73555172143,52.511659204108,13.3962173634223,75.4485192879619,0.001946787866399,1
9,train,1900,130927.499999913,1149250927.5,16,15,1,2,3784211.424279479,901261.5780328319,5037766.241470438,-55802.75365159389,52.5116592290323,13.3962173411525,75.4486398137825,0.0017238107720195,1
10,train,1900,130927.699999913,1149250927.6999998,16,15,1,2,3784210.880560169,901261.8901919296,5037765.285667526,-55813.9829639159,52.5116592192746,13.3962173614521,75.4487388092232,0.0001138599288833,1
11,train,1900,130927.899999913,1149250927.9,16,15,1,2,3784210.2822618457,901262.1889083982,5037765.177815227,-55824.784693329435,52.5116591663171,13.3962173508037,75.448809305683,-0.0013780291028207,1
12,train,1900,130928.099999913,1149250928.1,16,15,1,2,3784208.5854376233,901262.8651166653,5037764.466951565,-55836.48296512113,52.51165915177,13.3962173659641,75.4488435750776,-0.0030032470400939,1
13,train,1900,130928.299999913,1149250928.3,16,15,1,2,3784209.094511092,901262.6916237111,5037764.377434468,-55846.6908971991,52.5116592428019,13.3962173597819,75.4488343388354,-0.0048346606912272,1
14,train,1900,130928.499999913,1149250928.5,16,15,1,2,3784209.8649057685,901262.3841747884,5037764.727782383,-55856.438614968465,52.5116592512964,13.3962174047661,75.4487747051411,-0.0061100527562275,1
15,train,1900,130928.699999913,1149250928.6999998,16,15,1,2,3784209.1752487794,901262.7284782557,5037763.736882764,-55867.74549743595,52.5116592746089,13.3962174032886,75.4486570351657,-0.0050923723759291,1
16,train,1900,130928.899999913,1149250928.9,16,15,1,2,3784208.460064619,901263.0910618913,5037762.950878428,-55878.945271039294,52.5116592684996,13.3962174004972,75.4484693250244,-0.0009256142490982,1
17,train,1900,130929.099999913,1149250929.1,16,15,1,2,3784208.170318834,901263.2728748745,5037762.485714098,-55889.74110169367,52.5116592596064,13.3962173920152,75.4481947380715,0.0019694372447876,1
18,train,1900,130929.299999913,1149250929.3,16,15,1,2,3784208.5607955335,901263.1057418721,5037762.766054445,-55899.70992878977,52.5116592624641,13.3962173874299,75.4478145648294,0.003103111262667,1
19,train,1900,130929.499999913,1149250929.5,16,15,1,2,3784207.0519323596,901263.5908436038,5037762.890324003,-55910.77815876017,52.5116592100634,13.3962173616032,75.447318800415,0.003259991998736,1
20,train,1900,130929.699999913,1149250929.6999998,16,15,1,2,3784207.1263189595,901263.5092270848,5037763.921895458,-55920.508773373076,52.5116592423315,13.3962173644411,75.4467066936142,0.0067818443048347,1
21,train,1900,130929.899999913,1149250929.9,16,15,1,2,3784207.2099298467,901263.4567765385,5037763.728132572,-55930.92875864135,52.5116591902275,13.396217344469,75.445989052358,0.0141451979701124,1
22,train,1900,130930.099999913,1149250930.1,16,15,1,2,3784207.3480085656,901263.5537351457,5037763.474629559,-55941.43420277332,52.5116591516698,13.3962171707456,75.445185494082,0.0251751900263086,1
23,train,1900,130930.299999913,1149250930.3,16,15,1,2,3784207.801584986,901263.1718844939,5037766.107780852,-55950.04428588724,52.5116590977134,13.3962171066116,75.4443225982601,0.0409378851247126,1
24,train,1900,130930.499999913,1149250930.5,16,15,1,2,3784210.1006507427,901261.9528791687,5037769.5248224465,-55957.17453326067,52.5116590121043,13.3962169695014,75.4434307864241,0.0706055993954648,1
25,train,1900,130930.699999913,1149250930.6999998,16,15,1,2,3784215.2598458203,901259.4313087093,5037773.283528488,-55962.56142838332,52.5116590674501,13.3962164133318,75.442540136821,0.143209583380256,0
26,train,1900,130930.899999913,1149250930.9,16,15,1,2,3784218.24777106,901258.4449795363,5037773.159806994,-55971.65069590029,52.5116590408301,13.3962156196853,75.4416836714372,0.27175381046618,0
27,train,1900,130931.099999913,1149250931.1,16,15,1,2,3784221.2718506386,901257.6076064418,5037773.203602268,-55980.95412195109,52.5116591197114,13.3962145428374,75.4409030323373,0.448715216750427,0
28,train,1900,130931.299999913,1149250931.3,16,15,1,2,3784218.7512956937,901258.8207095722,5037770.1386327315,-55994.52494163252,52.5116590268212,13.3962129739581,75.44024736512,0.649154603063424,0
29,train,1900,130931.499999913,1149250931.5,17,15,1,2,3784215.608603439,901260.0120017474,5037766.369606776,-56008.5117793853,52.5116589331192,13.3962107704197,75.4397642547224,0.856090593501617,0
30,train,1900,130931.699999913,1149250931.6999998,17,15,1,2,3784214.4191945214,901259.7461104121,5037763.186813263,-56020.6460364341,52.5116585840319,13.3962078625471,75.4394823283522,1.06642838155956,0
31,train,1900,130931.899999913,1149250931.9,17,15,1,2,3784211.7038690406,901260.406567488,5037760.862560539,-56033.247088563556,52.5116583063341,13.3962044377911,75.4394069113596,1.28084536131772,0
32,train,1900,130932.099999913,1149250932.1,17,15,1,2,3784213.2852762183,901259.0398620935,5037761.549467899,-56042.25495072518,52.511658054179,13.396200382122,75.4395280331605,1.49532051710796,0
33,train,1900,130932.299999913,1149250932.3,17,15,1,2,3784216.9657657277,901257.6626693993,5037766.234253447,-56048.34509482414,52.5116576786604,13.3961956904355,75.4398138010064,1.71445242237356,0
34,train,1900,130932.499999913,1149250932.5,16,15,1,2,3784217.0850703362,901257.5818513103,5037766.631623632,-56059.23160798836,52.5116571475523,13.396190351642,75.4402166585383,1.9510622499351,0
35,train,1900,130932.699999913,1149250932.6999998,16,15,1,2,3784217.9692251743,901257.1476484949,5037767.271592095,-56069.43743752637,52.5116565963985,13.396184300049,75.4406925754483,2.19953053643582,0
36,train,1900,130932.899999913,1149250932.9,16,15,1,2,3784217.316118622,901256.4141366747,5037767.131521082,-56080.11293295298,52.5116560486035,13.3961775209932,75.4411925955531,2.44334659587742,0
37,train,1900,130933.099999913,1149250933.1,16,15,1,2,3784219.834232321,901256.6546484099,5037767.5247852625,-56089.37972979822,52.5116553711024,13.3961700554,75.4416656303257,2.67622595821397,0
38,train,1900,130933.299999913,1149250933.3,16,15,1,2,3784223.69675743,901255.5467654221,5037766.620624055,-56098.72252659157,52.5116546467799,13.396161924033,75.4420674127146,2.89841848667854,0
39,train,1900,130933.499999913,1149250933.5,16,15,1,2,3784215.954688211,901256.9627581973,5037761.940534368,-56115.76901752003,52.5116539436006,13.3961531803935,75.4423639598124,3.11115900450478,0
40,train,1900,130933.699999913,1149250933.6999998,15,14,1,3,3784192.290102655,901253.7970230504,5037757.828788363,-56140.510091725024,52.5116529941822,13.3961438647236,75.4425196134103,3.30774931066769,0
41,train,1900,130933.899999913,1149250933.9,15,14,1,2,3784192.8139194436,901253.489106542,5037757.23538065,-56151.03675837508,52.5116518843437,13.3961340131768,75.4424979908371,3.47869968679615,0
42,train,1900,130934.099999913,1149250934.1,17,15,1,3,3784216.461825047,901254.1136582828,5037767.999464803,-56143.166036562725,52.5116507604752,13.3961237484875,75.4422582481599,3.6163867410506,0
43,train,1900,130934.299999913,1149250934.3,17,15,1,2,3784216.716656409,901253.3084809751,5037767.4957912965,-56153.7855002003,52.5116495599094,13.3961130954651,75.4417597209018,3.72379789267081,0
44,train,1900,130934.499999913,1149250934.5,17,15,1,2,3784219.121547856,901251.4681373393,5037770.967828359,-56161.27306056777,52.5116482840008,13.3961021568744,75.4409466008244,3.81487623056079,0
45,train,1900,130934.699999913,1149250934.6999998,17,15,1,2,3784221.550711459,901251.3027895478,5037772.999095847,-56169.54428229662,52.5116471205078,13.3960909448914,75.4397784375364,3.92301721898824,0
46,train,1900,130934.899999913,1149250934.9,17,15,1,2,3784218.8902961332,901250.336928882,5037770.5940951295,-56182.43522637771,52.5116459996401,13.3960793362383,75.4382437293648,4.08214470732687,0
47,train,1900,130935.099999913,1149250935.1,17,15,1,2,3784219.0468106633,901248.6883543902,5037771.939347003,-56192.107968386874,52.5116451060389,13.3960671508861,75.4363609332602,4.29726099229885,0
48,train,1900,130935.299999913,1149250935.3,16,15,1,2,3784220.320682409,901248.2839883305,5037773.568374599,-56201.50762669168,52.5116439617486,13.396054285885,75.4341625019545,4.55098254442621,0
49,train,1900,130935.499999913,1149250935.5,16,15,1,2,3784219.2234822265,901247.4762452735,5037773.277872217,-56212.892113431626,52.5116427751255,13.3960406318588,75.4316827410393,4.81186938080083,0
50,train,1900,130935.699999913,1149250935.6999998,16,15,1,2,3784217.4752865545,901246.176479273,5037774.4452619525,-56223.56183629117,52.5116415034425,13.3960262117637,75.4289524099592,5.0658323722806,0
51,train,1900,130935.899999913,1149250935.9,16,15,1,2,3784218.063446758,901245.420325559,5037777.057797011,-56232.0381160445,52.5116401706884,13.3960110631806,75.4260025217524,5.31458523145795,0
52,train,1900,130936.099999913,1149250936.1,16,15,1,2,3784217.9705946785,901243.7746453896,5037777.234633232,-56242.43879948133,52.511638769896,13.3959951781413,75.4228658029146,5.56199573859514,0
53,train,1900,130936.299999913,1149250936.3,16,15,1,2,3784218.7258038903,901242.9928413708,5037775.123460197,-56253.04868982475,52.5116374606587,13.3959785666269,75.4195754112863,5.80052927596358,0
54,train,1900,130936.499999913,1149250936.5,16,14,1,2,3784213.6927386224,901246.5438514653,5037744.920512939,-56283.47062580344,52.5116361370298,13.3959612887667,75.4161649899602,6.01281885171358,0
55,train,1900,130936.699999913,1149250936.6999998,16,14,1,2,3784210.702894583,901245.9229550721,5037741.491058081,-56297.4339237608,52.5116349256016,13.3959434161158,75.4126721739854,6.18002031647693,0
56,train,1900,130936.899999913,1149250936.9,17,14,1,2,3784209.4278828003,901244.3316978561,5037743.343552697,-56308.42735949678,52.5116335724864,13.395925150672,75.4091367293659,6.30546727746678,0
57,train,1900,130937.099999913,1149250937.1,17,14,1,2,3784210.111643208,901243.6251433793,5037743.111065013,-56318.89251900366,52.511632301316,13.3959065311197,75.4056003335715,6.41334380933907,0
58,train,1900,130937.299999913,1149250937.3,17,14,1,2,3784211.926076843,901240.8924223596,5037745.289917742,-56326.9443065531,52.5116312677568,13.3958875788207,75.4021076727984,6.52482379517361,0
59,train,1900,130937.499999913,1149250937.5,17,15,1,2,3784223.0646421956,901232.0653542941,5037788.0601585405,-56306.596571433394,52.5116301146124,13.3958682791914,75.3986985209219,6.63593180918459,0
60,train,1900,130937.699999913,1149250937.6999998,17,15,1,2,3784228.1653089277,901229.726864179,5037790.807013422,-56312.448412836195,52.5116288197379,13.3958487055128,75.3953949883076,6.73250097677394,0
61,train,1900,130937.899999913,1149250937.9,17,15,1,2,3784232.675982726,901226.5439757304,5037792.0777637055,-56320.922562434826,52.5116274655466,13.3958288817926,75.3922030508738,6.80494209181438,0
62,train,1900,130938.099999913,1149250938.1,16,14,1,2,3784224.0458553266,901223.7615467438,5037790.053552303,-56336.153798202475,52.5116260272974,13.3958088697206,75.3891137111978,6.85455447436136,0
63,train,1900,130938.299999913,1149250938.3,17,15,1,2,3784235.5025759675,901223.9928472991,5037794.496865178,-56338.76485131592,52.5116246872961,13.3957887393948,75.3860956922654,6.89274626107093,0
64,train,1900,130938.499999913,1149250938.5,17,15,1,2,3784235.9534272146,901222.2132917333,5037793.615069308,-56349.021974412004,52.5116233360066,13.395768495948,75.3831013649159,6.93217269039311,0
65,train,1900,130938.699999913,1149250938.6999998,17,15,1,2,3784237.0160272894,901221.3301821667,5037796.627115319,-56357.367117716414,52.5116219374697,13.3957481118443,75.3800778490591,6.98302955600099,0
66,train,1900,130938.899999913,1149250938.9,17,15,1,2,3784236.1655799914,901220.7127510965,5037795.61127692,-56367.83212697451,52.5116206336967,13.3957275653451,75.3769744371727,7.0485173162179,0
67,train,1900,130939.099999913,1149250939.1,17,15,1,2,3784237.098414414,901217.3926411249,5037796.85507078,-56377.284915275624,52.5116192872877,13.3957067922345,75.3737531663273,7.12695452390212,0
68,train,1900,130939.299999913,1149250939.3,17,13,1,2,3784230.682392503,901222.2348781871,5037753.148676368,-56416.762207729094,52.5116180367492,13.395685780951,75.3703974855265,7.21379372940742,0
69,train,1900,130939.499999913,1149250939.5,16,14,1,2,3784227.78224284,901222.038753881,5037748.67420794,-56431.06057253009,52.511616846499,13.3956645132972,75.3668951854802,7.29945453744762,0
70,train,1900,130939.699999913,1149250939.6999998,16,14,1,2,3784226.2694635447,901221.099993157,5037746.741992292,-56443.39501765069,52.5116156538186,13.3956430171405,75.3632326863765,7.37529124945943,0
71,train,1900,130939.899999913,1149250939.9,16,14,1,2,3784229.579487812,901219.9405330948,5037746.558008936,-56452.99196535501,52.5116142785403,13.3956213053329,75.3594088153444,7.43704925548718,0
72,train,1900,130940.099999913,1149250940.1,17,14,1,2,3784229.8167970255,901218.7819109737,5037747.306398531,-56463.04796501696,52.5116129774157,13.3955994301641,75.3554435960928,7.49288732335084,0
73,train,1900,130940.299999913,1149250940.3,15,13,1,2,3784212.48962722,901215.454692303,5037740.992939389,-56485.547618835546,52.5116118805965,13.3955773763174,75.351375533804,7.55347573164553,0
