epoch,week,tow,time_gps_s,gt_pos_E_x_m,gt_pos_E_y_m,gt_pos_E_z_m,gt_vel_E_x_mps,gt_vel_E_y_mps,gt_vel_E_z_mps,gt_lat_deg,gt_lon_deg,gt_h_m,gt_pos_std_N_n_m,gt_pos_std_N_e_m,gt_pos_std_N_d_m,speed_mps,is_static,sat_pos_E_x_m,sat_pos_E_y_m,sat_pos_E_z_m,sat_vel_E_x_mps,sat_vel_E_y_mps,sat_vel_E_z_mps,sat_bias_m,sat_drift_mps,elev_rad,azim_rad,elev_deg,azim_deg
1,1900,130925.9,1149250925.9,3784144.348412214,901246.3434095364,5037714.15416023,0.0006903935111018826,-0.002102214335939224,-0.00014155817902332567,52.5116592071648,13.3962173447854,75.4481837682877,8.458280074311542,0.9487447838723106,1.21271548355302e-05,0.0022172025240037,1,8774034.61950466,667563.4467543527,16486592.837465731,-119.13275738656075,346.68254014464196,-364.723537674251,32937.27492130248,-0.00022902125421958393,0.6549204753868743,-0.19210385379900607,37.52417915636941,-11.006740050881255
2,1900,130926.1,1149250926.1,3784144.3457694827,901246.3437296329,5037714.15599387,0.00021237308418900258,-0.000646654301082817,-4.3546954173075146e-05,52.5116592349959,13.3962173583901,75.4481192514583,5.494842162879997,0.7082027274204833,1.21400533761101e-05,0.0006820267217746,1,8774010.796511827,667632.7864619812,16486519.885729678,-119.15172078579023,346.6840927623674,-364.79828087338666,32937.27487549822,-0.00022902096027203645,0.6549199213807585,-0.19210679434261999,37.52414741415714,-11.006908531619805
3,1900,130926.3,1149250926.3,3784144.3418856133,901246.3418550804,5037714.159188514,5.19720838166261e-05,-0.00015825987501222067,-1.0655027310269957e-05,52.5116592825054,13.3962173447846,75.4480904028076,2.6553335629417507,0.8616249691375205,1.21685900476314e-05,0.0001669155928669,1,8773986.969724689,667702.1264800143,16486446.919047276,-119.17068405709503,346.68564570501684,-364.8730237388292,32937.27482969408,-0.0002290203819404055,0.6549193672469954,-0.19210973467831022,37.52411566463123,-11.007077000445205
4,1900,130926.5,1149250926.5,3784144.3468619296,901246.3428322718,5037714.155320668,-9.366520204613033e-05,0.0002852206430792367,1.9202485864560993e-05,52.5116592252187,13.3962173418045,75.448105321806,1.4699587570871815,0.48981805802167727,1.22135470709298e-05,-0.0003008200804073,1,8773963.139146073,667771.4668095111,16486373.9374143,-119.18964720088827,346.68719897228584,-364.94776626986453,32937.27478389005,-0.00022901995822287383,0.6549188123902832,-0.19211267277223762,37.524083873683395,-11.007245340827062
5,1900,130926.7,1149250926.7,3784144.3459743666,901246.3422633834,5037714.1561603835,6.871326963556323e-05,-0.00020924627134124213,-1.4085805809204985e-05,52.5116592369077,13.3962173366821,75.4481659296523,8.795918979761518,0.667637720394898,1.22731475769732e-05,0.0002206896586148,1,8773939.30477432,667840.8074488898,16486300.940833338,-119.20861021717157,346.6887525642728,-365.02250846685956,32937.27473808612,-0.00022901938652520424,0.6549182574953273,-0.19211561063604007,37.52405208054434,-11.007413668023727
6,1900,130926.9,1149250926.9,3784144.347217949,901246.34440863,5037714.154974608,0.00016657695163128618,-0.0005072092707281724,-3.4156576746783256e-05,52.5116592182523,13.3962173631761,75.4482637797626,4.183501729051959,0.8802629327594098,1.23434076974711e-05,0.0005349540137829,1,8773915.46660994,667910.1483997395,16486227.929304764,-119.22757310570302,346.69030648090336,-365.09725032939906,32937.27469228232,-0.00022901869841221282,0.6549177021676746,-0.192118547073795,37.524020262613604,-11.007581913513887
7,1900,130927.1,1149250927.1,3784144.3453533202,901246.3442778462,5037714.156544857,0.00030674619764072035,-0.0009339662550841623,-6.290600627585467e-05,52.5116592399904,13.3962173676652,75.4483873604393,4.723189450589752,0.6279167896770537,1.24194040661577e-05,0.0009850600799081,1,8773891.62465367,667979.4896616534,16486154.902826646,-119.24653586648299,346.69186072228297,-365.1719918575814,32937.274646478625,-0.00022901813017196058,0.6549171466473647,-0.1921214829521214,37.52398843364441,-11.00775012695115
8,1900,130927.3,1149250927.3,3784144.348580263,901246.3447502668,5037714.154219438,0.0006062292455807862,-0.0018458094787662945,-0.00012432403893624654,52.511659204108,13.3962173634223,75.4485192879619,3.179807208449984,0.5375497410238858,1.2496312592101e-05,0.001946787866399,1,10101627.488843149,101412.45186500924,16265712.559784522,44.218602474271485,354.1746529939977,-274.69749447366104,37929.439621951366,-0.00024294704633121,0.6866139353745534,-0.23867533254043885,39.340080651830164,-13.675089228448584
9,1900,130927.5,1149250927.5,3784144.34686106,901246.3427865602,5037714.156003047,0.0005367851477281108,-0.0016344015175437357,-0.00011007707463277244,52.5116592290323,13.3962173411525,75.4486398137825,6.246909110590053,0.8205050221078969,1.2569789568311e-05,0.0017238107720195,1,10101636.335924149,101483.28993234306,16265657.613361258,44.195127659823285,354.1735931927754,-274.770900187533,37929.43957336201,-0.00024294656088841293,0.6866150149168224,-0.2386785670539628,39.34014250504599,-13.675274552422287
10,1900,130927.7,1149250927.7,3784144.3474384937,901246.3443408343,5037714.155420766,3.545200589719991e-05,-0.00010795561469094291,-7.268007971632117e-06,52.5116592192746,13.3962173614521,75.4487388092232,6.144500262046337,1.2830957444594844,1.26353249045684e-05,0.0001138599288833,1,10101645.1783099,101554.12778782922,16265602.652255308,44.17165277407904,354.17253384411595,-274.84430565496393,37929.43952477278,-0.00024294591025864065,0.6866160940308361,-0.23868180016019527,39.340204333724586,-13.675459795764127
