epoch,split,week,tow,time_gps_s,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,ref_sys_id,cb_m,cd_mps,inter_gnss_m,ibb_m,used_obs,rejected_obs,pdop,r_inflation,gt_lat_deg,gt_lon_deg,gt_h_m,pred_lat_deg,pred_lon_deg,pred_h_m,enu_e_m,enu_n_m,enu_u_m,enu_3d_m,init_ok
1,train,2206,379365.208049767,1334568165.20805,-2399704.679969933,5383203.40566041,2429710.958026973,0.0,0.0,0.0,0,-14943.26345824949,0.0,2:0.000000;3:0.000000;6:0.000000,,6,0,5.137437506596315,1.0,22.5395161633321,114.026177252802,5.26845383919431,22.53959810477819,114.02618163153453,8.759541124105453,0.45042742286928594,9.074013623187236,3.4910807809417235,9.732844040470436,1
2,train,2206,379365.505050401,1334568165.50505,-2399704.679969933,5383203.40566041,2429710.958026973,0.0,0.0,0.0,0,-14943.26345824949,0.0,2:0.000000;3:0.000000;6:0.000000,,0,6,5.136862252041128,1.0,22.5395163491475,114.026177052244,5.31207848200571,22.53959810477819,114.02618163153453,8.759541124105453,0.4710582395057892,9.053436839751027,3.447456166735888,9.699049876041089,1
3,train,2206,379366.005051317,1334568166.00505,-2399704.679969933,5383203.40566041,2429710.958026973,0.0,0.0,0.0,0,-14943.26345824949,0.0,2:0.000000;3:0.000000;6:0.000000,,0,7,3.1350611768567784,1.0,22.539516600761,114.02617680534,5.36605669673026,22.53959810477819,114.02618163153453,8.759541124105453,0.49645653128501976,9.025573720623939,3.3934779893034426,9.655213251801326,1
4,train,2206,379366.505052273,1334568166.50505,-2399704.679969933,5383203.40566041,2429710.958026973,0.0,0.0,0.0,0,-14943.26345824949,0.0,2:0.000000;3:0.000000;6:0.000000,,0,7,3.135362179675333,1.0,22.5395167493792,114.02617664958,5.39996047981104,22.53959810477819,114.02618163153453,8.759541124105453,0.5124791085021511,9.009116072399216,3.359574228193214,9.628787371073944,1
5,train,2206,379367.005053228,1334568167.00505,-2399704.6756504797,5383203.400873625,2429710.960449317,0.0,0.0,0.0,0,-14943.267634365722,0.0,2:-1028.985911;3:0.000000;6:0.000000,,1,7,3.1187052509866833,1.0,22.539516899788,114.026176498873,5.4297057621353,22.539598146203613,114.02618161212838,8.754807220771909,0.5259856415782465,8.997047488270109,3.3250950580177028,9.606236596409007,1
6,train,2206,379367.505054186,1334568167.50505,-2399704.6756504797,5383203.400873625,2429710.960449317,0.0,0.0,0.0,0,-14943.267634365722,0.0,2:-1028.985911;3:0.000000;6:0.000000,,0,8,3.119013811979846,1.0,22.5395170513657,114.026176450421,5.42433738772415,22.539598146203613,114.02618161212838,8.754807220771909,0.5309697575189182,8.980262111321206,3.330463454765901,9.592654653168857,1
7,train,2206,379368.005055144,1334568168.00506,-2399704.6756504797,5383203.400873625,2429710.960449317,0.0,0.0,0.0,0,-14943.267634365722,0.0,2:-1028.985911;3:0.000000;6:0.000000,,0,8,3.119322353081093,1.0,22.5395172003009,114.026176401367,5.41730263235974,22.539598146203613,114.02618161212838,8.754807220771909,0.5360158007592886,8.96376935837878,3.3374982319647892,9.579946163587875,1
8,train,2206,379368.505056104,1334568168.50506,-2399704.6756504797,5383203.400873625,2429710.960449317,0.0,0.0,0.0,0,-14943.267634365722,0.0,2:-1028.985911;3:0.000000;6:0.000000,,0,8,3.1196308743645456,1.0,22.5395171555682,114.02617634771,5.3806228593167,22.539598146203613,114.02618161212838,8.754807220771909,0.5415353379803872,8.968722958301035,3.374177999449778,9.597725209496701,1
9,train,2206,379369.005057063,1334568169.00506,-2399704.6756504797,5383203.400873625,2429710.960449317,0.0,0.0,0.0,0,-14943.267634365722,0.0,2:-1028.985911;3:0.000000;6:0.000000,,0,8,3.1199393757533236,1.0,22.5395170979907,114.026176298358,5.35071961080019,22.539598146203613,114.02618161212838,8.754807220771909,0.546612034467827,8.975098962762248,3.4040812376709577,9.614517938007317,1
10,train,2206,379369.505058022,1334568169.50506,-2399704.6756504797,5383203.400873625,2429710.960449317,0.0,0.0,0.0,0,-14943.267634365722,0.0,2:-1028.985911;3:0.000000;6:0.000000,,0,8,3.1202478571714267,1.0,22.5395170458928,114.026175998081,5.34139369847758,22.539598146203613,114.02618161212838,8.754807220771909,0.5775006517206897,8.980868169526229,3.4134071395344034,9.625011604220104,1
