epoch,split,week,tow,time_gps_s,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,ref_sys_id,cb_m,cd_mps,inter_gnss_m,ibb_m,used_obs,rejected_obs,pdop,r_inflation,gt_lat_deg,gt_lon_deg,gt_h_m,pred_lat_deg,pred_lon_deg,pred_h_m,enu_e_m,enu_n_m,enu_u_m,enu_3d_m,init_ok
1,train,2206,379365.208049767,1334568165.20805,-2399704.679969933,5383203.40566041,2429710.958026973,0.0,0.0,0.0,0,-14943.26345824949,0.0,2:0.000000;3:0.000000;6:0.000000,,6,0,5.137437506596315,1.0,22.5395161633321,114.026177252802,5.26845383919431,22.53959810477819,114.02618163153453,8.759541124105453,0.45042742286928594,9.074013623187236,3.4910807809417235,9.732844040470436,1
2,train,2206,379365.505050401,1334568165.50505,-2399704.573515225,5383203.306979892,2429710.902610548,0.0,0.0,0.0,0,-15113.836564772182,-573.3219914306374,2:0.000000;3:0.000000;6:0.000000,,6,0,5.136862252041128,1.0,22.5395163491475,114.026177052244,5.31207848200571,22.539598104599083,114.02618107690375,8.615019996650517,0.41400498290875953,9.053416797707316,3.3029350429266255,9.645990656053684,1
3,train,2206,379366.005051317,1334568166.00505,-2399704.355256412,5383203.009466922,2429710.9236212224,0.0,0.0,0.0,0,-15401.225839340392,-574.1272119890182,2:0.000000;3:0.000000;6:0.000000,,7,0,3.1350611905180603,1.0,22.539516600761,114.02617680534,5.36605669673026,22.53959952807105,114.02618031655203,8.290017179213464,0.361188093791357,9.183185326158158,2.9239538278814154,9.644213579201029,1
4,train,2206,379366.505052273,1334568166.50505,-2399704.1653404,5383203.024644053,2429710.867077167,0.0,0.0,0.0,0,-15688.443516395058,-574.2181156007715,2:0.000000;3:0.000000;6:0.000000,,7,0,3.1353622147692297,1.0,22.5395167493792,114.02617664958,5.39996047981104,22.539599276140624,114.02617857021059,8.20972734130919,0.19756963952010234,9.138829346038568,2.809760276585528,9.563053298521023,1
5,train,2206,379367.005053228,1334568167.00505,-2399703.9382952815,5383203.139817085,2429710.7676941054,0.0,0.0,0.0,0,-15975.570965755782,-574.210348064221,2:3.409079;3:0.000000;6:0.000000,,8,0,3.1187052928284404,1.0,22.539516899788,114.026176498873,5.4297057621353,22.539598403088767,114.02617609840904,8.18340963497758,-0.041194555610748806,9.025493557694578,2.75369745397755,9.436317111004735,1
6,train,2206,379367.505054186,1334568167.50505,-2399703.815220184,5383203.4202152705,2429710.5998052345,0.0,0.0,0.0,0,-16262.632747072885,-574.2037318936493,2:4.145606;3:0.000000;6:0.000000,,8,0,3.1190138570068235,1.0,22.5395170513657,114.026176450421,5.42433738772415,22.539596289748438,114.02617389578927,8.309313139878213,-0.26278748795429896,8.774681767757505,2.8849696785125896,9.240516621660195,1
7,train,2206,379368.005055144,1334568168.00506,-2399703.68814631,5383203.759213353,2429710.428632567,0.0,0.0,0.0,0,-16549.72191812534,-574.2217400605076,2:4.286370;3:0.000000;6:0.000000,,8,0,3.1193223951470137,1.0,22.5395172003009,114.026176401367,5.41730263235974,22.539593969384708,114.02617142572262,8.481888588517904,-0.5118299940933905,8.501237348023793,3.064580238854508,9.051224139897641,1
8,train,2206,379368.505056104,1334568168.50506,-2399703.5525735584,5383204.112860192,2429710.1925674956,0.0,0.0,0.0,0,-16836.82283677482,-574.2346589112597,2:4.591215;3:0.000000;6:0.000000,,8,0,3.1196309094721766,1.0,22.5395171555682,114.02617634771,5.3806228593167,22.5395910734465,114.02616882221379,8.63875093869865,-0.774125835926683,8.18550141270791,3.2581227529089047,8.84404138730225,1
9,train,2206,379369.005057063,1334568169.00506,-2399703.4494473217,5383204.476505012,2429709.9347129553,0.0,0.0,0.0,0,-17123.92864401498,-574.2466291149553,2:4.876103;3:0.000000;6:0.000000,,8,0,3.1199394094070967,1.0,22.5395170979907,114.026176298358,5.35071961080019,22.539587918433,114.02616646722609,8.807896783575416,-1.0112999020492774,7.84249846240043,3.457172244903389,8.630153507068593,1
10,train,2206,379369.505058022,1334568169.50506,-2399703.199004034,5383204.824508585,2429709.651004593,0.0,0.0,0.0,0,-17411.1600068203,-574.2882694098035,2:4.868570;3:0.000000;6:0.000000,,8,0,3.1202478905448725,1.0,22.5395170458928,114.026175998081,5.34139369847758,22.53958480486065,114.02616286611556,8.898538424633443,-1.350847081651863,7.5034777155819565,3.557140145888609,8.413097627136796,1
