epoch,split,week,tow,time_gps_s,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,ref_sys_id,cb_m,cd_mps,inter_gnss_m,ibb_m,used_obs,rejected_obs,pdop,r_inflation,gt_lat_deg,gt_lon_deg,gt_h_m,pred_lat_deg,pred_lon_deg,pred_h_m,enu_e_m,enu_n_m,enu_u_m,enu_3d_m,init_ok
1,train,1900,130925.899999913,1149250925.9,3784215.221914585,901258.3559065883,5037761.596208238,0.0,0.0,0.0,0,-55722.34180534594,0.0,1:0.000000;6:4.838465,,15,0,1.3271059827892988,1.0,52.5116592071648,13.3962173447854,75.4481837682877,52.51140721640422,13.396147610193486,156.74622195679694,-4.734582747377262,-28.041475840657608,81.29797477089156,86.12840032743244,1
2,train,1900,130926.099999913,1149250926.1,3784216.4774372564,901258.3054716458,5037761.5028372165,0.0,0.0,0.0,0,-55732.417472455796,-53.81512248127,1:0.000000;6:4.047331,,15,0,1.3270851673851516,1.0,52.5116592349959,13.3962173583901,75.4481192514583,52.51139808021123,13.396142603217955,157.40834803599864,-5.075453209881513,-29.06124914338836,81.96016053895798,87.10788909525677,1
3,train,1900,130926.299999913,1149250926.3,3784216.07956138,901257.6281895577,5037760.3107744325,0.0,0.0,0.0,0,-55746.570688118954,-62.761007422579134,1:0.000000;6:3.157737,,4,11,1.3270689174854122,1.0,52.5116592825054,13.3962173447846,75.4480904028076,52.51139543937446,13.396134256815806,156.131417918019,-5.641202165219415,-29.360401269686985,80.683257424401,86.0444324357949,1
4,train,1900,130926.499999913,1149250926.5,3784217.346344209,901255.4465472393,5037758.188588807,0.0,0.0,0.0,0,-55760.377204627934,-64.4991487954113,1:0.000000;6:3.046966,,5,10,1.3270527751133137,1.0,52.5116592252187,13.3962173418045,75.448105321806,52.51137864996415,13.396098675439326,154.88989302515984,-8.056775138027168,-31.222338737951006,79.44170617759801,85.73640266712793,1
5,train,1900,130926.699999913,1149250926.6999998,3784220.9548225407,901252.690628906,5037759.477499934,0.0,0.0,0.0,0,-55771.30781016066,-63.389178371613625,1:0.000000;6:2.866407,,7,8,1.3270366327443475,1.0,52.5116592369077,13.3962173366821,75.4481659296523,52.51136522195904,13.396046875101124,157.66040162276477,-11.573385932926222,-32.7179117333288,82.21214126802519,89.23699446987264,1
6,train,1900,130926.899999913,1149250926.9,3784223.6303911256,901251.3291963701,5037760.596266046,0.0,0.0,0.0,0,-55780.44430115207,-60.38445380022198,1:0.000000;6:2.586834,,7,8,1.3270202605786876,1.0,52.5116592182523,13.3962173631761,75.4482637797626,52.51135503079957,13.396018238463556,159.94020658452064,-13.519459862966261,-33.84991307070075,84.49183864924092,92.01881985881863,1
7,train,1900,130927.099999913,1149250927.1,3784225.8718532496,901250.5453876271,5037761.630893319,0.0,0.0,0.0,0,-55789.269772431544,-57.96973220186646,1:0.000000;6:2.338080,,7,8,1.327003910025446,1.0,52.5116592399904,13.3962173676652,75.4483873604393,52.511346436401205,13.395999359378433,161.97768536396325,-14.801557072131741,-34.8087227710015,86.5291858468949,94.43533912701584,1
8,train,1900,130927.299999913,1149250927.3,3784227.6882767957,901250.0043198916,5037762.593256763,0.0,0.0,0.0,0,-55798.16196668029,-56.2112318654664,1:0.000000;6:2.126414,,7,8,1.3269875688933417,1.0,52.511659204108,13.3962173634223,75.4485192879619,52.51133999403203,13.395985408684558,163.74040967412293,-15.748450614620806,-35.52164268621974,88.29177203484005,96.46366054085229,1
9,train,1900,130927.499999913,1149250927.5,3784229.1940487083,901249.6266720837,5037763.4481065385,0.0,0.0,0.0,0,-55807.19798366837,-54.93282017489175,1:0.000000;6:1.944183,,7,8,1.3269712396432467,1.0,52.5116592290323,13.3962173411525,75.4486398137825,52.51133484850502,13.395974859532274,165.25694738328457,-16.463173851478484,-36.09701625491235,89.80818418642943,98.18116225954469,1
10,train,1900,130927.699999913,1149250927.6999998,3784230.4412394036,901249.3424417963,5037764.314274905,0.0,0.0,0.0,0,-55816.38915430103,-54.001219898104374,1:0.000000;6:1.792238,,7,8,1.3269549209281397,1.0,52.5116592192746,13.3962173614521,75.4487388092232,52.51133140418825,13.395966531240074,166.6425463007763,-17.030002529610158,-36.47921974558399,91.19368044779108,99.68471203258285,1
11,train,1900,130927.899999913,1149250927.9,3784231.533767161,901249.1181475024,5037765.158863634,0.0,0.0,0.0,0,-55825.713196066616,-53.310319382219824,1:0.000000;6:1.653169,,7,8,1.3269386063041722,1.0,52.5116591663171,13.3962173508037,75.448809305683,52.511328815645555,13.395959589477215,167.92790591530502,-17.50059192336479,-36.76138530772658,92.47896667383552,101.0446903329,1
12,train,1900,130928.099999913,1149250928.1,3784232.4894535667,901248.9059329376,5037765.906629926,0.0,0.0,0.0,0,-55835.15789906226,-52.786878066518895,1:0.000000;6:1.534256,,7,8,1.3269222942085706,1.0,52.51165915177,13.3962173659641,75.4488435750776,52.511326626803175,13.39595328774494,169.05712642893195,-17.92947863215089,-37.00334584245727,93.60815032841526,102.24089013435106,1
13,train,1900,130928.299999913,1149250928.3,3784233.3187926486,901248.7338807865,5037766.558508164,0.0,0.0,0.0,0,-55844.72022576619,-52.39238253969328,1:0.000000;6:1.424983,,7,8,1.3269059879706282,1.0,52.5116592428019,13.3962173597819,75.4488343388354,52.51132472358834,13.395947992601158,170.04112186376005,-18.288574040096147,-37.22527003398088,94.59215269193172,103.28537176394632,1
14,train,1900,130928.499999913,1149250928.5,3784234.016515775,901248.5592683897,5037767.18094638,0.0,0.0,0.0,0,-55854.34428494738,-52.076781560705655,1:0.000000;6:1.326723,,7,8,1.3268896869280133,1.0,52.5116592512964,13.3962174047661,75.4487747051411,52.51132357653561,13.395943109893857,170.9234737623483,-18.623140685265902,-37.35386325620003,95.47456250741683,104.19944604041204,1
15,train,1900,130928.699999913,1149250928.6999998,3784234.688419149,901248.3759496207,5037767.738816902,0.0,0.0,0.0,0,-55864.03325402844,-51.827169525416025,1:0.000000;6:1.237507,,7,8,1.3268733886361732,1.0,52.5116592746089,13.3962174032886,75.4486570351657,52.5113222698334,13.395938190549037,171.7380788354203,-18.957040298976217,-37.501870846276425,96.28928339889069,105.05896340312754,1
16,train,1900,130928.899999913,1149250928.9,3784235.271539482,901248.2380110583,5037768.169920766,0.0,0.0,0.0,0,-55873.83392577022,-51.64687046120352,1:0.000000;6:1.152444,,7,8,1.3268570913041267,1.0,52.5116592684996,13.3962174004972,75.4484693250244,52.51132081069816,13.395934224369206,172.40593293868005,-19.226135659729046,-37.66356653416235,96.95732345406827,105.77764937762797,1
17,train,1900,130929.099999913,1149250929.1,3784235.8225643397,901248.1165920618,5037768.52817055,0.0,0.0,0.0,0,-55883.664784433524,-51.49633849251376,1:0.000000;6:1.074257,,7,8,1.3268407992999252,1.0,52.5116592596064,13.3962173920152,75.4481947380715,52.51131914845281,13.395930604402661,172.99930654559284,-19.47133857363675,-37.847554208036506,97.55096981636163,106.43195994386345,1
18,train,1900,130929.299999913,1149250929.3,3784236.261492386,901247.8494099021,5037768.989436942,0.0,0.0,0.0,0,-55893.43994659319,-51.34192187150409,1:0.000000;6:1.018172,,7,8,1.3268245085913415,1.0,52.5116592624641,13.3962173874299,75.4478145648294,52.511319067964514,13.395925278457788,173.58750193566084,-19.832632169152284,-37.85683100088778,98.13954421493901,107.04131487842739,1
19,train,1900,130929.499999913,1149250929.5,3784236.706613785,901247.6164970102,5037769.392556653,0.0,0.0,0.0,0,-55903.31410996904,-51.233673101317834,1:0.000000;6:0.971444,,7,8,1.326808215355354,1.0,52.5116592100634,13.3962173616032,75.447318800415,52.511318569893206,13.39592042238921,174.13805823400617,-20.160581645077695,-37.906427196434116,98.69059495526986,107.62518203325624,1
20,train,1900,130929.699999913,1149250929.6999998,3784237.1373599186,901247.4552036007,5037769.788450773,0.0,0.0,0.0,0,-55913.22806260923,-51.147773947390206,1:0.000000;6:0.927465,,7,8,1.3267919213176458,1.0,52.5116592423315,13.3962173644411,75.4467066936142,52.51131801370407,13.395916641536344,174.68446880672127,-20.41747597844729,-37.971912958822145,99.23761643107665,108.19817010469416,1
21,train,1900,130929.899999913,1149250929.9,3784237.555753433,901247.2954205392,5037770.078144177,0.0,0.0,0.0,0,-55923.211997392245,-51.088152690144106,1:0.000000;6:0.891293,,7,8,1.3267756244553188,1.0,52.5116591902275,13.396217344469,75.445989052358,52.51131695987787,13.395912924475564,175.1395115731284,-20.668490481315533,-38.083386367689705,99.69337536587234,108.7028054276783,1
22,train,1900,130930.099999913,1149250930.1,3784237.945172988,901247.2237523638,5037770.368392106,0.0,0.0,0.0,0,-55933.2393662753,-51.04527377826846,1:0.000000;6:0.856951,,7,8,1.326759329916374,1.0,52.5116591516698,13.3962171707456,75.445185494082,52.51131596449726,13.395910568791091,175.59026468358934,-20.816635914227458,-38.18986379193354,100.14493092014432,109.18244005439894,1
23,train,1900,130930.299999913,1149250930.3,3784238.4462757153,901247.3800356274,5037770.386397734,0.0,0.0,0.0,0,-55943.501712519894,-51.067544243233094,1:0.000000;6:0.802813,,7,8,1.3267430325144305,1.0,52.5116590977134,13.3962171066116,75.4443225982601,52.51131232894156,13.395911098088296,175.92326362151653,-20.77634790031604,-38.5884267489843,100.47879048190629,109.62075828848985,1
24,train,1900,130930.499999913,1149250930.5,3784238.6965192533,901247.2761761866,5037770.606273087,0.0,0.0,0.0,0,-55953.55828854596,-51.033757865493016,1:0.000000;6:0.779274,,7,8,1.326726738736848,1.0,52.5116590121043,13.3962169695014,75.4434307864241,52.51131196724631,13.395908756082534,176.23124035913497,-20.92604973840529,-38.619150876861475,100.78765836025494,109.94312370424751,1
25,train,1900,130930.699999913,1149250930.6999998,3784239.0563283716,901247.3073989154,5037770.631592154,0.0,0.0,0.0,0,-55963.85565886308,-51.061672479592595,1:0.000000;6:0.730752,,7,8,1.3267104435831443,1.0,52.5116590674501,13.3962164133318,75.442540136821,52.51130955835562,13.395907975656423,176.46875639166683,-20.941277484626486,-38.89337279892261,101.02606332455474,110.26104035978004,1
26,train,1900,130930.899999913,1149250930.9,3784239.19930578,901247.2439244299,5037770.794603556,0.0,0.0,0.0,0,-55974.14125749491,-51.08413925077872,1:0.000000;6:0.684434,,7,8,1.32669414948706,1.0,52.5116590408301,13.3962156196853,75.4416836714372,52.51130956299226,13.395906578311651,176.67380090337247,-20.982266056723965,-38.889895630869056,101.2319641869347,110.45628114416975,1
27,train,1900,130931.099999913,1149250931.1,3784239.3682883033,901247.0854571585,5037770.931522268,0.0,0.0,0.0,0,-55984.40582111455,-51.099844673072894,1:0.000000;6:0.640898,,7,8,1.3266778542058708,1.0,52.5116591197114,13.3962145428374,75.4409030323373,52.51130940146705,13.395903731176219,176.86014374904335,-21.10245985993764,-38.91664872035672,101.4190871136802,110.66006773328931,1
