epoch,split,week,tow,time_gps_s,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,ref_sys_id,cb_m,cd_mps,inter_gnss_m,ibb_m,used_obs,rejected_obs,pdop,r_inflation,gt_lat_deg,gt_lon_deg,gt_h_m,pred_lat_deg,pred_lon_deg,pred_h_m,enu_e_m,enu_n_m,enu_u_m,enu_3d_m,init_ok
1,train,1900,130925.899999913,1149250925.9,3784197.70473004,901254.7859152019,5037758.908124707,0.0,0.0,0.0,0,-55740.6577448499,0.0,1:0.000000;6:5.779524,,15,0,1.3271059827892988,1.0,52.5116592071648,13.3962173447854,75.4481837682877,52.51151991963329,13.396156234929778,143.7389814099297,-4.148993078565381,-15.499853590142362,68.2907774544431,70.15048032775047,1
2,train,1900,130926.099999913,1149250926.1,3784197.7675088355,901254.7651805726,5037759.023431191,0.0,0.0,0.0,0,-55750.94950779357,-51.76487146415974,1:0.000000;6:5.792960,,15,0,1.3270858980546654,1.0,52.5116592349959,13.3962173583901,75.4481192514583,52.51152014904999,13.39615572361476,143.86471840087324,-4.184632042898514,-15.477421508180957,68.41657899421747,70.27012169584137,1
3,train,1900,130926.299999913,1149250926.3,3784198.0226247637,901253.5110363414,5037758.315410973,0.0,0.0,0.0,0,-55759.81281059656,-45.67014976379828,1:0.000000;6:7.172216,,6,9,1.327069677302044,1.0,52.5116592825054,13.3962173447846,75.4480904028076,52.51151657904914,13.396136883562429,143.2771237483248,-5.462834949945908,-15.879973753737065,67.8290112372049,69.87696972198061,1
4,train,1900,130926.499999913,1149250926.5,3784197.174146905,901254.5874793812,5037758.964126229,0.0,0.0,0.0,0,-55767.935033442016,-43.55569591128676,1:0.000000;6:7.408904,,5,10,1.3270534971304302,1.0,52.5116592252187,13.3962173418045,75.448105321806,52.51152423409959,13.396155202294164,143.44130945205688,-4.2188998552702035,-15.02174995065009,67.99318504178396,69.7604852312176,1
5,train,1900,130926.699999913,1149250926.6999998,3784197.3195941374,901254.1496668112,5037764.096741749,0.0,0.0,0.0,0,-55773.63386047659,-41.246596018881164,1:0.000000;6:7.444017,,6,9,1.327037265099994,1.0,52.5116592369077,13.3962173366821,75.4481659296523,52.51155201937969,13.396148432949108,147.53829457238317,-4.678150029731154,-11.931124347962374,72.09011576570794,73.22036333575781,1
6,train,1900,130926.899999913,1149250926.9,3784197.785725089,901254.1942025397,5037767.0781499585,0.0,0.0,0.0,0,-55781.70285453845,-41.84085479823779,1:0.000000;6:7.492067,,6,9,1.3270208075424463,1.0,52.5116592182523,13.3962173631761,75.4482637797626,52.511565018176775,13.39614748042892,150.18621966522187,-4.744619784460007,-10.482551385876398,74.7379455062397,75.61848847305983,1
7,train,1900,130927.099999913,1149250927.1,3784198.4682122422,901254.17759277,5037769.48394992,0.0,0.0,0.0,0,-55790.313344,-42.55885047060124,1:0.000000;6:7.540891,,6,9,1.3270044302032806,1.0,52.5116592399904,13.3962173676652,75.4483873604393,52.51157346916466,13.396144913514046,152.49688388220966,-4.919203540715891,-9.544550512890197,77.04848748464333,77.79310015444393,1
8,train,1900,130927.299999913,1149250927.3,3784199.172561252,901254.250481052,5037770.763511998,0.0,0.0,0.0,0,-55799.78790775742,-43.5669307013205,1:0.000000;6:7.603228,,6,9,1.3269880697945373,1.0,52.511659204108,13.3962173634223,75.4485192879619,52.51157546113343,13.396143554334106,153.93946767691523,-5.011196566888045,-9.318893831588213,78.49093961416415,79.20089314389558,1
9,train,1900,130927.499999913,1149250927.5,3784199.8423334123,901254.0949160475,5037771.970933372,0.0,0.0,0.0,0,-55809.25301328745,-44.26354328241758,1:0.000000;6:7.664640,,6,9,1.3269717563620314,1.0,52.5116592290323,13.3962173411525,75.4486398137825,52.511577675802165,13.396139039847421,155.27212618943304,-5.316192123162166,-9.07522121830062,79.82347770481115,80.51340963927655,1
10,train,1900,130927.699999913,1149250927.6999998,3784200.43005609,901254.1211485666,5037772.487093427,0.0,0.0,0.0,0,-55819.26407408639,-45.07911131403301,1:0.000000;6:7.731009,,6,9,1.3269554466852107,1.0,52.5116592192746,13.3962173614521,75.4487388092232,52.51157637868979,13.396137410158277,156.03334231860936,-5.428217335245564,-9.218478718240284,80.58459453932046,81.29159101889928,1
11,train,1900,130927.899999913,1149250927.9,3784200.9095257907,901254.0752698688,5037772.903340458,0.0,0.0,0.0,0,-55829.35446579417,-45.74971879357429,1:0.000000;6:7.786763,,6,9,1.3269391665783372,1.0,52.5116591663171,13.3962173508037,75.448809305683,52.51157540516215,13.396135116657776,156.64102168940008,-5.583210069621664,-9.320920270828836,81.19220313206708,81.91596693450866,1
12,train,1900,130928.099999913,1149250928.1,3784201.3152684704,901254.0005413827,5037773.173329783,0.0,0.0,0.0,0,-55839.54537524057,-46.32982362319018,1:0.000000;6:7.845577,,6,9,1.3269228923630982,1.0,52.51165915177,13.3962173659641,75.4488435750776,52.51157419079943,13.396132661382447,157.08493166882545,-5.750938539959294,-9.454435960295683,81.63607849575499,82.38269821742179,1
13,train,1900,130928.299999913,1149250928.3,3784201.62295041,901253.940523478,5037773.2232412165,0.0,0.0,0.0,0,-55849.89024910956,-46.869467476066056,1:0.000000;6:7.905868,,6,9,1.3269066246036778,1.0,52.5116592428019,13.3962173597819,75.4488343388354,52.51157242869893,13.396130751505092,157.29823320638388,-5.880188577861652,-9.660652320170975,81.84938884330867,82.62703719113728,1
14,train,1900,130928.499999913,1149250928.5,3784201.4020003574,901253.9283475564,5037773.176146088,0.0,0.0,0.0,0,-55860.30554767724,-47.33448007820634,1:0.000000;6:7.988820,,6,9,1.3268903670402903,1.0,52.5116592512964,13.3962174047661,75.4487747051411,52.511573723854774,13.396131331019095,157.1283357841894,-5.843896845827075,-9.517472696789788,81.67955130448769,82.43956888643488,1
15,train,1900,130928.699999913,1149250928.6999998,3784201.3297602655,901254.0640182635,5037772.801606505,0.0,0.0,0.0,0,-55870.96650585693,-47.830306798599096,1:0.000000;6:8.054580,,6,9,1.3268741277941614,1.0,52.5116592746089,13.3962174032886,75.4486570351657,52.51157195241922,13.396133521432253,156.80750818829983,-5.695080415149055,-9.717191578223328,81.35884121016869,82.13475997508212,1
16,train,1900,130928.899999913,1149250928.9,3784201.2446405417,901254.1699210196,5037772.286453587,0.0,0.0,0.0,0,-55881.7387118657,-48.29733330510738,1:0.000000;6:8.113549,,6,9,1.3268578942722684,1.0,52.5116592684996,13.3962174004972,75.4484693250244,52.51156955046951,13.396135329278486,156.3632846288383,-5.572148777975009,-9.983799637604328,80.91480505697004,81.71860727285544,1
17,train,1900,130929.099999913,1149250929.1,3784201.1619824152,901254.2579315205,5037771.701456006,0.0,0.0,0.0,0,-55892.5211388617,-48.70442124673086,1:0.000000;6:8.168142,,6,9,1.3268416649664736,1.0,52.5116592596064,13.3962173920152,75.4481947380715,52.51156677901462,13.39613687236316,155.86257552634925,-5.46680652295828,-10.291216206834157,80.41437014556715,81.25432930301957,1
18,train,1900,130929.299999913,1149250929.3,3784200.961826541,901254.2224661217,5037771.317651791,0.0,0.0,0.0,0,-55903.176736896305,-49.01576007640738,1:0.000000;6:8.225792,,6,9,1.3268254360242766,1.0,52.5116592624641,13.3962173874299,75.4478145648294,52.51156612690806,13.396137047225839,155.4345346018672,-5.454622785419231,-10.364099798818856,79.98670928651836,80.83960129080978,1
19,train,1900,130929.499999913,1149250929.5,3784200.6971779843,901254.038296281,5037771.326749034,0.0,0.0,0.0,0,-55913.59100589632,-49.2122242640907,1:0.000000;6:8.288436,,6,9,1.3268092000211924,1.0,52.5116592100634,13.3962173616032,75.447318800415,52.511568316633316,13.396135311514781,155.25910161435604,-5.570713350116142,-10.114596141777845,79.8117723622139,80.64277345142763,1
20,train,1900,130929.699999913,1149250929.6999998,3784200.427974181,901253.758395357,5037771.694586747,0.0,0.0,0.0,0,-55923.76361457725,-49.312691805879446,1:0.000000;6:8.360275,,6,9,1.3267929467153414,1.0,52.5116592423315,13.3962173644411,75.4467066936142,52.51157265809473,13.396132219705029,155.35212550498545,-5.780821047443574,-9.635070033404581,79.90540891702334,80.69155371368115,1
21,train,1900,130929.899999913,1149250929.9,3784200.323380684,901253.6119955296,5037771.862693047,0.0,0.0,0.0,0,-55934.051621071645,-49.43540897732519,1:0.000000;6:8.439544,,6,9,1.3267766751890055,1.0,52.5116591902275,13.396217344469,75.445989052358,52.51157454484719,13.39613047899199,155.4029474426061,-5.897648914615316,-9.419314481431712,79.95694871055011,80.7255807976735,1
22,train,1900,130930.099999913,1149250930.1,3784200.3634822397,901253.5960366499,5037771.863720123,0.0,0.0,0.0,0,-55944.473273762625,-49.582283169054556,1:0.000000;6:8.517913,,6,9,1.3267604031744897,1.0,52.5116591516698,13.3962171707456,75.445185494082,52.51157429866585,13.396130113488974,155.4252539742738,-5.910669662941968,-9.442418807444795,79.98005875655144,80.752121256974,1
23,train,1900,130930.299999913,1149250930.3,3784200.135241661,901253.1443333364,5037772.864749962,0.0,0.0,0.0,0,-55954.222267060555,-49.53773291716923,1:0.000000;6:8.610766,,6,9,1.3267441298616824,1.0,52.5116590977134,13.3962171066116,75.4443225982601,52.51158210280112,13.396124420296202,156.02072838600725,-6.292848727714562,-8.567972541995061,80.5763969309517,81.27463221057701,1
24,train,1900,130930.499999913,1149250930.5,3784200.5293983733,901252.3258505356,5037774.803582843,0.0,0.0,0.0,0,-55963.32646049995,-49.33951391074067,1:0.000000;6:8.688308,,6,9,1.3267278210090878,1.0,52.5116590121043,13.3962169695014,75.4434307864241,52.511591324567334,13.39611134798352,157.67709625232965,-7.171072284562774,-7.532250659833203,82.23365699579455,82.88868089561429,1
25,train,1900,130930.699999913,1149250930.6999998,3784200.5029724385,901251.4572498664,5037776.899960839,0.0,0.0,0.0,0,-55972.24922740647,-49.11299291078704,1:0.000000;6:8.809631,,6,9,1.3267114496694032,1.0,52.5116590674501,13.3962164133318,75.442540136821,52.5116044081043,13.396098992775425,159.20240358635783,-7.9721562922062335,-6.082476314253448,83.75985557725807,84.35795872580101,1
26,train,1900,130930.899999913,1149250930.9,3784201.1250167857,901251.1784623506,5037778.221475187,0.0,0.0,0.0,0,-55981.930311579745,-49.081973076059874,1:0.000000;6:8.900147,,6,9,1.32669508246438,1.0,52.5116590408301,13.3962156196853,75.4416836714372,52.51160778137425,13.396092875620411,160.5799610549584,-8.333591965471806,-5.7041377654415015,85.13826939879053,85.73512033533949,1
27,train,1900,130931.099999913,1149250931.1,3784200.970088172,901251.7036218176,5037778.647301143,0.0,0.0,0.0,0,-55992.309407645174,-49.203652828126195,1:0.000000;6:9.030134,,7,8,1.3266787207389081,1.0,52.5116591197114,13.3962145428374,75.4409030323373,52.511610317352236,13.396100928827565,160.90016814880073,-7.71371547216599,-5.430713689044225,85.45925814828618,85.97836274792236,1
28,train,1900,130931.299999913,1149250931.3,3784203.1695251563,901251.7477263497,5037778.428908348,0.0,0.0,0.0,0,-56002.52497335335,-49.286527226475386,1:0.000000;6:9.037480,,6,9,1.3266624144915409,1.0,52.5116590268212,13.3962129739581,75.44024736512,52.51159379379185,13.396094055404673,162.0352559108287,-8.073866891759392,-7.259117090581675,86.59499931399469,87.2729970478347,1
29,train,1900,130931.499999913,1149250931.5,3784204.3689078013,901251.8735271038,5037777.412356913,0.0,0.0,0.0,0,-56013.457374374826,-49.50672590887098,1:0.000000;6:9.058856,,6,9,1.3266460625377117,1.0,52.5116589331192,13.3962107704197,75.4397642547224,52.511579706889165,13.396091765118399,161.95646927785128,-8.079759043536457,-8.816278667591028,86.51669382134769,87.33926714555746,1
30,train,1900,130931.699999913,1149250931.6999998,3784202.9235192984,901252.2366499859,5037776.388355245,0.0,0.0,0.0,0,-56024.21178892089,-49.6699964564389,1:0.000000;6:9.171929,,7,8,1.3266297760098607,1.0,52.5116585840319,13.3962078625471,75.4394823283522,52.511583532505824,13.396101900209615,160.3394183414057,-7.194216176031069,-8.351717378061437,84.89992649554415,85.612530908152,1
31,train,1900,130931.899999913,1149250931.9,3784200.9166460694,901252.9169250119,5037775.212219749,0.0,0.0,0.0,0,-56035.43707057578,-49.91076983034015,1:0.000000;6:9.267487,,9,6,1.3266135710189926,1.0,52.5116583063341,13.3962044377911,75.4394069113596,52.51158989686502,13.396118495501925,158.31394946202636,-5.834970579101649,-7.61258965608971,82.87453534272993,83.42773526354637,1
32,train,1900,130932.099999913,1149250932.1,3784200.7452252405,901253.6510397593,5037774.242118998,0.0,0.0,0.0,0,-56046.42990101725,-50.09397385431066,1:0.000000;6:9.336172,,8,7,1.3265973852886015,1.0,52.511658054179,13.396200382122,75.4395280331605,52.51158456757673,13.39612959891522,157.5462206741795,-4.805758997024032,-8.17757223052817,82.10668559051638,82.65274239723018,1
33,train,1900,130932.299999913,1149250932.3,3784199.9731216673,901253.0276749803,5037775.039060156,0.0,0.0,0.0,0,-56057.22887652131,-50.23084638251845,1:0.000000;6:9.419071,,8,7,1.3265811267039773,1.0,52.5116576786604,13.3961956904355,75.4398138010064,52.511595311591456,13.39612330202482,157.6335614444688,-4.914741668686016,-6.940192751587006,82.1937419774653,82.63251285878484,1
34,train,1900,130932.499999913,1149250932.5,3784199.540341004,901253.5233130447,5037775.612667059,0.0,0.0,0.0,0,-56067.813006132084,-50.32255028366915,1:0.000000;6:9.449647,,8,7,1.3265648175232603,1.0,52.5116571475523,13.396190351642,75.4402166585383,52.51160063187585,13.396131880393312,157.90236679371446,-3.96984899963201,-6.289052064519993,82.46214579954824,82.79684394236337,1
35,train,1900,130932.699999913,1149250932.6999998,3784199.097402543,901253.7641543266,5037776.084629479,0.0,0.0,0.0,0,-56078.34332643043,-50.399724270305036,1:0.000000;6:9.458225,,8,7,1.3265484935123617,1.0,52.5116565963985,13.396184300049,75.4406925754483,52.51160588763908,13.396136842675496,158.048579021357,-3.2220722628776244,-5.6428601277980945,82.60788313702733,82.86305555837211,1
36,train,1900,130932.899999913,1149250932.9,3784199.5789810466,901253.8732921074,5037776.15305944,0.0,0.0,0.0,0,-56088.50647539205,-50.413600581085596,1:0.000000;6:9.441633,,8,7,1.3265321740789284,1.0,52.5116560486035,13.3961775209932,75.4411925955531,52.511602741146575,13.39613676306738,158.40337976347655,-2.7672201230126685,-5.932043302699007,82.96218380995597,83.22001314270038,1
