time,E,N,U
1733985000.000000,0.097715,3.163818,7.638267
1733985003.000000,0.042026,3.166625,6.467097
1733985004.000000,-0.031317,3.094176,6.282866
1733985005.000000,-0.136393,3.148270,6.504272
1733985006.000000,-0.170391,3.276764,6.601287
1733985007.000000,-0.072258,3.460896,6.753092
1733985008.000000,-0.100811,3.629145,6.955266
1733985009.000000,-0.180193,3.734986,7.296301
1733985010.000000,-0.266249,3.712509,7.480530
1733985011.000000,-0.234832,4.081096,7.623459
1733985012.000000,-0.472675,3.699875,8.285665
1733985013.000000,-0.633821,3.534409,9.254124
1733985014.000000,-1.116540,3.647905,11.038073
1733985015.000000,-1.052625,3.444399,13.117042
1733985016.000000,-1.920941,3.222216,15.212666
1733985017.000000,-2.357708,2.737023,16.865915
1733985018.000000,-2.792261,2.386520,18.779221
1733985019.000000,-2.989444,2.053577,20.953874
1733985020.000000,-3.556209,1.596216,23.210388
1733985021.000000,-4.206547,1.185298,25.088642
1733985022.000000,-4.584575,1.297967,26.899717
1733985023.000000,-4.318127,1.440704,28.910621
1733985024.000000,-3.450707,1.491835,29.575236
1733985025.000000,-1.224950,1.291313,28.563409
1733985026.000000,-0.139411,1.620777,27.192917
1733985027.000000,0.216954,1.861808,25.760663
1733985028.000000,-0.229961,1.602272,24.480030
1733985029.000000,-0.452814,1.716155,23.147666
1733985030.000000,-0.258941,1.586625,21.820838
1733985032.000000,0.074956,2.005648,20.704733
1733985033.000000,0.280509,2.305804,19.092182
1733985034.000000,0.242491,2.283443,17.557789
1733985035.000000,0.432523,2.426135,16.227425
1733985036.000000,0.568638,2.374865,14.961853
1733985037.000000,0.752332,2.496505,13.688922
1733985038.000000,-0.053616,2.937872,12.355968
1733985039.000000,-1.002039,3.646910,11.341181
1733985040.000000,-1.083705,4.420738,11.067711
1733985041.000000,-0.218977,3.936431,11.240799
1733985042.000000,0.630312,3.480257,11.193676
1733985043.000000,0.434852,3.462083,10.850193
1733985044.000000,0.277195,3.384483,10.589501
1733985045.000000,0.021565,3.172683,10.523906
1733985046.000000,0.239773,3.043783,10.331789
1733985047.000000,0.548933,2.896189,10.230186
1733985048.000000,0.324630,2.809605,9.723051
1733985049.000000,-0.106726,2.938408,9.278816
1733985050.000000,0.639636,2.960094,9.049551
1733985051.000000,1.633003,3.568806,9.003516
1733985052.000000,1.328574,3.121016,9.129929
1733985053.000000,1.130738,3.152550,9.282583
1733985054.000000,1.024305,3.544564,9.020385
1733985055.000000,0.881025,3.448414,8.758709
1733985056.000000,1.350095,3.039376,8.439216
1733985057.000000,1.223095,3.303122,8.609403
1733985058.000000,1.163371,3.190677,8.678419
1733985059.000000,1.607214,2.978361,8.625428
1733985060.000000,2.058833,2.407878,8.853285
1733985063.000000,0.523537,3.541010,9.410119
1733985064.000000,0.636480,3.582892,9.603055
1733985065.000000,-0.510155,4.655998,9.111015
1733985066.000000,-1.145264,3.535879,9.277239
1733985067.000000,-3.426497,0.783920,14.195835
1733985068.000000,-34.827884,2.618941,17.769206
1733985069.000000,-32.786619,13.202530,8.443817
1733985070.000000,-19.259631,15.382158,6.904090
1733985071.000000,-1.718561,12.627508,23.987439
1733985072.000000,14.855768,23.979012,45.863170
1733985096.000000,-12.590758,-16.118146,52.279069
1733985097.000000,3.443059,-2.848106,20.804916
1733985098.000000,4.557777,1.676545,16.246093
1733985099.000000,1.833576,2.749518,8.808288
1733985100.000000,5.037767,1.467140,7.572295
1733985101.000000,2.234098,2.237150,7.416766
1733985102.000000,1.482920,2.830515,7.475756
1733985103.000000,1.184682,3.084238,6.910865
1733985104.000000,1.071811,2.962852,6.930153
1733985105.000000,1.296573,2.465780,6.994614
1733985106.000000,2.019731,1.915683,7.200422
1733985107.000000,1.308000,2.259449,7.610927
1733985108.000000,1.440722,2.405496,7.817574
1733985109.000000,1.111995,3.172968,8.087905
1733985110.000000,0.456783,3.208387,8.356193
1733985111.000000,0.296403,2.895855,8.422004
1733985112.000000,0.078343,2.185513,8.430139
1733985113.000000,-0.091519,2.087312,8.525919
1733985115.000000,-0.116939,1.901446,8.733988
1733985116.000000,-0.271832,2.166716,8.641964
1733985117.000000,-0.226906,1.861103,9.069954
1733985118.000000,-0.646546,2.040738,9.240710
1733985119.000000,-0.725032,2.224928,9.523807
1733985120.000000,-0.414653,2.086227,9.533459
1733985121.000000,-0.992394,2.359126,9.993788
1733985122.000000,-0.688658,2.767183,10.230098
1733985123.000000,0.000962,2.663684,10.281149
1733985124.000000,0.404782,2.510474,10.388720
1733985125.000000,0.593026,2.388973,10.494976
1733985126.000000,0.554869,2.469017,10.405933
1733985127.000000,0.607265,2.428402,10.038773
1733985128.000000,0.748472,2.347772,9.983734
1733985129.000000,-1.059268,1.506749,10.610954
1733985130.000000,-1.082646,1.633248,11.151160
1733985131.000000,-0.983458,1.948283,11.399941
1733985132.000000,-1.207973,2.127553,11.811552
1733985134.000000,-1.719013,2.245996,12.134969
1733985135.000000,-1.756935,2.387275,12.252303
1733985136.000000,-1.490427,2.549489,12.051451
1733985137.000000,-1.556445,2.841542,11.766888
1733985138.000000,-1.152757,2.949288,11.280043
1733985139.000000,-0.933017,2.956029,10.959043
1733985140.000000,-1.110952,3.092492,10.678806
1733985141.000000,-1.088295,3.096482,10.255658
1733985142.000000,-0.990346,3.027370,9.952760
1733985143.000000,-0.792872,3.093817,9.642836
1733985144.000000,-0.979248,3.207528,9.333192
1733985145.000000,-0.855357,3.300656,8.964607
1733985146.000000,-0.584553,3.367916,8.504338
1733985147.000000,-0.194329,3.178970,7.902050
1733985148.000000,0.094061,3.036400,7.093446
1733985149.000000,0.263887,3.208597,6.397959
1733985150.000000,0.118560,3.038490,5.306620
1733985151.000000,0.174467,2.662741,4.278401
1733985152.000000,-1.170813,2.353784,4.333493
1733985153.000000,-1.740679,2.075645,5.088706
1733985154.000000,-1.970885,1.818577,6.087473
1733985155.000000,-1.994737,1.484898,7.446193
1733985156.000000,-1.858292,1.045103,8.919471
1733985157.000000,-1.881075,0.897481,10.709592
1733985158.000000,-1.935979,0.805126,12.504554
1733985159.000000,-2.124871,0.887259,14.174691
1733985160.000000,-2.401664,0.700734,15.695592
1733985161.000000,-2.761653,1.167357,16.499168
1733985162.000000,-2.889810,1.546218,16.703669
1733985163.000000,-1.919993,2.536350,16.113581
1733985164.000000,-1.832435,2.279527,16.194942
1733985165.000000,-1.861426,2.181775,16.320090
1733985166.000000,-1.772910,2.261105,16.431618
1733985167.000000,-1.344545,2.807507,16.205102
1733985168.000000,-1.064733,3.134395,15.832434
1733985169.000000,-0.647777,3.409605,15.264824
1733985170.000000,-0.419039,3.715544,14.771913
1733985171.000000,-0.182692,3.893607,14.354441
1733985172.000000,-0.066270,3.135786,13.805194
1733985173.000000,0.088730,3.143245,12.776201
1733985174.000000,0.679970,3.625892,11.234966
1733985175.000000,0.390757,4.148632,10.623025
1733985176.000000,0.134267,2.946884,12.513580
1733985177.000000,5.354893,2.206169,12.516003
1733985178.000000,11.681540,-1.869821,13.868006
1733985179.000000,10.566315,-2.817734,17.579511
1733985180.000000,16.596066,-9.042404,18.803296
1733985182.000000,10.311858,-8.355408,23.049232
1733985183.000000,-0.706513,-2.030166,28.402407
1733985184.000000,-1.613132,-0.192216,28.884252
1733985185.000000,-0.598066,0.710037,28.391405
1733985186.000000,-0.681567,0.671162,27.257437
1733985187.000000,0.518842,0.229880,25.290000
1733985188.000000,0.500422,0.994793,23.431350
1733985189.000000,0.313201,1.096259,21.500031
1733985190.000000,1.953762,-0.013905,20.200549
1733985191.000000,0.139498,0.689926,19.397771
1733985192.000000,-1.792060,0.933696,19.008522
1733985193.000000,-2.195971,0.989434,19.028971
1733985194.000000,-1.245466,0.344238,19.264705
1733985195.000000,-0.454671,0.599450,18.800432
1733985196.000000,0.391309,0.895176,18.045255
1733985197.000000,1.393088,0.681060,17.495467
1733985198.000000,1.983896,1.087245,17.068704
1733985199.000000,2.435248,1.743363,16.615430
1733985201.000000,2.885916,2.053043,16.085508
1733985202.000000,3.355461,2.352370,15.934192
1733985203.000000,3.493081,2.775494,16.112357
1733985204.000000,3.334229,2.905328,16.672444
1733985205.000000,2.804008,3.653496,17.319942
1733985206.000000,4.306806,3.470646,17.976830
1733985207.000000,4.003799,4.048558,20.735516
1733985208.000000,8.005490,2.339944,24.183571
1733985209.000000,10.277026,1.089917,27.543074
1733985210.000000,10.742140,0.095179,30.567118
1733985211.000000,9.057419,-1.810797,33.071600
1733985212.000000,8.965429,-2.620680,35.133929
1733985213.000000,8.415710,-2.520748,36.523012
1733985214.000000,6.835368,-2.338126,38.019499
1733985215.000000,5.202446,-1.668456,38.616131
1733985216.000000,4.024349,-1.175388,38.403328
1733985217.000000,1.135065,-1.122693,37.958542
1733985218.000000,3.245104,-0.957718,37.680520
1733985219.000000,4.012574,-1.126137,37.321468
1733985220.000000,2.444079,-1.958833,38.282546
1733985221.000000,2.057945,-1.454319,35.161890
1733985222.000000,3.110201,-0.668667,32.784134
1733985223.000000,4.135039,-0.055402,31.376171
1733985224.000000,3.020707,0.397537,29.816461
1733985225.000000,1.440136,0.203700,26.789265
1733985226.000000,1.222063,0.204524,23.790782
1733985227.000000,2.036138,0.954466,21.969941
1733985228.000000,2.358067,1.484035,20.208300
