time,E,N,U
1733986000.000000,-1.128516,1.212629,8.722420
1733986001.000000,-0.602032,1.510712,8.501142
1733986002.000000,-0.478389,2.378747,8.045248
1733986003.000000,1.316877,2.255633,9.870297
1733986004.000000,1.536722,2.292690,9.785304
1733986005.000000,1.557652,2.679107,9.830460
1733986006.000000,1.229866,3.159629,9.137381
1733986007.000000,0.710670,3.435700,8.821928
1733986008.000000,0.240874,3.170192,8.979160
1733986009.000000,0.039072,2.247761,9.414839
1733986010.000000,0.085301,2.063177,9.259059
1733986011.000000,0.743736,2.247884,8.605306
1733986012.000000,1.036094,2.748519,8.687015
1733986013.000000,1.112870,2.722905,8.853996
1733986014.000000,0.847139,2.983335,8.312357
1733986015.000000,0.881502,3.714043,9.125645
1733986016.000000,0.693052,3.445079,9.757581
1733986017.000000,0.503069,3.080898,10.322636
1733986018.000000,0.128532,3.264173,10.323922
1733986019.000000,0.061653,3.019392,10.366990
1733986020.000000,0.203826,3.201725,10.320637
1733986022.000000,0.126913,2.661613,10.217285
1733986023.000000,-0.145746,2.711414,9.361919
1733986024.000000,-0.435544,2.974027,8.461778
1733986025.000000,-0.480137,3.317784,7.588297
1733986026.000000,-0.360144,3.359130,6.791324
1733986027.000000,-0.328353,3.583401,6.085541
1733986028.000000,-0.581153,3.611393,5.334896
1733986029.000000,-0.753339,3.626790,4.863925
1733986030.000000,-0.877411,3.710463,4.649085
1733986031.000000,-0.718324,3.724746,4.454576
1733986032.000000,-0.270980,3.742335,4.426521
1733986033.000000,-0.071548,4.056993,4.396326
1733986034.000000,0.117337,4.371055,4.378437
1733986035.000000,0.218604,4.223330,4.251252
1733986036.000000,-0.151637,4.079191,4.509673
1733986037.000000,-0.241244,3.811441,4.611211
1733986038.000000,-0.559027,3.701554,4.503373
1733986039.000000,-1.942459,4.103888,4.466997
1733986040.000000,-2.266195,3.577153,4.742849
1733986041.000000,-2.410309,3.584465,5.260536
1733986042.000000,-3.019123,4.957722,5.992837
1733986043.000000,-1.985306,4.404360,7.066294
1733986044.000000,-0.938699,3.204917,7.950836
1733986045.000000,-0.116387,2.525155,8.600630
1733986046.000000,0.568524,2.823077,9.044015
1733986047.000000,0.854501,3.433821,9.120415
1733986048.000000,1.204763,3.418104,9.123204
