time,E,N,U
1733987000.000000,-0.456575,2.447268,5.817810
1733987001.000000,-0.281008,2.701934,3.893720
1733987002.000000,0.175571,2.674853,3.940328
1733987003.000000,0.917521,2.456912,5.119238
1733987004.000000,1.104834,1.994582,5.564520
1733987005.000000,1.024901,1.676595,5.662880
1733987006.000000,0.687405,1.541149,5.269469
1733987007.000000,0.475745,1.159750,5.166752
1733987008.000000,0.686265,0.893836,5.633716
1733987009.000000,0.625809,1.443407,5.952879
1733987010.000000,0.611701,2.204295,6.700561
1733987011.000000,0.805458,3.262502,7.279956
1733987012.000000,1.129415,3.927146,7.653380
1733987013.000000,1.395109,4.285220,7.904945
1733987014.000000,1.635159,4.010796,8.219203
1733987015.000000,1.809764,3.179727,8.326086
1733987016.000000,2.242845,1.961426,8.297139
1733987017.000000,2.982299,0.924717,8.037016
1733987018.000000,3.297885,0.110932,7.733822
1733987019.000000,3.292332,0.035436,7.765215
1733987020.000000,3.161563,0.563748,7.727342
1733987021.000000,2.716262,1.134193,7.929338
1733987022.000000,1.637025,1.835423,7.745267
1733987023.000000,1.058570,2.062555,7.453853
1733987024.000000,0.922454,1.774040,7.801938
1733987025.000000,0.979784,1.557526,8.143180
1733987026.000000,0.640100,1.846323,8.162239
1733987027.000000,0.724763,1.270147,8.891371
1733987028.000000,0.461605,1.205986,9.011598
1733987029.000000,0.260951,1.457744,9.015082
1733987030.000000,0.228499,1.551174,9.022023
1733987031.000000,0.238146,1.407864,9.000844
1733987032.000000,0.207687,1.410294,8.838156
1733987033.000000,0.325968,1.509252,8.593658
1733987034.000000,0.543643,1.547646,8.316304
1733987035.000000,0.894480,1.313365,8.078584
1733987036.000000,0.846293,1.387503,8.041977
1733987037.000000,0.801265,1.287636,8.016711
1733987038.000000,0.691402,1.163379,8.040252
1733987039.000000,0.858291,1.355779,7.938562
1733987040.000000,1.140929,1.451696,7.620788
1733987043.000000,1.348061,1.688996,7.218838
1733987044.000000,0.865774,1.620659,7.422935
1733987045.000000,0.464067,1.414782,7.691679
1733987046.000000,0.155521,2.052195,7.120607
1733987047.000000,0.274350,2.411583,6.638068
1733987048.000000,0.351842,2.395674,6.238232
1733987049.000000,0.351627,2.330195,5.772686
1733987050.000000,0.327917,2.264786,5.335495
1733987051.000000,0.205268,2.310150,4.986241
1733987052.000000,0.067230,2.447080,4.667647
1733987053.000000,-0.110126,2.560440,4.426195
1733987054.000000,-0.228214,2.722828,4.253160
1733987055.000000,-0.194310,2.673555,4.113309
1733987056.000000,-0.162339,2.536966,4.048227
1733987057.000000,-0.026346,2.489387,3.849787
1733987058.000000,-0.114572,2.280543,3.838325
1733987059.000000,-0.140085,2.457743,3.803143
1733987060.000000,-0.129709,2.609120,3.763228
1733987061.000000,-0.135300,2.564583,3.733492
1733987062.000000,-0.093931,2.579144,3.714016
1733987063.000000,-0.014591,2.661111,3.574533
1733987064.000000,0.138463,2.818290,3.424218
1733987065.000000,0.204069,2.833055,3.340098
1733987066.000000,0.102005,2.831044,3.380772
1733987067.000000,0.027854,2.737111,3.401478
1733987068.000000,0.161451,2.554753,3.406556
1733987069.000000,0.126784,2.413632,3.429610
1733987070.000000,-0.002628,2.502053,3.450691
1733987071.000000,-0.014478,2.602385,3.478120
1733987072.000000,0.071493,2.631445,3.602879
1733987073.000000,0.128290,2.780915,3.721526
1733987074.000000,0.057589,2.951471,3.830504
1733987075.000000,0.054159,2.919914,3.911497
1733987076.000000,0.097049,2.862325,3.833124
1733987077.000000,0.166281,2.638741,3.729173
1733987078.000000,0.188914,2.620964,3.670728
1733987079.000000,0.153952,2.594199,3.681903
1733987080.000000,0.176483,2.556928,3.520419
1733987081.000000,0.141329,2.618260,3.406871
1733987082.000000,0.141338,2.661751,3.481381
1733987083.000000,0.172130,2.557589,3.564120
1733987084.000000,0.059010,2.468963,3.637770
1733987085.000000,-0.059690,2.529870,3.589644
1733987086.000000,-0.089481,2.686108,3.518898
1733987087.000000,-0.040992,2.684643,3.301785
1733987088.000000,-0.108806,2.881836,3.012814
1733987089.000000,-0.110229,3.122935,2.848671
1733987090.000000,-0.112883,3.073821,2.769659
1733987091.000000,0.051417,2.776105,2.890983
1733987092.000000,-0.038609,2.811443,2.840167
1733987093.000000,-0.135916,2.829508,2.821377
1733987094.000000,-0.137169,2.771814,2.945743
1733987095.000000,-0.077471,2.693079,3.098910
1733987096.000000,-0.137800,2.622611,3.159508
1733987097.000000,-0.282050,2.673658,3.371764
1733987098.000000,-0.284196,2.659186,3.519378
1733987099.000000,0.091553,2.423082,3.637910
1733987100.000000,0.591995,2.362862,3.894631
1733987101.000000,0.759897,2.348293,4.108170
1733987102.000000,1.011944,2.359425,4.252702
1733987103.000000,1.451276,2.459331,4.320800
1733987104.000000,1.483450,2.793640,4.504523
1733987105.000000,1.545189,2.632921,4.611724
1733987106.000000,1.451092,2.403652,4.598719
1733987107.000000,1.039215,2.375767,4.557852
1733987108.000000,0.764156,2.595707,4.443977
1733987109.000000,0.672584,2.590998,4.259405
1733987110.000000,0.506385,2.552634,4.212520
1733987111.000000,0.535804,2.425359,4.129568
1733987112.000000,0.603648,2.406880,4.032985
1733987113.000000,0.552138,2.426198,3.978494
1733987114.000000,0.443610,2.369146,4.084202
1733987115.000000,0.359565,2.357218,4.083378
1733987116.000000,0.240497,2.220806,4.044058
1733987117.000000,0.266313,1.921904,3.986121
1733987118.000000,0.115963,1.947049,3.922532
1733987119.000000,0.039346,2.058006,3.798373
1733987120.000000,0.724132,1.929681,3.705255
1733987121.000000,1.521205,1.797884,3.597557
1733987122.000000,1.889737,1.509778,3.344792
1733987123.000000,1.710641,1.188476,3.130153
1733987124.000000,0.913955,1.010449,3.006433
1733987125.000000,-0.011676,1.071530,2.781469
1733987126.000000,-0.569659,1.345462,2.691050
1733987127.000000,-0.868174,1.749404,2.538116
1733987128.000000,-0.918502,1.940587,2.448277
1733987129.000000,-0.960621,2.237053,2.389412
1733987130.000000,-0.977313,2.553135,2.360581
1733987131.000000,-1.022590,2.773912,2.294514
1733987132.000000,-0.999589,2.997009,2.212637
1733987133.000000,-0.836303,2.993296,2.050541
1733987134.000000,-0.800042,2.906200,1.963264
1733987135.000000,-0.719078,2.815243,1.878902
1733987136.000000,-0.477419,2.666652,1.991896
1733987137.000000,-0.234280,2.574660,2.150722
1733987138.000000,0.027073,2.589915,2.493983
1733987139.000000,0.327056,2.716390,2.958929
1733987140.000000,0.215432,2.505915,3.346963
1733987141.000000,0.205891,2.154294,3.721348
1733987142.000000,0.995546,1.668958,4.755567
1733987143.000000,3.918798,3.911532,-2.491797
1733987144.000000,2.973662,3.495539,-7.965506
1733987168.000000,5.691749,7.232847,-11.717585
1733987169.000000,0.329357,6.797456,-5.544190
1733987170.000000,0.061525,5.014633,-3.213554
1733987171.000000,0.141429,2.069986,1.204263
1733987172.000000,0.143370,3.126594,2.925856
1733987173.000000,0.001431,3.953559,3.534524
1733987174.000000,0.271867,3.835609,3.833605
1733987175.000000,-0.060505,3.722996,4.488215
1733987176.000000,-0.204928,3.429292,4.922459
1733987177.000000,-0.387356,3.317037,5.486839
1733987178.000000,-0.318152,3.134667,6.156672
1733987179.000000,-0.147959,2.791000,6.951014
1733987180.000000,0.090131,2.472081,7.554633
1733987181.000000,0.408292,2.219184,7.988919
1733987182.000000,0.424906,1.986874,8.259249
1733987183.000000,0.481505,1.924710,8.264458
1733987184.000000,0.524884,1.907600,7.987732
1733987185.000000,0.409000,1.973989,7.827635
1733987186.000000,0.414300,1.984067,7.699118
1733987187.000000,0.422934,2.020942,7.484050
1733987188.000000,0.291287,2.277931,7.400426
1733987189.000000,0.196210,2.415218,7.277505
1733987190.000000,0.055654,2.503545,7.136584
1733987191.000000,0.076729,2.294030,7.053331
1733987192.000000,0.118150,2.218676,6.961668
1733987193.000000,0.054933,2.303291,6.826839
1733987194.000000,-0.058104,2.336348,6.622558
