time,lat,lon,height
1733987000.000000,32.041987,118.859067,39.833811
1733987001.000000,32.041931,118.859166,36.804721
1733987002.000000,32.041885,118.859265,35.867328
1733987003.000000,32.041851,118.859363,36.121238
1733987004.000000,32.041823,118.859449,35.679520
1733987005.000000,32.041802,118.859525,34.938880
1733987006.000000,32.041792,118.859594,33.822469
1733987007.000000,32.041798,118.859662,33.021752
1733987008.000000,32.041813,118.859729,32.902716
1733987009.000000,32.041835,118.859787,32.687879
1733987010.000000,32.041851,118.859838,33.027562
1733987011.000000,32.041858,118.859882,33.345957
1733987012.000000,32.041847,118.859915,33.707382
1733987013.000000,32.041816,118.859935,33.993947
1733987014.000000,32.041769,118.859935,34.376204
1733987015.000000,32.041720,118.859909,34.618087
1733987016.000000,32.041676,118.859866,34.830140
1733987017.000000,32.041648,118.859804,34.913017
1733987018.000000,32.041636,118.859714,35.010823
1733987019.000000,32.041639,118.859599,35.483216
1733987020.000000,32.041650,118.859464,35.944343
1733987021.000000,32.041662,118.859313,36.682339
1733987022.000000,32.041676,118.859153,37.038267
1733987023.000000,32.041686,118.858999,37.280853
1733987024.000000,32.041691,118.858853,38.146939
1733987025.000000,32.041698,118.858712,39.020180
1733987026.000000,32.041707,118.858569,39.549239
1733987027.000000,32.041708,118.858434,40.781371
1733987028.000000,32.041713,118.858299,41.392598
1733987029.000000,32.041721,118.858171,41.832082
1733987030.000000,32.041727,118.858049,42.211023
1733987031.000000,32.041734,118.857931,42.477844
1733987032.000000,32.041743,118.857818,42.462157
1733987033.000000,32.041755,118.857707,42.286658
1733987034.000000,32.041767,118.857596,41.932304
1733987035.000000,32.041777,118.857485,41.639584
1733987036.000000,32.041790,118.857372,41.565977
1733987037.000000,32.041802,118.857258,41.569711
1733987038.000000,32.041814,118.857144,41.558252
1733987039.000000,32.041832,118.857030,41.344562
1733987040.000000,32.041852,118.856912,40.939788
1733987043.000000,32.041919,118.856537,40.227839
1733987044.000000,32.041942,118.856402,40.328936
1733987045.000000,32.041963,118.856266,40.471680
1733987046.000000,32.041991,118.856124,39.749608
1733987047.000000,32.042017,118.855979,39.073069
1733987048.000000,32.042041,118.855830,38.449232
1733987049.000000,32.042067,118.855678,37.743687
1733987050.000000,32.042095,118.855525,37.031495
1733987051.000000,32.042125,118.855371,36.397241
1733987052.000000,32.042156,118.855218,35.766647
1733987053.000000,32.042186,118.855066,35.189196
1733987054.000000,32.042218,118.854917,34.684161
1733987055.000000,32.042248,118.854771,34.210310
1733987056.000000,32.042277,118.854627,33.864228
1733987057.000000,32.042306,118.854483,33.416787
1733987058.000000,32.042334,118.854336,33.155326
1733987059.000000,32.042365,118.854191,32.899143
1733987060.000000,32.042397,118.854048,32.638229
1733987061.000000,32.042428,118.853903,32.394493
1733987062.000000,32.042459,118.853759,32.197017
1733987063.000000,32.042489,118.853614,31.869534
1733987064.000000,32.042521,118.853471,31.533219
1733987065.000000,32.042551,118.853327,31.294099
1733987066.000000,32.042581,118.853181,31.224772
1733987067.000000,32.042610,118.853035,31.153479
1733987068.000000,32.042639,118.852891,31.041557
1733987069.000000,32.042668,118.852746,30.997611
1733987070.000000,32.042699,118.852600,30.962691
1733987071.000000,32.042730,118.852454,30.928121
1733987072.000000,32.042760,118.852310,31.060880
1733987073.000000,32.042792,118.852166,31.173526
1733987074.000000,32.042823,118.852020,31.285505
1733987075.000000,32.042853,118.851875,31.355498
1733987076.000000,32.042883,118.851731,31.368125
1733987077.000000,32.042910,118.851586,31.355173
1733987078.000000,32.042938,118.851441,31.405729
1733987079.000000,32.042964,118.851294,31.582903
1733987080.000000,32.042988,118.851148,31.585420
1733987081.000000,32.043010,118.851000,31.637872
1733987082.000000,32.043029,118.850852,31.876381
1733987083.000000,32.043044,118.850704,32.073120
1733987084.000000,32.043057,118.850555,32.259770
1733987085.000000,32.043068,118.850405,32.382644
1733987086.000000,32.043077,118.850255,32.463899
1733987087.000000,32.043082,118.850106,32.386786
1733987088.000000,32.043085,118.849956,32.249814
1733987089.000000,32.043086,118.849807,32.223672
1733987090.000000,32.043081,118.849657,32.276660
1733987091.000000,32.043070,118.849510,32.534984
1733987092.000000,32.043061,118.849360,32.632168
1733987093.000000,32.043048,118.849211,32.768378
1733987094.000000,32.043031,118.849063,33.018743
1733987095.000000,32.043011,118.848918,33.280910
1733987096.000000,32.042989,118.848773,33.384509
1733987097.000000,32.042967,118.848629,33.609765
1733987098.000000,32.042943,118.848489,33.763379
1733987099.000000,32.042915,118.848356,33.870911
1733987100.000000,32.042887,118.848216,34.115632
1733987101.000000,32.042857,118.848067,34.273171
1733987102.000000,32.042822,118.847913,34.379703
1733987103.000000,32.042783,118.847749,34.419801
1733987104.000000,32.042740,118.847566,34.534524
1733987105.000000,32.042693,118.847373,34.538724
1733987106.000000,32.042646,118.847170,34.364719
1733987107.000000,32.042600,118.846958,34.108852
1733987108.000000,32.042557,118.846742,33.722977
