time,E,N,U
1733985000.000000,-0.163359,3.246595,17.385083
1733985003.000000,0.122528,2.840005,17.992979
1733985004.000000,0.005955,2.854306,18.275663
1733985005.000000,0.043015,2.810926,17.921025
1733985006.000000,0.029628,2.810291,17.696941
1733985007.000000,0.154161,2.879351,17.340994
1733985008.000000,0.071200,2.978669,17.511241
1733985009.000000,0.190336,2.856441,17.304173
1733985010.000000,0.124705,2.787379,16.885923
1733985011.000000,0.012178,3.519085,16.534878
1733985012.000000,0.092225,3.073363,18.785772
1733985013.000000,0.519732,2.778567,19.917141
1733985014.000000,0.278990,2.826405,20.021687
1733985015.000000,0.223283,2.463713,21.197431
1733985016.000000,-0.164704,2.383617,21.861733
1733985017.000000,-0.257351,3.041708,18.875303
1733985018.000000,0.504239,3.023873,21.572554
1733985019.000000,0.481609,2.784997,21.385402
1733985020.000000,-0.198972,2.371703,20.574132
1733985021.000000,-0.207770,2.396021,19.907853
1733985022.000000,-0.113186,2.378707,19.381815
1733985023.000000,0.103759,2.665961,19.586690
1733985024.000000,0.309957,2.822238,18.186723
1733985025.000000,0.267097,2.822329,18.136386
1733985026.000000,0.636293,3.094344,18.698401
1733985027.000000,0.739847,3.030222,18.646266
1733985028.000000,0.485091,2.897610,18.371222
1733985029.000000,0.357303,2.871016,17.950367
1733985030.000000,0.311992,2.519097,18.157202
1733985031.000000,0.298590,2.737552,17.843801
1733985032.000000,0.334544,2.793972,17.515023
1733985033.000000,0.389808,2.639852,17.387465
1733985034.000000,0.307857,2.695968,17.333809
1733985035.000000,0.333612,2.541900,17.298298
1733985036.000000,0.441964,2.312177,17.063791
1733985037.000000,0.367491,2.206518,16.561585
1733985038.000000,-0.250259,2.761991,16.823414
1733985039.000000,-1.426700,3.092080,18.712508
1733985040.000000,-1.369364,3.464967,20.941796
1733985041.000000,-0.495550,2.944077,19.994206
1733985042.000000,0.066643,2.904986,19.435780
1733985043.000000,0.351757,2.855335,18.755246
1733985044.000000,0.334991,2.956597,18.775371
1733985045.000000,0.100954,2.818510,20.156419
1733985046.000000,0.297392,2.591327,19.308014
1733985047.000000,0.550246,2.372703,18.968411
1733985048.000000,0.073532,2.779314,19.043006
1733985049.000000,-0.315509,2.643761,19.904229
1733985050.000000,0.523455,2.352220,20.552871
1733985051.000000,1.180012,2.860057,20.714330
1733985052.000000,0.849082,2.798114,20.621679
1733985053.000000,0.771120,2.798175,19.851233
1733985054.000000,0.723220,3.014375,19.462707
1733985055.000000,0.918059,2.929225,19.543091
1733985056.000000,1.319715,2.283085,20.047825
1733985057.000000,1.162634,2.401567,20.102520
1733985058.000000,1.135434,2.335998,19.824835
1733985059.000000,1.651407,2.257480,20.298471
1733985060.000000,2.064821,1.892124,21.137340
1733985063.000000,0.493473,2.690359,18.650119
1733985064.000000,0.342475,2.517203,18.658903
1733985065.000000,-0.784739,3.498699,17.583140
1733985066.000000,-1.866058,2.595305,18.751076
1733985067.000000,-3.908015,6.620456,19.228752
1733985068.000000,-12.376687,36.260174,-55.933758
1733985096.000000,-8.148616,0.212538,24.542983
1733985097.000000,-0.368797,0.387775,24.202681
1733985098.000000,1.410601,2.852015,18.665173
1733985099.000000,-0.111007,2.853422,15.414809
1733985100.000000,5.896611,-0.052883,27.470546
1733985101.000000,0.814719,1.889629,19.353693
1733985102.000000,2.331257,1.567912,20.759932
1733985103.000000,2.032484,1.650532,19.943922
1733985104.000000,1.397919,1.990227,21.386607
1733985105.000000,0.749589,1.956777,19.668746
1733985106.000000,2.889458,0.990396,23.318491
1733985107.000000,0.971639,2.173658,19.314176
1733985108.000000,0.971369,2.425723,18.457598
1733985109.000000,1.174602,2.756396,18.825858
1733985110.000000,0.641065,2.897956,18.458069
1733985111.000000,0.443934,2.733012,17.913411
1733985112.000000,0.540144,2.126668,18.497007
1733985113.000000,0.222347,2.379014,17.541251
1733985114.000000,0.199498,2.421982,16.775939
1733985115.000000,0.489835,2.235619,17.639040
1733985116.000000,0.412254,2.416558,17.990551
1733985117.000000,0.231261,2.046979,19.989197
1733985118.000000,-0.119680,2.227727,18.689933
1733985119.000000,-0.069708,2.249532,18.605059
1733985120.000000,0.099952,2.207409,18.399114
1733985121.000000,-0.004752,2.345622,19.569469
1733985122.000000,0.237037,2.578203,19.673147
1733985123.000000,0.556263,2.545823,19.466557
1733985124.000000,0.786288,2.570673,19.296239
1733985125.000000,0.866007,2.683901,18.945898
1733985126.000000,0.825679,2.860576,18.515039
1733985127.000000,0.700898,3.048547,18.359545
1733985128.000000,0.660750,3.069011,18.986257
1733985129.000000,-0.259543,2.702010,21.554187
1733985130.000000,-0.138783,2.608912,20.829410
1733985131.000000,-0.162585,2.772308,20.026280
1733985132.000000,-0.261044,2.811362,19.976904
1733985133.000000,-0.607632,2.780271,19.972462
1733985134.000000,-0.630947,2.683734,20.338125
1733985135.000000,-0.459144,2.666356,19.592142
1733985136.000000,-0.276194,2.683028,18.861505
1733985137.000000,-0.437845,2.786312,18.388276
1733985138.000000,-0.174716,2.775008,18.061037
1733985139.000000,-0.112137,2.642459,17.968406
1733985140.000000,-0.333530,2.723294,17.961203
1733985141.000000,-0.267364,2.676605,17.408514
1733985142.000000,-0.150257,2.575746,17.395312
