time,lat,lon,height
1733985000.000000,32.067187,118.810668,33.980084
1733985003.000000,32.067050,118.810874,34.767979
1733985004.000000,32.067008,118.810949,35.142664
1733985005.000000,32.066967,118.811026,34.895026
1733985006.000000,32.066924,118.811103,34.743942
1733985007.000000,32.066878,118.811181,34.514994
1733985008.000000,32.066826,118.811255,34.845242
1733985009.000000,32.066766,118.811330,34.747174
1733985010.000000,32.066703,118.811402,34.489924
1733985011.000000,32.066647,118.811473,34.325879
1733985012.000000,32.066579,118.811547,36.736773
1733985013.000000,32.066514,118.811623,38.054141
1733985014.000000,32.066454,118.811690,38.369687
1733985015.000000,32.066390,118.811760,39.782432
1733985016.000000,32.066327,118.811826,40.638733
1733985017.000000,32.066268,118.811897,37.881304
1733985018.000000,32.066202,118.811980,40.832555
1733985019.000000,32.066132,118.812056,40.893402
1733985020.000000,32.066057,118.812128,40.334132
1733985021.000000,32.065983,118.812210,39.920854
1733985022.000000,32.065905,118.812298,39.685815
1733985023.000000,32.065827,118.812391,40.164691
1733985024.000000,32.065747,118.812485,39.036723
1733985025.000000,32.065663,118.812576,39.286387
1733985026.000000,32.065580,118.812674,40.112401
1733985027.000000,32.065491,118.812771,40.396267
1733985028.000000,32.065400,118.812866,40.448223
1733985029.000000,32.065306,118.812963,40.344368
1733985030.000000,32.065209,118.813057,40.864203
1733985031.000000,32.065114,118.813149,40.878801
1733985032.000000,32.065015,118.813239,40.875023
1733985033.000000,32.064913,118.813327,41.050466
1733985034.000000,32.064812,118.813409,41.327809
1733985035.000000,32.064709,118.813487,41.577298
1733985036.000000,32.064604,118.813564,41.652791
1733985037.000000,32.064501,118.813636,41.437585
1733985038.000000,32.064405,118.813698,41.962415
1733985039.000000,32.064306,118.813752,44.139509
1733985040.000000,32.064204,118.813817,46.584798
1733985041.000000,32.064090,118.813890,45.774207
1733985042.000000,32.063976,118.813957,45.315780
1733985043.000000,32.063858,118.814019,44.666246
1733985044.000000,32.063741,118.814076,44.688372
1733985045.000000,32.063619,118.814127,46.026419
1733985046.000000,32.063494,118.814181,45.053015
1733985047.000000,32.063370,118.814232,44.570411
1733985048.000000,32.063253,118.814271,44.466007
1733985049.000000,32.063134,118.814306,45.086229
1733985050.000000,32.063011,118.814351,45.497872
1733985051.000000,32.062895,118.814391,45.405331
1733985052.000000,32.062771,118.814417,44.999680
1733985053.000000,32.062643,118.814442,43.909233
1733985054.000000,32.062513,118.814465,43.216707
1733985055.000000,32.062376,118.814486,43.040092
1733985056.000000,32.062232,118.814507,43.287825
1733985057.000000,32.062093,118.814518,43.130520
1733985058.000000,32.061950,118.814525,42.660835
1733985059.000000,32.061814,118.814535,42.961471
1733985060.000000,32.061685,118.814539,43.613341
1733985063.000000,32.061333,118.814506,40.593119
1733985064.000000,32.061207,118.814494,40.472904
1733985065.000000,32.061087,118.814472,39.160141
1733985066.000000,32.060946,118.814454,40.109077
1733985067.000000,32.060848,118.814424,40.363757
1733985068.000000,32.060980,118.814327,-35.006643
1733985096.000000,32.056881,118.814181,40.771988
1733985097.000000,32.056781,118.814261,40.396681
1733985098.000000,32.056687,118.814264,33.988174
1733985099.000000,32.056575,118.814245,30.621810
1733985100.000000,32.056440,118.814309,42.582549
1733985101.000000,32.056352,118.814256,34.127693
1733985102.000000,32.056246,118.814275,35.379933
1733985103.000000,32.056144,118.814277,34.375922
1733985104.000000,32.056042,118.814277,35.696607
1733985105.000000,32.055935,118.814279,33.798746
1733985106.000000,32.055824,118.814312,37.309492
1733985107.000000,32.055735,118.814303,33.152176
1733985108.000000,32.055639,118.814316,32.133599
1733985109.000000,32.055546,118.814332,32.344859
1733985110.000000,32.055454,118.814340,31.845069
1733985111.000000,32.055369,118.814349,31.195412
1733985112.000000,32.055297,118.814358,31.693008
1733985113.000000,32.055245,118.814361,30.648252
