time,E,N,U
1733985000.000000,1.082087,6.246457,10.989634
1733985003.000000,0.834196,5.893990,12.676250
1733985004.000000,0.605916,5.862940,14.210029
1733985005.000000,0.944863,6.059380,12.582137
1733985006.000000,1.176092,6.343116,15.933456
1733985007.000000,1.657939,6.863498,13.931827
1733985008.000000,1.849911,7.568495,16.516370
1733985009.000000,2.240896,8.302526,18.306477
1733985010.000000,2.646950,8.538204,20.170235
1733985011.000000,2.648822,8.739813,23.199256
1733985012.000000,1.480793,7.608958,25.479292
1733985013.000000,0.886508,6.851056,28.248391
1733985014.000000,-0.099690,6.773647,31.611966
1733985015.000000,-0.729618,6.339295,34.797745
1733985016.000000,-2.649160,5.598535,37.425698
1733985017.000000,-3.719177,4.427959,36.930103
1733985018.000000,-4.304622,3.727512,40.468172
1733985019.000000,-4.922277,3.317493,45.238215
1733985020.000000,-5.247281,2.511719,46.707915
1733985021.000000,-5.217764,2.505170,48.579914
1733985022.000000,-5.264057,3.389688,51.257564
1733985023.000000,-5.697213,4.327376,53.064587
1733985024.000000,0.847098,8.811550,28.539617
1733985025.000000,0.865454,7.824041,27.369910
1733985026.000000,1.458503,7.874354,26.096696
1733985027.000000,1.644678,8.016553,24.436902
1733985028.000000,0.753109,7.450203,23.604876
1733985029.000000,0.720918,7.324946,23.749770
1733985030.000000,0.933455,6.698090,23.763521
1733985031.000000,1.014418,6.222438,24.935666
1733985032.000000,1.663757,7.397830,21.529168
1733985033.000000,1.476324,7.734922,19.929146
1733985034.000000,1.622641,7.424271,20.055517
1733985035.000000,0.813427,7.028536,16.340018
1733985036.000000,0.828694,6.004702,11.418577
1733985037.000000,1.937292,6.192151,14.664105
1733985038.000000,0.046951,6.600097,12.274016
1733985039.000000,-0.545900,7.054512,12.973894
1733985040.000000,-0.572092,7.161818,14.501051
1733985041.000000,0.200244,6.886657,13.948139
1733985042.000000,1.006767,6.847367,14.165085
1733985043.000000,0.706425,7.107045,15.441489
1733985044.000000,0.686010,6.539856,14.902856
1733985045.000000,0.401083,5.283790,16.347785
1733985046.000000,0.769400,5.416276,15.080565
1733985047.000000,1.339825,5.396978,13.612834
1733985048.000000,0.739358,5.455498,12.967249
1733985049.000000,-0.000848,5.390920,13.588491
1733985050.000000,0.803494,5.162903,15.704786
1733985051.000000,1.792949,6.137332,15.307738
1733985052.000000,1.630544,5.629720,14.819112
1733985053.000000,2.187735,5.851087,15.729391
1733985054.000000,1.781274,6.693880,15.064214
1733985055.000000,1.106815,6.313388,13.609653
1733985056.000000,1.847639,5.886927,14.874755
1733985057.000000,1.779749,6.507326,16.383117
1733985058.000000,2.027591,6.187500,16.644867
1733985059.000000,2.608588,5.651859,17.854690
1733985060.000000,3.216732,5.147052,19.009577
1733985063.000000,2.003694,7.257718,21.424428
1733985064.000000,2.415959,7.542494,23.725876
1733985065.000000,1.796511,9.619670,26.049729
1733985066.000000,2.860331,8.005322,34.271447
1733985067.000000,-3.632564,5.501243,13.540146
1733985068.000000,-16.302465,21.020426,-24.054330
1733985096.000000,-9.715722,-4.888416,26.308459
1733985097.000000,1.121243,-0.111398,16.705285
1733985098.000000,1.466573,5.822996,9.411380
1733985099.000000,-0.931600,5.078279,5.978045
1733985100.000000,3.145503,4.097433,6.150743
1733985101.000000,0.261191,4.835895,8.812390
1733985102.000000,1.076221,5.345640,8.773985
1733985103.000000,0.221002,5.334520,9.251986
1733985104.000000,0.711804,4.446701,11.922148
1733985105.000000,1.173667,3.106036,12.366547
1733985106.000000,3.074596,1.392987,14.650955
1733985107.000000,1.837919,2.704113,12.212673
1733985108.000000,2.461719,3.934782,16.383295
1733985109.000000,1.492889,6.135866,16.189532
1733985110.000000,0.621859,6.174342,16.151914
1733985111.000000,0.474021,5.554228,16.011571
1733985112.000000,0.116006,4.379343,15.346203
1733985113.000000,-0.243913,4.204612,16.351120
1733985114.000000,-0.643853,4.367568,16.296519
1733985115.000000,-0.530248,4.499551,18.145735
1733985116.000000,-0.338174,4.822252,17.729009
1733985117.000000,-0.398056,4.153079,18.664187
1733985118.000000,-1.082311,4.471327,17.561542
1733985119.000000,-1.334761,4.662219,18.971667
1733985120.000000,-0.957798,4.848971,20.596278
1733985121.000000,-1.713269,4.675507,19.559804
1733985122.000000,-1.378252,5.447770,20.564090
1733985123.000000,-0.755721,5.658985,21.995565
1733985124.000000,-0.349646,5.630396,24.836338
1733985125.000000,-0.318339,5.665832,19.783669
1733985126.000000,-0.169019,5.869990,18.018107
1733985127.000000,-0.187720,5.867589,17.219247
1733985128.000000,-0.195970,5.816028,17.717743
1733985129.000000,-3.757513,3.076530,26.782682
1733985130.000000,-2.965586,3.747623,23.018970
1733985131.000000,-2.706856,4.176098,21.448912
1733985132.000000,-2.863642,4.279071,21.307212
1733985133.000000,-3.150695,4.046173,21.082041
1733985134.000000,-3.274663,3.985072,22.071954
1733985135.000000,-3.025445,4.300609,22.254504
1733985136.000000,-2.486968,4.537767,20.888947
1733985137.000000,-2.262246,5.031037,21.841837
1733985138.000000,-1.526884,5.455945,18.382849
1733985139.000000,-1.254627,5.452970,21.977532
1733985140.000000,-1.459045,5.588150,18.436872
1733985141.000000,-1.393868,5.736402,18.518430
1733985142.000000,-1.376706,5.655168,18.828186
1733985143.000000,-1.205842,5.728999,20.637199
1733985144.000000,-1.482094,5.998748,18.374767
1733985145.000000,-1.036812,6.318330,17.351136
1733985146.000000,-0.728896,6.560659,15.957197
1733985147.000000,-0.257248,6.476646,15.875078
1733985148.000000,-0.242164,6.534909,15.810353
1733985149.000000,-0.262999,6.414734,16.514469
1733985150.000000,-0.777069,5.945879,20.431579
1733985151.000000,-0.748710,5.500708,21.578556
1733985152.000000,-3.383583,3.659261,26.474859
1733985153.000000,-4.154569,3.025809,27.079357
1733985154.000000,-4.713227,2.349959,28.517278
1733985155.000000,-5.112442,1.248678,29.719069
1733985156.000000,-5.372696,0.007570,30.211357
1733985157.000000,-5.696882,-0.370480,31.834850
1733985158.000000,-5.787419,-0.347151,32.539954
1733985159.000000,-6.257915,0.281388,34.452889
1733985160.000000,-6.211112,0.431897,33.674248
1733985161.000000,-5.867899,1.425969,31.029357
1733985162.000000,-5.474731,2.478413,28.704692
1733985163.000000,-2.793646,6.854766,18.940040
1733985164.000000,-3.597621,4.222847,27.552265
1733985165.000000,-3.856492,3.535431,28.008037
1733985166.000000,-3.930932,3.091852,29.344849
1733985167.000000,-2.960403,4.361292,25.260716
1733985168.000000,-2.469799,5.133377,23.495943
1733985169.000000,-1.746083,5.887149,19.282307
1733985170.000000,-1.381621,6.443234,19.068153
1733985171.000000,-1.300120,6.756189,18.777931
1733985172.000000,-0.439499,5.651756,15.792845
1733985173.000000,-0.011336,6.255496,17.364018
1733985174.000000,1.375719,7.171841,14.770593
1733985175.000000,-0.256809,8.086749,17.895436
1733985176.000000,1.496092,5.829516,18.169193
1733985177.000000,5.967367,3.569981,23.565554
1733985178.000000,9.258752,-1.102841,32.088127
1733985179.000000,10.716958,-3.817106,34.742621
1733985180.000000,9.745939,-4.031204,34.047224
1733985182.000000,1.221255,1.128951,27.844388
1733985183.000000,0.566548,1.066468,32.461425
1733985184.000000,1.233984,2.237084,32.707098
