time,E,N,U
1733986000.000000,-0.683066,1.651085,16.521400
1733986001.000000,-0.234122,1.831449,18.611516
1733986002.000000,-0.267261,2.557527,18.953497
1733986003.000000,1.499286,1.857205,20.812030
1733986004.000000,0.827662,2.196480,19.677794
1733986005.000000,0.761832,2.647040,19.853596
1733986006.000000,0.632180,2.927220,18.920508
1733986007.000000,0.272628,3.024410,19.147633
1733986008.000000,-0.125525,2.521315,20.178172
1733986009.000000,0.205337,1.645273,21.411508
1733986010.000000,0.433592,1.823724,19.457543
1733986011.000000,0.781423,2.175976,18.032732
1733986012.000000,0.758561,2.370068,19.734449
1733986013.000000,0.899830,1.976919,21.241626
1733986014.000000,0.569491,2.164597,19.339559
1733986015.000000,0.936332,3.269411,23.237667
1733986016.000000,0.592606,2.309969,21.058798
1733986017.000000,0.383868,2.608059,20.662608
1733986018.000000,0.112513,3.201766,18.189987
1733986019.000000,0.450317,3.204009,17.881952
1733986020.000000,0.708810,3.364390,17.532950
1733986022.000000,0.523182,2.437410,16.764920
1733986023.000000,0.297223,2.496038,16.231292
1733986024.000000,-0.014037,2.855641,16.063804
1733986025.000000,-0.068233,2.934222,16.707269
1733986026.000000,0.143325,2.589758,16.952040
1733986027.000000,0.293407,2.904863,17.427136
1733986028.000000,0.144758,2.702029,18.038241
1733986029.000000,0.074556,2.797889,18.358684
1733986030.000000,-0.074284,3.027814,18.330785
1733986031.000000,0.001133,2.933117,19.060978
1733986032.000000,0.311840,2.707072,18.982721
1733986033.000000,0.140273,2.943023,17.715256
1733986034.000000,0.136475,3.100579,17.764113
1733986035.000000,0.060294,2.977119,16.822888
1733986036.000000,-0.328136,2.989923,18.232618
1733986037.000000,-0.110957,2.961329,17.891474
1733986038.000000,-0.514921,3.222394,17.991052
1733986039.000000,-1.879251,3.972993,20.550066
1733986040.000000,-1.378339,3.447164,20.180923
1733986041.000000,-1.604002,4.070298,21.107248
1733986042.000000,-2.791760,5.529583,24.385170
1733986043.000000,-1.870935,4.519176,22.447197
1733986044.000000,-1.325614,2.981574,20.851781
1733986045.000000,-0.685982,2.794679,20.129990
1733986046.000000,-0.142269,2.868220,20.816021
1733986047.000000,0.168959,3.067930,20.849199
1733986048.000000,0.468866,2.618729,21.017168
1733986049.000000,0.408421,2.774949,20.176060
1733986050.000000,0.977653,2.670142,19.425787
1733986051.000000,1.287290,2.305986,21.255052
1733986052.000000,0.943890,2.374826,20.615721
1733986053.000000,0.437979,2.672861,19.797171
1733986054.000000,0.574710,2.822751,19.318630
1733986055.000000,0.555491,3.061084,18.510247
1733986056.000000,0.865465,2.739802,18.195478
1733986057.000000,0.795643,2.596637,17.875947
1733986058.000000,0.523154,2.742376,17.291108
1733986059.000000,0.680850,2.994793,16.963812
1733986060.000000,0.951258,2.910383,17.118068
1733986061.000000,0.961629,2.961903,17.270603
1733986062.000000,0.687740,2.574234,17.605628
1733986063.000000,0.689312,2.603352,17.605522
1733986064.000000,0.271423,3.202712,18.276960
1733986065.000000,0.122993,3.494864,17.918449
1733986066.000000,0.451235,3.156638,17.256842
1733986067.000000,0.702157,2.815164,17.901990
1733986068.000000,1.209931,2.458982,18.261890
1733986069.000000,0.896141,2.527983,17.255291
1733986070.000000,0.946117,2.305631,16.781806
1733986071.000000,1.225434,2.390902,17.101326
1733986072.000000,0.880272,2.350358,17.654755
1733986073.000000,0.756093,2.171102,17.572633
1733986074.000000,0.721631,2.487996,17.341076
1733986075.000000,0.618597,2.679663,16.573518
1733986076.000000,0.563961,2.801253,17.059861
1733986077.000000,0.509270,2.853698,17.199436
1733986078.000000,-0.073549,3.230681,17.387543
