time,lat,lon,height
1733986000.000000,32.050852,118.859270,57.779400
1733986001.000000,32.050945,118.859304,60.154517
1733986002.000000,32.051042,118.859336,60.760498
1733986003.000000,32.051127,118.859388,62.911030
1733986004.000000,32.051220,118.859413,62.108795
1733986005.000000,32.051311,118.859445,62.624597
1733986006.000000,32.051397,118.859474,62.011508
1733986007.000000,32.051479,118.859501,62.558634
1733986008.000000,32.051554,118.859527,63.936172
1733986009.000000,32.051626,118.859560,65.524508
1733986010.000000,32.051705,118.859592,63.912544
1733986011.000000,32.051783,118.859624,62.806733
1733986012.000000,32.051855,118.859650,64.852450
1733986013.000000,32.051916,118.859676,66.682627
1733986014.000000,32.051972,118.859694,65.176559
1733986015.000000,32.052032,118.859719,69.342667
1733986016.000000,32.052066,118.859735,67.339798
1733986017.000000,32.052106,118.859752,66.989609
1733986018.000000,32.052145,118.859769,64.619988
1733986019.000000,32.052177,118.859799,64.453953
1733986020.000000,32.052208,118.859837,64.064951
1733986022.000000,32.052257,118.859929,63.159921
1733986023.000000,32.052281,118.859985,62.517292
1733986024.000000,32.052302,118.860048,62.201804
1733986025.000000,32.052314,118.860115,62.683269
1733986026.000000,32.052316,118.860191,62.823041
1733986027.000000,32.052316,118.860274,63.211136
1733986028.000000,32.052306,118.860364,63.671242
1733986029.000000,32.052293,118.860465,63.850685
1733986030.000000,32.052277,118.860571,63.664785
1733986031.000000,32.052253,118.860682,64.300979
1733986032.000000,32.052220,118.860794,64.103722
1733986033.000000,32.052181,118.860899,62.719257
1733986034.000000,32.052133,118.861001,62.653114
1733986035.000000,32.052074,118.861099,61.677889
1733986036.000000,32.052009,118.861189,63.004618
1733986037.000000,32.051941,118.861283,62.553475
1733986038.000000,32.051879,118.861366,62.567053
1733986039.000000,32.051830,118.861442,65.121067
1733986040.000000,32.051781,118.861543,64.886924
1733986041.000000,32.051755,118.861636,66.037250
1733986042.000000,32.051747,118.861711,69.590173
1733986043.000000,32.051722,118.861794,67.872198
1733986044.000000,32.051696,118.861862,66.495782
1733986045.000000,32.051681,118.861918,65.941990
1733986046.000000,32.051664,118.861960,66.796022
1733986047.000000,32.051641,118.861990,66.984200
1733986048.000000,32.051609,118.862005,67.177168
1733986049.000000,32.051583,118.862004,66.275060
1733986050.000000,32.051546,118.862001,65.430788
1733986051.000000,32.051492,118.861981,66.962052
1733986052.000000,32.051434,118.861946,65.882721
1733986053.000000,32.051380,118.861906,64.794172
1733986054.000000,32.051324,118.861872,64.052630
1733986055.000000,32.051270,118.861837,62.962248
1733986056.000000,32.051212,118.861809,62.375478
1733986057.000000,32.051159,118.861777,61.782948
1733986058.000000,32.051110,118.861740,60.938109
1733986059.000000,32.051071,118.861712,60.421813
1733986060.000000,32.051035,118.861691,60.366069
1733986061.000000,32.051000,118.861677,60.296604
1733986062.000000,32.050964,118.861679,60.505628
1733986063.000000,32.050948,118.861695,60.510522
1733986064.000000,32.050951,118.861695,61.210961
1733986065.000000,32.050955,118.861691,60.856450
1733986066.000000,32.050957,118.861688,60.196843
1733986067.000000,32.050961,118.861680,60.838991
1733986068.000000,32.050962,118.861674,61.192890
1733986069.000000,32.050964,118.861660,60.173291
1733986070.000000,32.050962,118.861658,59.670806
1733986071.000000,32.050964,118.861670,60.019327
1733986072.000000,32.050975,118.861689,60.664755
1733986073.000000,32.051003,118.861711,60.768633
1733986074.000000,32.051050,118.861731,60.804077
1733986075.000000,32.051105,118.861760,60.309519
1733986076.000000,32.051167,118.861801,61.122862
1733986077.000000,32.051235,118.861849,61.637437
1733986078.000000,32.051311,118.861890,62.194543
1733986079.000000,32.051383,118.861938,62.681051
1733986080.000000,32.051454,118.861981,63.905403
1733986083.000000,32.051595,118.862068,65.480628
1733986084.000000,32.051623,118.862088,65.636744
1733986085.000000,32.051646,118.862114,65.829705
1733986086.000000,32.051661,118.862163,66.309978
1733986087.000000,32.051675,118.862242,66.461781
1733986088.000000,32.051701,118.862343,65.861634
1733986089.000000,32.051735,118.862458,65.517789
1733986090.000000,32.051778,118.862578,65.221483
1733986091.000000,32.051829,118.862711,66.595635
1733986092.000000,32.051884,118.862849,67.334887
1733986093.000000,32.051940,118.862980,67.669815
1733986094.000000,32.051991,118.863111,68.503054
1733986095.000000,32.052045,118.863236,69.385648
1733986096.000000,32.052096,118.863361,69.493233
1733986097.000000,32.052143,118.863487,69.781185
1733986098.000000,32.052192,118.863608,69.767837
1733986099.000000,32.052241,118.863728,70.335422
1733986100.000000,32.052289,118.863842,70.279070
1733986101.000000,32.052335,118.863950,70.500461
1733986102.000000,32.052380,118.864056,70.020236
1733986103.000000,32.052415,118.864164,70.038791
1733986104.000000,32.052444,118.864277,69.289604
1733986105.000000,32.052461,118.864400,69.175494
1733986106.000000,32.052472,118.864531,69.714878
1733986107.000000,32.052482,118.864665,68.872080
1733986108.000000,32.052489,118.864796,67.857874
1733986109.000000,32.052495,118.864931,67.473103
1733986110.000000,32.052489,118.865071,67.197859
1733986111.000000,32.052471,118.865204,66.777786
1733986112.000000,32.052436,118.865330,66.637480
1733986113.000000,32.052386,118.865452,67.431883
1733986114.000000,32.052313,118.865584,65.062031
1733986115.000000,32.052222,118.865711,64.335005
1733986116.000000,32.052120,118.865833,64.041290
1733986117.000000,32.052024,118.865952,63.935487
1733986118.000000,32.051932,118.866064,63.374914
1733986119.000000,32.051851,118.866167,64.280983
1733986120.000000,32.051776,118.866262,64.093862
1733986121.000000,32.051702,118.866362,64.566737
1733986122.000000,32.051638,118.866450,64.104477
1733986123.000000,32.051577,118.866540,62.894152
1733986124.000000,32.051518,118.866637,60.703667
1733986125.000000,32.051462,118.866728,60.818546
1733986126.000000,32.051411,118.866815,62.470097
1733986127.000000,32.051380,118.866881,61.476625
1733986128.000000,32.051351,118.866937,61.351224
1733986129.000000,32.051322,118.866979,60.965878
1733986130.000000,32.051289,118.866993,62.348284
1733986131.000000,32.051257,118.866995,64.209217
1733986132.000000,32.051236,118.866968,62.282240
1733986133.000000,32.051209,118.866924,62.157181
1733986134.000000,32.051190,118.866890,61.009942
1733986135.000000,32.051180,118.866865,59.773317
1733986136.000000,32.051168,118.866846,58.982574
1733986137.000000,32.051151,118.866823,60.449404
1733986138.000000,32.051124,118.866797,60.414645
1733986139.000000,32.051085,118.866761,60.800982
1733986140.000000,32.051039,118.866709,60.181010
1733986143.000000,32.050882,118.866490,58.313898
1733986144.000000,32.050822,118.866406,58.132219
1733986145.000000,32.050758,118.866320,57.831060
1733986146.000000,32.050696,118.866233,57.580839
1733986147.000000,32.050636,118.866147,57.510720
1733986148.000000,32.050578,118.866065,57.169233
1733986149.000000,32.050523,118.865988,56.907940
1733986150.000000,32.050471,118.865911,56.682426
1733986151.000000,32.050422,118.865841,56.518910
1733986152.000000,32.050374,118.865773,56.264344
1733986153.000000,32.050327,118.865707,56.245223
1733986154.000000,32.050281,118.865643,56.156105
1733986155.000000,32.050236,118.865578,55.903236
1733986156.000000,32.050191,118.865515,55.771733
1733986157.000000,32.050149,118.865453,55.972603
1733986158.000000,32.050102,118.865396,55.922422
1733986159.000000,32.050053,118.865342,55.454829
1733986160.000000,32.050000,118.865295,55.735827
1733986161.000000,32.049940,118.865253,56.059364
1733986162.000000,32.049875,118.865215,56.337574
1733986163.000000,32.049800,118.865182,56.782874
1733986164.000000,32.049713,118.865159,57.129659
1733986165.000000,32.049620,118.865147,57.045774
1733986166.000000,32.049517,118.865150,57.120407
1733986167.000000,32.049407,118.865160,57.167071
1733986168.000000,32.049295,118.865179,56.960473
1733986169.000000,32.049191,118.865195,56.677007
1733986170.000000,32.049092,118.865213,56.384239
1733986171.000000,32.049002,118.865233,56.757010
1733986172.000000,32.048912,118.865254,56.744663
1733986173.000000,32.048827,118.865272,56.819674
1733986174.000000,32.048738,118.865288,57.045719
1733986175.000000,32.048652,118.865304,56.873981
1733986176.000000,32.048566,118.865321,57.081900
1733986177.000000,32.048481,118.865338,56.877318
1733986178.000000,32.048397,118.865355,56.458120
1733986179.000000,32.048315,118.865373,55.661051
