time,E,N,U
1733986000.000000,-1.197925,3.750055,14.035129
1733986001.000000,-0.566147,3.978209,14.969646
1733986002.000000,-0.449749,4.732009,14.660568
1733986003.000000,2.271221,4.126168,17.269793
1733986004.000000,1.855610,4.382100,15.609182
1733986005.000000,2.295417,4.523971,15.096949
1733986006.000000,1.846160,5.067895,13.456282
1733986007.000000,1.496857,5.402503,14.478203
1733986008.000000,0.981885,4.734188,16.037257
1733986009.000000,0.454317,3.139600,17.693447
1733986010.000000,0.611278,4.231207,14.531369
1733986011.000000,2.507458,4.172250,10.849517
1733986012.000000,1.653606,4.775872,14.798150
1733986013.000000,1.744022,4.361735,15.236911
1733986014.000000,0.862772,4.292740,13.636432
1733986015.000000,1.590529,5.067760,17.135648
1733986016.000000,0.127835,3.203283,19.773805
1733986017.000000,0.113395,2.991146,21.840797
1733986018.000000,0.359917,4.617469,17.664222
1733986019.000000,1.228832,3.946602,17.235543
1733986020.000000,2.038814,5.095796,13.987714
1733986022.000000,1.315620,4.708435,13.153718
1733986023.000000,1.148696,5.648286,10.271405
1733986024.000000,0.747067,5.676046,9.771732
1733986025.000000,0.694629,5.893649,9.163899
1733986026.000000,0.785728,5.538837,9.323153
1733986027.000000,0.770815,5.402153,9.893331
1733986028.000000,0.437766,5.385677,9.632890
1733986029.000000,0.176909,5.480729,10.143960
1733986030.000000,-0.269979,5.281663,10.526152
1733986031.000000,-0.081871,5.268686,10.747886
1733986032.000000,0.415655,5.153072,11.050959
1733986033.000000,0.483044,5.925226,9.006523
1733986034.000000,0.229633,5.120054,8.913730
1733986035.000000,0.314322,4.557400,8.502107
1733986036.000000,-1.266964,4.074863,13.991312
1733986037.000000,-0.829897,4.309027,12.375144
1733986038.000000,-0.865648,5.231591,10.812691
1733986039.000000,-2.657742,6.169764,12.087170
1733986040.000000,-1.965593,5.504775,10.569325
1733986041.000000,-2.101255,5.878269,11.511159
1733986042.000000,-3.239064,8.255423,12.045906
1733986043.000000,-2.568644,6.390481,11.413809
1733986044.000000,-2.802226,4.504519,11.122612
1733986045.000000,-2.487198,3.940209,10.446845
1733986046.000000,-1.317956,5.328867,14.415903
1733986047.000000,-0.823786,5.557586,17.222378
1733986048.000000,-0.442088,5.440690,16.477478
1733986049.000000,-0.265080,4.585222,11.448894
1733986050.000000,0.503219,4.324714,9.780202
1733986051.000000,1.889916,3.564941,9.325041
1733986052.000000,1.155271,4.528110,11.322580
1733986053.000000,0.531192,4.631568,11.266598
1733986054.000000,0.737009,5.014884,10.855917
1733986055.000000,1.200681,5.318596,10.455482
1733986056.000000,2.073994,4.719897,10.930462
1733986057.000000,1.618223,4.610704,10.588425
1733986058.000000,1.028522,5.214167,10.043081
1733986059.000000,1.142095,5.280038,10.459838
1733986060.000000,1.287817,5.785018,10.905006
1733986061.000000,1.272761,6.030814,10.420376
1733986062.000000,1.210210,5.831710,10.615929
1733986063.000000,1.158058,5.565158,10.285201
1733986064.000000,0.648542,5.792322,12.256332
1733986065.000000,0.532433,6.560011,12.447237
1733986066.000000,1.001616,6.222016,10.896300
1733986067.000000,1.565204,5.821205,11.708738
1733986068.000000,1.796795,5.596954,11.014191
1733986069.000000,1.419107,5.398920,9.970568
1733986070.000000,1.500309,5.071992,9.971817
1733986071.000000,1.674123,5.000640,9.482514
1733986072.000000,1.413146,5.177116,9.571261
1733986073.000000,1.167332,5.094310,9.275300
1733986074.000000,1.199091,5.137452,9.246815
1733986075.000000,0.828779,4.920984,9.799545
1733986076.000000,0.756872,4.925535,9.459284
1733986077.000000,0.478102,4.913438,9.488670
1733986078.000000,0.266757,4.957079,9.535271
1733986079.000000,0.589754,4.914632,8.870664
1733986080.000000,0.534120,5.073083,8.119054
1733986083.000000,0.597690,5.005348,9.529263
1733986084.000000,0.684564,5.221964,9.018575
1733986085.000000,0.386105,4.653208,10.565897
1733986086.000000,-0.506941,3.885466,12.624517
1733986087.000000,-0.770602,3.229079,13.579050
1733986088.000000,-0.576577,3.089573,13.069997
1733986089.000000,-0.265008,3.884155,10.172673
1733986090.000000,-1.063137,4.094128,6.909368
1733986091.000000,0.060831,3.956000,8.816521
1733986092.000000,1.157411,3.622497,11.835146
1733986093.000000,0.520718,3.582464,11.409454
1733986094.000000,0.550283,3.804932,10.512023
1733986095.000000,0.684203,4.179619,9.635457
1733986096.000000,0.808364,4.052547,10.657151
1733986097.000000,0.938611,4.223450,9.943816
1733986098.000000,0.691630,4.657034,9.857617
1733986099.000000,0.415356,4.436812,10.388815
1733986100.000000,0.438366,4.350930,10.484653
1733986101.000000,0.579807,3.852517,10.856886
1733986102.000000,0.949230,4.580805,10.829114
1733986103.000000,0.595253,5.162502,10.384241
1733986104.000000,0.507364,5.018190,9.726573
1733986105.000000,0.408762,5.164254,9.686219
1733986106.000000,0.761413,4.587877,10.090015
1733986107.000000,0.717807,4.387027,9.838907
1733986108.000000,0.289557,4.627945,8.946052
1733986109.000000,0.508391,5.155074,9.224870
1733986110.000000,0.906187,5.446575,10.106047
1733986111.000000,0.077337,5.912916,9.338330
1733986112.000000,-1.900677,6.597230,7.855389
1733986113.000000,-2.593777,6.644227,4.071781
1733986114.000000,-1.752406,5.774101,4.134272
