time,lat,lon,height
1733986000.000000,32.050871,118.859265,55.293130
1733986001.000000,32.050964,118.859300,56.512647
1733986002.000000,32.051062,118.859334,56.467570
1733986003.000000,32.051147,118.859396,59.368795
1733986004.000000,32.051240,118.859424,58.040183
1733986005.000000,32.051328,118.859461,57.867952
1733986006.000000,32.051416,118.859487,56.547285
1733986007.000000,32.051501,118.859514,57.889206
1733986008.000000,32.051574,118.859539,59.795259
1733986009.000000,32.051639,118.859563,61.806448
1733986010.000000,32.051726,118.859594,58.986370
1733986011.000000,32.051801,118.859642,55.623519
1733986012.000000,32.051877,118.859659,59.916152
1733986013.000000,32.051938,118.859685,60.677913
1733986014.000000,32.051992,118.859697,59.473434
1733986015.000000,32.052049,118.859726,63.240651
1733986016.000000,32.052074,118.859730,66.054806
1733986017.000000,32.052109,118.859749,68.167798
1733986018.000000,32.052158,118.859772,64.094224
1733986019.000000,32.052184,118.859807,63.807544
1733986020.000000,32.052224,118.859851,60.519716
1733986022.000000,32.052277,118.859937,59.548720
1733986023.000000,32.052310,118.859994,56.557407
1733986024.000000,32.052328,118.860056,55.909735
1733986025.000000,32.052341,118.860124,55.139902
1733986026.000000,32.052343,118.860198,55.194155
1733986027.000000,32.052339,118.860279,55.677333
1733986028.000000,32.052330,118.860367,55.265892
1733986029.000000,32.052318,118.860466,55.635962
1733986030.000000,32.052297,118.860569,55.860154
1733986031.000000,32.052274,118.860681,55.987888
1733986032.000000,32.052242,118.860795,56.171961
1733986033.000000,32.052208,118.860902,54.010525
1733986034.000000,32.052152,118.861002,53.802732
1733986035.000000,32.052088,118.861102,53.357109
1733986036.000000,32.052019,118.861179,58.763314
1733986037.000000,32.051953,118.861275,57.037145
1733986038.000000,32.051897,118.861362,55.388693
1733986039.000000,32.051849,118.861434,56.658173
1733986040.000000,32.051799,118.861536,55.275327
1733986041.000000,32.051772,118.861631,56.441162
1733986042.000000,32.051772,118.861707,57.250912
1733986043.000000,32.051739,118.861787,56.838813
1733986044.000000,32.051710,118.861846,56.766615
1733986045.000000,32.051691,118.861898,56.258846
1733986046.000000,32.051687,118.861947,60.395905
1733986047.000000,32.051663,118.861980,63.357380
1733986048.000000,32.051635,118.861995,62.637480
1733986049.000000,32.051600,118.861997,57.547895
1733986050.000000,32.051560,118.861996,55.785204
1733986051.000000,32.051503,118.861988,55.032043
1733986052.000000,32.051454,118.861948,56.589582
1733986053.000000,32.051398,118.861907,56.263600
1733986054.000000,32.051344,118.861874,55.589919
1733986055.000000,32.051290,118.861844,54.907484
1733986056.000000,32.051230,118.861822,55.110464
1733986057.000000,32.051177,118.861785,54.495427
1733986058.000000,32.051133,118.861745,53.690083
1733986059.000000,32.051092,118.861717,53.917841
1733986060.000000,32.051061,118.861694,54.153008
1733986061.000000,32.051028,118.861680,53.446379
1733986062.000000,32.050993,118.861685,53.515932
1733986063.000000,32.050975,118.861700,53.190203
1733986064.000000,32.050975,118.861699,55.190334
1733986065.000000,32.050983,118.861695,55.385240
1733986066.000000,32.050985,118.861694,53.836303
1733986067.000000,32.050988,118.861689,54.645741
1733986068.000000,32.050990,118.861680,53.945194
1733986069.000000,32.050990,118.861666,52.888570
1733986070.000000,32.050987,118.861664,52.860819
