time,E,N,U
1733987000.000000,-0.436605,2.388189,14.546635
1733987001.000000,-0.152472,2.530005,15.109926
1733987002.000000,0.058610,2.586315,15.692019
1733987003.000000,0.641679,2.783921,16.972764
1733987004.000000,0.648749,2.560994,16.397368
1733987005.000000,0.391834,2.496372,15.865960
1733987006.000000,0.067266,2.318883,16.236103
1733987007.000000,0.079697,2.535036,16.218038
1733987008.000000,0.517882,2.131980,17.688435
1733987009.000000,0.164334,2.253007,18.406357
1733987010.000000,0.152945,2.473625,19.425878
1733987011.000000,0.430808,2.936209,18.905316
1733987012.000000,0.524056,3.133497,19.002549
1733987013.000000,0.684384,2.880856,18.577055
1733987014.000000,0.758608,2.855766,18.413894
1733987015.000000,0.615164,2.612228,17.835856
1733987016.000000,1.064899,2.223998,18.286123
1733987017.000000,1.661585,1.835916,18.919276
1733987018.000000,1.461102,1.583527,18.939626
1733987019.000000,1.267113,1.755710,19.693646
1733987020.000000,1.156227,2.043645,17.920628
1733987021.000000,0.883559,2.117312,17.871597
1733987022.000000,0.484977,2.483673,17.023852
1733987023.000000,0.560811,2.424678,15.867133
1733987024.000000,0.384886,2.558488,15.382192
1733987025.000000,0.619279,2.612186,15.463103
1733987026.000000,0.342633,2.464244,15.854567
1733987027.000000,0.184497,2.386191,16.367205
1733987028.000000,0.278278,2.099265,16.401553
1733987029.000000,0.248835,2.482269,15.854400
1733987030.000000,0.263730,2.444516,15.570857
1733987031.000000,0.279515,2.414792,15.804304
1733987032.000000,0.141650,2.499193,15.630580
1733987033.000000,0.316023,2.605714,15.794281
1733987034.000000,0.412807,2.532406,15.679274
1733987035.000000,0.715339,1.898514,16.912707
1733987036.000000,0.607571,1.944685,17.652498
1733987037.000000,0.438738,1.696681,17.805141
1733987038.000000,0.634032,1.721524,17.573924
1733987039.000000,0.649746,2.108525,16.871081
1733987040.000000,0.722424,2.177386,16.605467
1733987043.000000,0.450724,2.156771,16.730557
1733987044.000000,0.212326,2.279860,17.041631
