time,lat,lon,height
1733987000.000000,32.041986,118.859067,48.562636
1733987001.000000,32.041930,118.859167,48.020926
1733987002.000000,32.041884,118.859263,47.619019
1733987003.000000,32.041854,118.859360,47.974765
1733987004.000000,32.041828,118.859444,46.512369
1733987005.000000,32.041809,118.859518,45.141961
1733987006.000000,32.041799,118.859588,44.789103
1733987007.000000,32.041810,118.859658,44.073038
1733987008.000000,32.041824,118.859727,44.957436
1733987009.000000,32.041842,118.859782,45.141357
1733987010.000000,32.041853,118.859833,45.752878
1733987011.000000,32.041855,118.859878,44.971317
1733987012.000000,32.041840,118.859909,45.056550
1733987013.000000,32.041804,118.859927,44.666055
1733987014.000000,32.041759,118.859925,44.570894
1733987015.000000,32.041714,118.859896,44.127856
1733987016.000000,32.041679,118.859854,44.819123
1733987017.000000,32.041656,118.859790,45.795276
1733987018.000000,32.041649,118.859694,46.216626
1733987019.000000,32.041654,118.859578,47.411646
1733987020.000000,32.041664,118.859443,46.137628
1733987021.000000,32.041671,118.859294,46.624597
1733987022.000000,32.041682,118.859141,46.316852
1733987023.000000,32.041689,118.858993,45.694133
1733987024.000000,32.041699,118.858847,45.727192
1733987025.000000,32.041707,118.858708,46.340104
1733987026.000000,32.041712,118.858566,47.241567
1733987027.000000,32.041718,118.858428,48.257206
1733987028.000000,32.041721,118.858297,48.782553
1733987029.000000,32.041730,118.858171,48.671401
1733987030.000000,32.041735,118.858050,48.759858
1733987031.000000,32.041743,118.857932,49.281304
1733987032.000000,32.041753,118.857817,49.254581
1733987033.000000,32.041765,118.857707,49.487281
1733987034.000000,32.041776,118.857594,49.295274
1733987035.000000,32.041782,118.857484,50.473708
1733987036.000000,32.041795,118.857369,51.176498
1733987037.000000,32.041805,118.857254,51.358142
1733987038.000000,32.041819,118.857143,51.091924
1733987039.000000,32.041839,118.857027,50.277081
1733987040.000000,32.041859,118.856908,49.924468
1733987043.000000,32.041923,118.856527,49.739557
1733987044.000000,32.041948,118.856395,49.947632
1733987045.000000,32.041970,118.856263,49.485303
1733987046.000000,32.041995,118.856125,48.521195
1733987047.000000,32.042019,118.855978,48.366951
1733987048.000000,32.042044,118.855829,48.273132
1733987049.000000,32.042070,118.855677,48.026947
1733987050.000000,32.042099,118.855525,47.597640
1733987051.000000,32.042127,118.855371,47.422643
1733987052.000000,32.042159,118.855220,46.775888
1733987053.000000,32.042188,118.855069,46.341454
1733987054.000000,32.042218,118.854921,46.274268
1733987055.000000,32.042247,118.854775,45.885894
1733987056.000000,32.042277,118.854632,45.628502
1733987057.000000,32.042306,118.854488,45.167158
1733987058.000000,32.042334,118.854340,45.445938
1733987059.000000,32.042366,118.854197,44.768904
1733987060.000000,32.042397,118.854054,44.251116
1733987061.000000,32.042428,118.853908,44.313545
1733987062.000000,32.042458,118.853762,44.038685
1733987063.000000,32.042488,118.853618,43.813073
1733987064.000000,32.042519,118.853473,43.620732
1733987065.000000,32.042549,118.853328,43.778941
1733987066.000000,32.042580,118.853183,43.655236
1733987067.000000,32.042609,118.853036,43.674466
1733987068.000000,32.042637,118.852894,44.235136
1733987069.000000,32.042666,118.852748,44.108877
1733987070.000000,32.042697,118.852602,44.264286
1733987071.000000,32.042728,118.852458,44.070858
1733987072.000000,32.042759,118.852314,44.179634
1733987073.000000,32.042790,118.852168,43.841242
1733987074.000000,32.042821,118.852022,43.546774
1733987075.000000,32.042851,118.851877,43.520229
1733987076.000000,32.042880,118.851733,43.652687
1733987077.000000,32.042908,118.851589,43.550291
1733987078.000000,32.042938,118.851442,43.602447
1733987079.000000,32.042964,118.851296,43.843037
1733987080.000000,32.042988,118.851149,43.564161
1733987081.000000,32.043009,118.851000,43.658544
1733987082.000000,32.043028,118.850852,43.815844
1733987083.000000,32.043042,118.850704,44.253520
1733987084.000000,32.043054,118.850555,44.510260
1733987085.000000,32.043066,118.850404,44.501125
1733987086.000000,32.043075,118.850256,44.628717
1733987087.000000,32.043079,118.850109,44.637442
1733987088.000000,32.043082,118.849959,44.851569
1733987089.000000,32.043083,118.849810,44.758808
1733987090.000000,32.043078,118.849660,44.629724
1733987091.000000,32.043070,118.849512,45.229154
1733987092.000000,32.043059,118.849363,45.360672
1733987093.000000,32.043044,118.849214,45.343452
1733987094.000000,32.043027,118.849068,45.454706
1733987095.000000,32.043008,118.848923,45.971230
1733987096.000000,32.042989,118.848777,46.032382
1733987097.000000,32.042968,118.848634,46.347014
1733987098.000000,32.042942,118.848495,46.442589
1733987099.000000,32.042914,118.848364,46.660638
1733987100.000000,32.042887,118.848218,47.228820
1733987101.000000,32.042857,118.848066,46.744599
1733987102.000000,32.042820,118.847912,46.720287
1733987103.000000,32.042779,118.847746,46.634824
1733987104.000000,32.042737,118.847559,45.937013
1733987105.000000,32.042692,118.847364,45.872285
1733987106.000000,32.042645,118.847164,46.057835
1733987107.000000,32.042601,118.846954,45.540458
1733987108.000000,32.042559,118.846740,44.955740
1733987109.000000,32.042513,118.846519,44.422204
1733987110.000000,32.042466,118.846294,44.120926
1733987111.000000,32.042418,118.846069,44.054991
1733987112.000000,32.042370,118.845840,43.928535
1733987113.000000,32.042322,118.845606,43.582066
1733987114.000000,32.042277,118.845370,42.798049
1733987115.000000,32.042233,118.845135,42.312667
1733987116.000000,32.042193,118.844895,41.761401
1733987117.000000,32.042158,118.844658,41.380543
1733987118.000000,32.042132,118.844417,41.168678
1733987119.000000,32.042111,118.844177,40.509693
1733987120.000000,32.042093,118.843918,40.517750
1733987121.000000,32.042084,118.843629,40.595440
1733987122.000000,32.042082,118.843319,40.637605
1733987123.000000,32.042094,118.842997,40.641785
1733987124.000000,32.042119,118.842680,40.699474
1733987125.000000,32.042158,118.842374,40.923957
1733987126.000000,32.042203,118.842081,41.204373
1733987127.000000,32.042250,118.841800,41.811085
1733987128.000000,32.042302,118.841533,42.558947
1733987129.000000,32.042357,118.841275,42.765862
1733987130.000000,32.042413,118.841025,42.664465
1733987131.000000,32.042467,118.840785,43.429308
1733987132.000000,32.042520,118.840553,43.911781
1733987133.000000,32.042568,118.840332,44.638088
1733987134.000000,32.042617,118.840116,45.083861
1733987135.000000,32.042665,118.839910,45.534030
1733987136.000000,32.042713,118.839708,45.912249
1733987137.000000,32.042758,118.839509,46.567482
1733987138.000000,32.042805,118.839314,47.307708
1733987139.000000,32.042850,118.839120,47.994292
1733987140.000000,32.042893,118.838924,48.700188
1733987141.000000,32.042937,118.838731,48.442118
1733987142.000000,32.042977,118.838545,49.440846
1733987143.000000,32.043098,118.838446,38.684623
1733987144.000000,32.043061,118.838560,115.578000
1733987168.000000,32.043760,118.833519,69.250900
1733987169.000000,32.043923,118.833431,59.093819
1733987170.000000,32.043914,118.833243,59.195398
1733987171.000000,32.043923,118.833053,54.771808
1733987172.000000,32.043925,118.832857,54.421775
1733987173.000000,32.043910,118.832650,52.006086
1733987174.000000,32.043881,118.832455,52.010972
1733987175.000000,32.043849,118.832255,51.378280
1733987176.000000,32.043816,118.832059,51.154192
1733987177.000000,32.043787,118.831870,51.224457
1733987178.000000,32.043754,118.831678,50.953058
1733987179.000000,32.043719,118.831487,50.757779
1733987180.000000,32.043685,118.831294,50.354201
1733987181.000000,32.043650,118.831101,49.746865
1733987182.000000,32.043617,118.830902,49.480465
1733987183.000000,32.043582,118.830705,48.917219
1733987184.000000,32.043548,118.830506,48.950361
1733987185.000000,32.043516,118.830306,48.965327
1733987186.000000,32.043481,118.830105,48.804727
1733987187.000000,32.043446,118.829903,48.899484
1733987188.000000,32.043415,118.829701,48.733629
1733987189.000000,32.043381,118.829500,48.354577
1733987190.000000,32.043347,118.829300,47.748558
1733987191.000000,32.043313,118.829102,47.516508
1733987192.000000,32.043282,118.828906,47.587738
1733987193.000000,32.043248,118.828712,47.237050
