time,E,N,U
1733987000.000000,0.031769,5.900395,13.039462
1733987001.000000,1.280174,7.073940,12.097466
1733987002.000000,1.511674,7.022695,12.507174
1733987003.000000,1.864097,6.857685,14.721588
1733987004.000000,1.451488,6.270863,15.490242
1733987005.000000,0.294036,3.630960,12.027556
1733987006.000000,-0.008335,4.761424,9.044947
1733987007.000000,0.567878,4.592111,9.780317
1733987008.000000,0.714199,3.314199,12.017685
1733987009.000000,1.030199,3.652737,10.945569
1733987010.000000,1.024452,3.348455,12.820077
1733987011.000000,1.160214,4.146909,13.791245
1733987012.000000,0.944474,4.084511,15.495824
1733987013.000000,0.870039,4.675138,14.873882
1733987014.000000,0.354828,4.436771,16.119345
1733987015.000000,-0.127501,5.087817,14.210246
1733987016.000000,0.818497,5.176408,13.025412
1733987017.000000,2.358229,4.700659,12.182347
1733987018.000000,2.879629,4.616315,12.959956
1733987019.000000,3.452826,3.750183,16.617883
1733987020.000000,4.196506,4.239370,16.428803
1733987021.000000,4.780312,3.526726,20.358933
1733987022.000000,2.154429,6.857070,12.820657
1733987023.000000,2.694881,6.989356,9.669486
1733987024.000000,5.354831,1.758688,24.868390
1733987025.000000,5.090327,1.885250,23.370880
1733987026.000000,4.860356,1.078281,23.543238
1733987027.000000,4.819640,0.524759,23.866612
1733987028.000000,5.078602,-0.546394,25.456489
1733987029.000000,4.928117,0.283775,24.828897
1733987030.000000,4.775594,0.188374,25.549082
1733987031.000000,4.525738,-0.134024,27.941396
1733987032.000000,4.476984,0.879515,26.651584
1733987033.000000,4.363281,1.562824,25.019827
1733987034.000000,4.358004,1.897897,24.137088
1733987035.000000,4.736319,1.039926,23.934890
1733987036.000000,3.750262,1.358813,22.600584
1733987037.000000,3.110882,1.246169,20.689227
1733987038.000000,3.088955,1.377294,19.122716
1733987039.000000,3.503821,2.562001,15.938413
1733987040.000000,4.036950,2.289883,16.226884
1733987043.000000,5.421709,1.659030,16.249376
1733987044.000000,3.983365,-2.426921,28.842780
1733987045.000000,3.592794,-3.826374,31.155750
1733987046.000000,0.260463,4.854894,7.926545
1733987047.000000,0.368196,4.863165,7.821108
1733987048.000000,0.498617,4.714757,7.683975
1733987049.000000,0.603572,4.718486,7.201049
1733987050.000000,0.788155,4.806582,7.158339
1733987051.000000,0.641637,4.781590,7.599840
1733987052.000000,0.505485,4.772631,7.881903
1733987053.000000,0.361317,4.853736,8.327401
1733987054.000000,0.324122,4.844669,8.646015
1733987055.000000,0.229153,4.536319,8.497494
1733987056.000000,0.170346,4.350228,8.549933
1733987057.000000,0.572132,5.214864,6.186829
1733987058.000000,0.227783,4.720386,7.568676
1733987059.000000,0.268746,4.959084,7.778223
1733987060.000000,0.330662,5.106594,8.177651
1733987061.000000,0.408969,4.965871,8.361948
1733987062.000000,0.416804,4.971018,7.876668
1733987063.000000,0.777448,5.168169,6.662634
1733987064.000000,0.969780,5.350165,6.135257
1733987065.000000,1.124631,5.262031,6.502762
1733987066.000000,1.007694,5.321628,6.812270
1733987067.000000,0.819909,5.258826,7.151719
1733987068.000000,1.135298,5.489077,7.197136
1733987069.000000,1.023219,5.540192,7.677526
1733987070.000000,0.790876,5.386508,8.555730
1733987071.000000,0.678160,5.216240,8.636306
1733987072.000000,0.966019,5.612121,7.362226
1733987073.000000,0.972286,6.025494,7.611748
1733987074.000000,0.782267,6.085649,8.119648
1733987075.000000,0.722876,6.042091,8.991274
1733987076.000000,0.946403,6.335614,9.364282
1733987077.000000,0.401034,2.974641,4.557100
1733987078.000000,0.354255,3.131662,4.514187
1733987079.000000,0.282531,3.083972,4.834310
1733987080.000000,0.494898,3.213970,4.224866
1733987081.000000,0.433127,3.431951,3.757446
1733987082.000000,0.435039,3.359330,3.892153
1733987083.000000,0.390663,3.189830,4.258198
1733987084.000000,0.241358,3.013675,4.031745
1733987085.000000,0.125581,3.194624,3.788012
1733987086.000000,0.096153,3.308544,4.100533
1733987087.000000,0.236340,3.409838,3.797205
1733987088.000000,0.103797,3.729981,3.756232
1733987089.000000,0.208281,4.074020,2.898203
1733987090.000000,0.301111,3.306933,3.118120
1733987091.000000,0.489350,3.015986,3.476416
1733987092.000000,0.135384,3.335709,4.519866
1733987093.000000,0.103879,3.521833,4.359833
1733987094.000000,0.078144,3.021934,4.909942
1733987095.000000,-0.018016,3.533927,5.324917
1733987096.000000,-0.206277,3.790435,5.725937
1733987097.000000,-0.599276,3.384528,7.870391
1733987098.000000,-0.441238,2.781996,8.440378
1733987099.000000,0.095233,2.048244,9.350617
1733987100.000000,0.361110,1.786634,8.902295
1733987101.000000,-0.092917,1.957003,8.675156
1733987102.000000,0.402074,1.730003,8.018509
