time,lat,lon,height
1733987000.000000,32.042018,118.859072,47.055465
1733987001.000000,32.041971,118.859182,45.008470
1733987002.000000,32.041924,118.859279,44.434178
1733987003.000000,32.041890,118.859373,45.723592
1733987004.000000,32.041862,118.859452,45.605246
1733987005.000000,32.041820,118.859517,41.303557
1733987006.000000,32.041821,118.859587,37.597949
1733987007.000000,32.041829,118.859663,37.635319
1733987008.000000,32.041835,118.859729,39.286685
1733987009.000000,32.041854,118.859791,37.680570
1733987010.000000,32.041861,118.859842,39.147078
1733987011.000000,32.041866,118.859886,39.857247
1733987012.000000,32.041848,118.859913,41.549826
1733987013.000000,32.041820,118.859929,40.962884
1733987014.000000,32.041773,118.859921,42.276347
1733987015.000000,32.041737,118.859889,40.502248
1733987016.000000,32.041705,118.859851,39.558415
1733987017.000000,32.041682,118.859797,39.058349
1733987018.000000,32.041676,118.859709,40.236958
1733987019.000000,32.041672,118.859601,44.335885
1733987020.000000,32.041684,118.859475,44.645806
1733987021.000000,32.041684,118.859335,49.111935
1733987022.000000,32.041721,118.859159,42.113661
1733987023.000000,32.041730,118.859016,39.496490
1733987024.000000,32.041691,118.858900,55.213392
1733987025.000000,32.041701,118.858756,54.247882
1733987026.000000,32.041700,118.858614,54.930240
1733987027.000000,32.041701,118.858477,55.756614
1733987028.000000,32.041697,118.858348,57.837491
1733987029.000000,32.041710,118.858221,57.645899
1733987030.000000,32.041715,118.858097,58.738084
1733987031.000000,32.041720,118.857977,61.418397
1733987032.000000,32.041738,118.857863,60.275586
1733987033.000000,32.041755,118.857750,58.712829
1733987034.000000,32.041770,118.857636,57.753090
1733987035.000000,32.041774,118.857526,57.495892
1733987036.000000,32.041789,118.857403,56.124585
1733987037.000000,32.041801,118.857283,54.242228
1733987038.000000,32.041816,118.857169,52.640717
1733987039.000000,32.041843,118.857058,49.344414
1733987040.000000,32.041860,118.856943,49.545886
1733987043.000000,32.041919,118.856580,49.258378
1733987044.000000,32.041905,118.856435,61.748782
1733987045.000000,32.041916,118.856299,63.935752
1733987046.000000,32.042017,118.856125,40.555547
1733987047.000000,32.042039,118.855980,40.256110
1733987048.000000,32.042062,118.855831,39.894977
1733987049.000000,32.042089,118.855681,39.172051
1733987050.000000,32.042118,118.855530,38.854341
1733987051.000000,32.042147,118.855376,39.010842
1733987052.000000,32.042177,118.855223,38.980905
1733987053.000000,32.042207,118.855071,39.090403
1733987054.000000,32.042237,118.854923,39.077016
1733987055.000000,32.042264,118.854776,38.594495
1733987056.000000,32.042293,118.854631,38.365935
1733987057.000000,32.042330,118.854490,35.753832
