time,E,N,U
1733985000.000000,0.308048,1.820369,0.422627
1733985003.000000,0.216042,1.844988,1.071781
1733985004.000000,0.188389,1.885312,0.738979
1733985005.000000,0.183499,1.848889,0.491188
1733985006.000000,0.126628,1.968646,0.193689
1733985007.000000,0.148960,2.041917,0.323885
1733985008.000000,0.076594,2.093537,0.646343
1733985009.000000,0.235264,2.075064,0.215909
1733985010.000000,0.078670,1.917857,-0.161206
1733985011.000000,-0.026402,1.618678,0.551439
1733985012.000000,-0.200911,1.464901,1.445342
1733985013.000000,0.161387,1.541432,1.788074
1733985014.000000,0.082501,1.334856,-0.091344
1733985015.000000,0.171398,1.211193,-0.174396
1733985016.000000,0.081224,1.351866,-0.658018
1733985017.000000,0.414325,1.488139,-1.401665
1733985018.000000,0.811505,1.864554,-0.199157
1733985019.000000,1.007155,2.211870,-1.140246
1733985020.000000,1.264312,2.380337,-0.023922
1733985021.000000,1.295058,2.585538,-1.082196
1733985022.000000,1.336135,2.246726,-1.514311
1733985023.000000,1.409933,2.288414,-1.893654
1733985024.000000,0.382215,1.810752,-1.194619
1733985025.000000,0.323574,1.661394,-0.985457
1733985026.000000,0.533514,1.705241,-0.395344
1733985027.000000,0.279811,1.394890,-0.615175
1733985028.000000,0.676529,1.970658,-0.099885
1733985029.000000,0.708564,2.126207,-0.493215
1733985030.000000,0.621689,1.860555,-0.901516
1733985031.000000,0.444369,2.086456,-1.218755
1733985032.000000,0.290759,1.800956,-0.914247
1733985033.000000,0.417396,1.541040,-0.804789
1733985034.000000,0.318880,1.462412,-1.393723
1733985035.000000,0.275847,1.289724,-0.578993
1733985036.000000,0.616749,1.337385,-0.659722
1733985037.000000,0.238384,1.187048,-1.393432
1733985038.000000,-0.210579,1.081877,-1.339621
1733985039.000000,-1.211104,0.949582,0.016535
1733985040.000000,-1.040580,1.360128,0.335709
1733985041.000000,-0.684931,1.722188,0.835141
1733985042.000000,-0.001989,1.668105,0.825826
1733985043.000000,0.541791,1.763860,0.913582
1733985044.000000,0.559249,1.835578,-0.405820
1733985045.000000,0.292699,1.967687,0.174248
1733985046.000000,0.242623,1.782004,1.001769
1733985047.000000,0.425716,1.572860,0.903457
1733985048.000000,0.045610,1.857185,0.441923
1733985049.000000,-0.118415,1.941388,2.103332
1733985050.000000,0.138372,1.886829,1.047026
1733985051.000000,0.285760,1.768250,0.610486
1733985052.000000,0.070431,1.909651,1.509656
1733985053.000000,0.091733,1.907902,0.790294
1733985054.000000,0.021401,1.671003,0.365704
1733985055.000000,0.209555,1.640568,0.670859
1733985056.000000,0.269486,1.571761,1.365398
1733985057.000000,0.048348,1.509194,0.508986
1733985058.000000,-0.023818,1.635613,-0.395619
1733985059.000000,0.160128,1.703508,0.968847
1733985060.000000,0.214171,1.552685,1.867766
1733985063.000000,0.122646,1.909269,0.577736
1733985064.000000,0.042340,1.787314,-0.653728
1733985065.000000,-1.639627,1.170648,-2.808192
1733985066.000000,-3.883510,1.954834,2.061655
1733985067.000000,-3.358577,14.117505,-3.588677
1733985068.000000,2.373779,45.482815,-60.006231
1733985096.000000,-4.286491,9.125822,-11.047740
1733985097.000000,-0.976368,0.987421,4.454514
1733985098.000000,0.087940,2.078009,0.833349
1733985099.000000,-1.148847,2.436108,0.277543
1733985100.000000,1.080184,1.491474,3.263071
1733985101.000000,0.749954,1.658451,0.656392
1733985102.000000,1.348627,0.923438,2.880318
1733985103.000000,1.757456,1.209432,1.048174
1733985104.000000,1.455110,1.517080,0.150148
1733985105.000000,0.518699,1.907678,-1.390070
1733985106.000000,3.073981,1.017298,5.311765
1733985107.000000,0.202986,1.926254,-0.353437
1733985108.000000,0.255499,1.980888,0.090992
1733985109.000000,0.441802,1.551017,-0.030008
1733985110.000000,0.133587,2.016890,-0.278788
1733985111.000000,0.237157,2.119375,-1.480213
1733985112.000000,0.546781,1.625323,-0.551004
1733985113.000000,0.201924,1.957774,-2.026714
1733985114.000000,0.347473,1.918240,-2.243213
1733985115.000000,0.925550,1.701083,-0.822151
1733985116.000000,0.726523,1.868036,-1.120589
1733985117.000000,0.552748,1.720578,-0.211526
1733985118.000000,0.653369,1.912086,-1.398268
1733985119.000000,0.857443,1.824520,-1.809467
1733985120.000000,0.841146,1.750159,-1.834150
1733985121.000000,0.929142,1.631311,-0.600666
1733985122.000000,1.141375,1.588447,-0.090780
1733985123.000000,1.257257,1.617976,-0.027825
1733985124.000000,1.427058,1.698830,-0.147029
