time,E,N,U
1733986000.000000,-0.175859,1.453189,1.982870
1733986001.000000,-0.125150,1.108846,3.891778
1733986002.000000,-0.424838,1.898876,3.356496
1733986003.000000,0.143831,1.617127,1.706654
1733986004.000000,0.119170,1.849463,1.813317
1733986005.000000,0.072549,2.051160,2.927665
1733986006.000000,0.171348,2.723687,2.219551
1733986007.000000,-0.080378,2.867964,2.333954
1733986008.000000,-0.340791,2.325067,3.194076
1733986009.000000,0.125808,2.164477,3.796282
1733986010.000000,0.360817,1.390973,2.609314
1733986011.000000,0.324199,2.094095,2.859023
1733986012.000000,0.640368,2.260667,3.867761
1733986013.000000,0.650058,1.597185,4.623040
1733986014.000000,0.381158,1.333463,2.458243
1733986015.000000,0.378078,2.023646,2.892379
1733986016.000000,0.424350,2.193709,1.840660
1733986017.000000,0.138094,2.775930,1.751243
1733986018.000000,-0.251032,2.372178,-0.035730
1733986019.000000,-0.050047,2.354818,-0.363837
1733986020.000000,0.012073,2.355558,-0.242860
1733986022.000000,0.462861,1.958803,-0.973813
1733986023.000000,0.164562,1.838344,-0.789422
1733986024.000000,-0.076594,2.330258,-0.668670
1733986025.000000,-0.105195,2.355375,0.576359
1733986026.000000,0.303779,1.890158,0.704463
1733986027.000000,0.818389,2.849563,1.096601
1733986028.000000,0.684584,2.779710,1.885536
1733986029.000000,0.393142,2.774071,2.118696
1733986030.000000,-0.000779,2.526581,2.621968
1733986031.000000,0.169646,2.120014,2.545818
1733986032.000000,0.065201,1.574192,3.468086
1733986033.000000,-0.016625,1.687453,1.080868
1733986034.000000,0.142589,2.119444,1.467534
1733986035.000000,0.035342,2.195320,1.508936
1733986036.000000,0.129251,2.059486,1.466276
1733986037.000000,0.176376,1.808687,2.321631
1733986038.000000,0.109845,1.844217,2.218541
1733986039.000000,0.142067,1.683440,3.494121
1733986040.000000,-0.027586,1.994531,4.116080
1733986041.000000,-0.019571,2.603312,4.067507
1733986042.000000,0.393018,1.747981,6.029448
1733986043.000000,0.374027,2.165076,5.210882
1733986044.000000,-0.096657,2.155283,5.681752
1733986045.000000,0.171239,2.355473,5.424590
1733986046.000000,0.437954,2.170342,5.384858
1733986047.000000,0.564490,2.705243,3.941648
1733986048.000000,0.910891,2.330146,2.988889
1733986049.000000,0.673063,2.359231,3.136837
1733986050.000000,0.703745,2.234403,1.372718
1733986051.000000,0.027907,1.976245,2.267392
1733986052.000000,0.028526,1.611689,2.181271
1733986053.000000,-0.103853,1.632243,3.059488
1733986054.000000,0.089268,1.588399,2.688173
1733986055.000000,0.000782,2.016100,1.399449
1733986056.000000,-0.044410,2.032444,0.968561
1733986057.000000,-0.057530,2.034007,0.332368
1733986058.000000,-0.107986,2.107286,0.180926
1733986059.000000,0.148779,2.117518,-0.003889
1733986060.000000,0.423026,1.780856,1.219871
1733986061.000000,0.423063,1.858072,2.294642
1733986062.000000,0.219354,1.911281,2.136459
1733986063.000000,0.231457,2.174457,1.198863
1733986064.000000,-0.189905,3.026199,0.570587
1733986065.000000,-0.290165,3.223376,0.563009
1733986066.000000,-0.021544,2.891845,0.084000
1733986067.000000,-0.094854,2.564489,0.297414
1733986068.000000,0.782025,2.663709,1.780991
1733986069.000000,0.598797,2.688703,0.881207
1733986070.000000,0.712738,2.015955,0.022991
1733986071.000000,0.874195,2.176501,0.876622
1733986072.000000,0.445895,2.437607,1.689292
1733986073.000000,0.327947,1.740388,1.531948
1733986074.000000,0.071377,2.064011,0.840470
1733986075.000000,0.162427,2.209837,0.198993
1733986076.000000,0.199432,2.421217,0.310993
1733986077.000000,0.033934,2.416177,-0.250251
1733986078.000000,-0.474654,2.824162,-0.051381
1733986079.000000,-0.159834,2.654256,0.590388
1733986080.000000,-0.231253,2.495825,2.507428
1733986083.000000,0.374901,1.891083,1.595492
1733986084.000000,0.490676,1.486616,1.919974
1733986085.000000,0.004468,1.893716,1.671022
1733986086.000000,-0.001008,2.066874,2.257787
1733986087.000000,-0.239783,2.245153,3.309405
1733986088.000000,-0.162840,2.717370,1.807662
1733986089.000000,0.154222,2.541521,1.521802
1733986090.000000,0.466902,2.113684,0.915998
1733986091.000000,0.603795,2.332731,0.701921
1733986092.000000,0.513792,2.190639,1.004177
1733986093.000000,0.170059,2.452802,1.140616
1733986094.000000,0.159959,2.472304,1.400009
1733986095.000000,-0.220590,2.557192,2.785058
1733986096.000000,-0.333570,2.617110,1.282333
1733986097.000000,-0.035875,2.458070,1.185186
1733986098.000000,0.220749,2.266826,1.881958
1733986099.000000,0.318116,2.277540,2.301165
1733986100.000000,0.417302,2.258631,2.091975
1733986101.000000,0.118021,2.019484,2.580089
1733986102.000000,-0.214406,2.319393,1.846354
1733986103.000000,-0.474936,2.497552,1.594248
1733986104.000000,-0.548874,2.895555,2.899279
1733986105.000000,-0.278277,2.756117,3.126492
1733986106.000000,-0.236612,2.635532,2.135279
1733986107.000000,0.079341,2.606392,1.460119
1733986108.000000,0.012915,2.284692,1.773210
1733986109.000000,-0.126977,2.480499,2.092282
1733986110.000000,0.070688,2.388119,2.318122
1733986111.000000,0.105469,2.481463,2.462021
1733986112.000000,-0.182412,2.336269,3.021657
1733986113.000000,-0.847490,2.622106,4.943982
1733986114.000000,-0.655794,2.536327,4.166724
1733986115.000000,-0.418155,2.282591,4.098447
1733986116.000000,-0.013495,1.818865,4.572245
1733986117.000000,-0.031287,1.945816,3.983655
1733986118.000000,-0.096780,1.884182,3.740042
1733986119.000000,-0.064955,2.056775,3.605102
1733986120.000000,0.031431,2.083153,3.131032
1733986121.000000,0.482758,2.017075,3.742653
1733986122.000000,0.218491,2.066345,3.668177
1733986123.000000,-0.701227,2.234174,3.675823
1733986124.000000,-0.484775,2.745326,1.798219
1733986125.000000,-0.197485,2.284675,1.503719
1733986126.000000,0.099762,2.016293,1.880070
1733986127.000000,-0.072589,2.239859,2.286536
1733986128.000000,0.031350,2.026295,1.858272
1733986129.000000,0.220719,2.078726,1.672928
1733986130.000000,-0.160370,1.872303,2.474944
1733986131.000000,0.598379,1.199335,3.723456
1733986132.000000,0.451758,1.502550,3.526651
1733986133.000000,0.088853,1.674687,3.946561
1733986134.000000,0.097488,1.219937,2.930221
1733986135.000000,0.084639,1.637987,0.693647
1733986136.000000,-0.074158,1.499879,-0.299638
1733986137.000000,-0.334814,1.560304,0.117177
1733986138.000000,0.085395,1.627391,0.255694
1733986139.000000,-0.221630,2.078243,0.100633
1733986140.000000,0.197550,1.952803,0.084365
1733986143.000000,0.416596,1.993928,0.007970
1733986144.000000,0.436044,1.827947,0.345780
1733986145.000000,0.592391,1.657234,0.146178
1733986146.000000,0.566286,1.738693,0.199544
1733986147.000000,0.479961,1.749143,0.376794
1733986148.000000,0.345472,1.817000,0.112622
1733986149.000000,0.498051,1.896257,0.023286
1733986150.000000,0.314115,1.781752,0.240800
1733986151.000000,0.374360,1.781593,0.341684
1733986152.000000,0.353381,1.768215,0.432015
1733986153.000000,0.370835,1.642199,0.519883
1733986154.000000,0.498942,1.491951,0.143159
1733986155.000000,0.430157,1.521928,-0.305574
1733986156.000000,0.397565,1.489413,-0.245584
1733986157.000000,0.279379,1.870915,0.309774
1733986158.000000,0.221494,1.762985,0.067724
1733986159.000000,0.127084,1.783002,-0.423037
1733986160.000000,0.212259,1.790305,-0.294246
1733986161.000000,0.218667,1.535402,-0.303455
1733986162.000000,0.259700,1.529408,0.200246
1733986163.000000,0.292459,1.602388,0.521073
1733986164.000000,0.281217,1.465778,0.863336
1733986165.000000,0.303012,1.711407,0.527574
1733986166.000000,0.299630,1.779311,0.768121
1733986167.000000,0.197335,1.760970,0.698181
1733986168.000000,0.246849,1.628155,0.189302
1733986169.000000,0.151207,1.648993,-0.092255
1733986170.000000,0.166255,1.746617,-0.503209
1733986171.000000,0.190285,1.823108,-0.506034
1733986172.000000,0.231205,1.696204,-0.986349
1733986173.000000,0.151155,1.792785,-0.783085
1733986174.000000,0.105107,1.721721,-0.258953
1733986175.000000,-0.007452,1.862460,-0.155019
1733986176.000000,0.121459,1.874330,-0.046251
1733986177.000000,0.132105,1.838537,-0.204064
1733986178.000000,0.189116,1.793764,0.059968
1733986179.000000,0.297684,1.659219,-0.172010
1733986180.000000,0.285961,1.616926,-0.442814
1733986181.000000,0.228155,1.621902,-0.130265
1733986182.000000,0.165714,1.582702,-0.723636
1733986183.000000,0.114472,1.525386,-0.182831
1733986184.000000,0.207063,1.698658,-0.760881
1733986185.000000,0.245350,1.690696,-0.236749
1733986186.000000,0.241636,1.539224,-0.157877
1733986187.000000,0.246689,1.769607,-0.193428
1733986188.000000,0.426400,1.865290,0.024266
1733986189.000000,0.268065,2.095839,0.146525
1733986190.000000,0.417000,2.447621,0.986794
1733986191.000000,0.061052,2.085837,1.543162
1733986192.000000,-0.217231,1.808288,1.263028
1733986193.000000,-0.247055,1.649014,1.298073
1733986194.000000,-0.237770,1.364283,1.699730
1733986195.000000,-0.152570,1.427480,1.214764
1733986196.000000,-0.077533,1.432953,1.437089
1733986197.000000,-0.116249,1.488110,1.311331
1733986198.000000,-0.107783,1.568365,1.277079
1733986199.000000,-0.137267,1.748281,0.965298
1733986200.000000,-0.076187,1.814888,1.292894
1733986202.000000,0.190011,1.437199,1.281182
1733986203.000000,0.370861,1.259701,1.278432
1733986204.000000,0.350292,1.132585,0.942791
1733986205.000000,0.092173,1.334650,0.580440
1733986206.000000,-0.037733,1.455942,0.677476
1733986207.000000,-0.331562,1.725936,0.738259
1733986208.000000,-0.439615,1.834721,0.547353
