time,lat,lon,height
1733986000.000000,32.050838,118.859277,41.258000
1733986001.000000,32.050928,118.859306,41.543000
1733986002.000000,32.051019,118.859339,41.807000
1733986003.000000,32.051110,118.859372,42.099000
1733986004.000000,32.051200,118.859405,42.431000
1733986005.000000,32.051287,118.859437,42.771000
1733986006.000000,32.051370,118.859467,43.091000
1733986007.000000,32.051452,118.859498,43.411000
1733986008.000000,32.051532,118.859528,43.758000
1733986009.000000,32.051611,118.859558,44.113000
1733986010.000000,32.051688,118.859587,44.455000
1733986011.000000,32.051763,118.859616,44.774000
1733986012.000000,32.051834,118.859642,45.118000
1733986013.000000,32.051898,118.859666,45.441000
1733986014.000000,32.051953,118.859688,45.837000
1733986015.000000,32.052003,118.859709,46.105000
1733986016.000000,32.052045,118.859728,46.281000
1733986017.000000,32.052082,118.859748,46.327000
1733986018.000000,32.052116,118.859768,46.430000
1733986019.000000,32.052148,118.859794,46.572000
1733986020.000000,32.052178,118.859829,46.532000
1733986022.000000,32.052235,118.859923,46.395000
1733986023.000000,32.052259,118.859982,46.286000
1733986024.000000,32.052277,118.860048,46.138000
1733986025.000000,32.052288,118.860116,45.976000
1733986026.000000,32.052293,118.860189,45.871000
1733986027.000000,32.052290,118.860270,45.784000
1733986028.000000,32.052282,118.860363,45.633000
1733986029.000000,32.052268,118.860464,45.492000
1733986030.000000,32.052250,118.860572,45.334000
1733986031.000000,32.052226,118.860682,45.240000
1733986032.000000,32.052195,118.860791,45.121000
1733986033.000000,32.052155,118.860897,45.004000
1733986034.000000,32.052106,118.861000,44.889000
1733986035.000000,32.052047,118.861099,44.855000
1733986036.000000,32.051982,118.861193,44.772000
1733986037.000000,32.051914,118.861284,44.662000
1733986038.000000,32.051850,118.861371,44.576000
1733986039.000000,32.051794,118.861462,44.571000
1733986040.000000,32.051750,118.861557,44.706000
1733986041.000000,32.051719,118.861653,44.930000
1733986042.000000,32.051697,118.861741,45.205000
1733986043.000000,32.051682,118.861814,45.425000
1733986044.000000,32.051669,118.861876,45.644000
1733986045.000000,32.051656,118.861925,45.812000
1733986046.000000,32.051639,118.861961,45.980000
1733986047.000000,32.051613,118.861988,46.135000
1733986048.000000,32.051585,118.862000,46.160000
1733986049.000000,32.051558,118.862000,46.099000
1733986050.000000,32.051521,118.861991,46.005000
1733986051.000000,32.051471,118.861968,45.707000
1733986052.000000,32.051413,118.861936,45.267000
1733986053.000000,32.051356,118.861902,44.997000
1733986054.000000,32.051299,118.861866,44.734000
1733986055.000000,32.051242,118.861831,44.452000
1733986056.000000,32.051188,118.861800,44.180000
1733986057.000000,32.051135,118.861768,43.907000
1733986058.000000,32.051086,118.861734,43.647000
1733986059.000000,32.051044,118.861705,43.458000
1733986060.000000,32.051008,118.861681,43.248000
1733986061.000000,32.050973,118.861666,43.026000
1733986062.000000,32.050941,118.861672,42.900000
1733986063.000000,32.050925,118.861688,42.905000
1733986064.000000,32.050922,118.861692,42.934000
1733986065.000000,32.050924,118.861690,42.938000
1733986066.000000,32.050929,118.861683,42.940000
1733986067.000000,32.050935,118.861673,42.937000
1733986068.000000,32.050939,118.861661,42.931000
1733986069.000000,32.050941,118.861651,42.918000
1733986070.000000,32.050941,118.861648,42.889000
1733986071.000000,32.050943,118.861657,42.918000
1733986072.000000,32.050954,118.861680,43.010000
1733986073.000000,32.050983,118.861703,43.196000
1733986074.000000,32.051027,118.861724,43.463000
1733986075.000000,32.051081,118.861754,43.736000
1733986076.000000,32.051142,118.861795,44.063000
1733986077.000000,32.051209,118.861843,44.438000
1733986078.000000,32.051281,118.861891,44.807000
1733986079.000000,32.051355,118.861936,45.123000
1733986080.000000,32.051425,118.861977,45.517000
1733986083.000000,32.051572,118.862062,46.284000
1733986084.000000,32.051601,118.862082,46.419000
1733986085.000000,32.051626,118.862113,46.619000
1733986086.000000,32.051642,118.862167,46.790000
1733986087.000000,32.051656,118.862246,47.067000
1733986088.000000,32.051676,118.862343,47.417000
1733986089.000000,32.051708,118.862455,47.806000
1733986090.000000,32.051753,118.862576,48.252000
1733986091.000000,32.051805,118.862705,48.772000
1733986092.000000,32.051861,118.862841,49.317000
1733986093.000000,32.051915,118.862977,49.843000
1733986094.000000,32.051966,118.863107,50.367000
1733986095.000000,32.052017,118.863235,50.803000
1733986096.000000,32.052068,118.863360,51.141000
1733986097.000000,32.052119,118.863482,51.350000
1733986098.000000,32.052169,118.863603,51.452000
1733986099.000000,32.052218,118.863721,51.437000
1733986100.000000,32.052266,118.863834,51.384000
1733986101.000000,32.052313,118.863943,51.294000
1733986102.000000,32.052354,118.864051,51.154000
1733986103.000000,32.052388,118.864161,50.881000
1733986104.000000,32.052414,118.864276,50.533000
1733986105.000000,32.052434,118.864397,50.164000
1733986106.000000,32.052448,118.864526,49.795000
1733986107.000000,32.052458,118.864658,49.418000
1733986108.000000,32.052464,118.864793,49.013000
1733986109.000000,32.052466,118.864930,48.622000
1733986110.000000,32.052460,118.865068,48.211000
1733986111.000000,32.052442,118.865204,47.807000
1733986112.000000,32.052406,118.865339,47.358000
1733986113.000000,32.052351,118.865471,46.926000
1733986114.000000,32.052279,118.865597,46.480000
1733986115.000000,32.052188,118.865717,46.004000
1733986116.000000,32.052089,118.865837,45.551000
1733986117.000000,32.051994,118.865954,45.115000
1733986118.000000,32.051904,118.866067,44.672000
1733986119.000000,32.051819,118.866174,44.256000
1733986120.000000,32.051739,118.866276,43.911000
1733986121.000000,32.051665,118.866372,43.639000
1733986122.000000,32.051601,118.866463,43.460000
1733986123.000000,32.051543,118.866551,43.363000
1733986124.000000,32.051488,118.866641,43.308000
1733986125.000000,32.051435,118.866729,43.238000
1733986126.000000,32.051386,118.866813,43.231000
1733986127.000000,32.051347,118.866885,43.256000
1733986128.000000,32.051318,118.866942,43.219000
1733986129.000000,32.051290,118.866980,43.193000
1733986130.000000,32.051262,118.866997,43.113000
1733986131.000000,32.051238,118.866988,42.969000
1733986132.000000,32.051217,118.866958,42.809000
1733986133.000000,32.051192,118.866915,42.642000
1733986134.000000,32.051173,118.866885,42.533000
1733986135.000000,32.051158,118.866863,42.450000
1733986136.000000,32.051145,118.866845,42.399000
1733986137.000000,32.051128,118.866821,42.315000
1733986138.000000,32.051101,118.866790,42.248000
1733986139.000000,32.051062,118.866752,42.148000
1733986140.000000,32.051017,118.866700,42.008000
1733986143.000000,32.050854,118.866486,41.436000
1733986144.000000,32.050794,118.866401,41.213000
1733986145.000000,32.050732,118.866315,41.010000
1733986146.000000,32.050670,118.866227,40.800000
1733986147.000000,32.050610,118.866143,40.583000
1733986148.000000,32.050551,118.866061,40.400000
1733986149.000000,32.050496,118.865983,40.183000
1733986150.000000,32.050444,118.865908,40.003000
1733986151.000000,32.050395,118.865838,39.812000
1733986152.000000,32.050349,118.865770,39.633000
1733986153.000000,32.050302,118.865704,39.515000
1733986154.000000,32.050257,118.865638,39.450000
1733986155.000000,32.050212,118.865573,39.387000
1733986156.000000,32.050168,118.865510,39.341000
1733986157.000000,32.050122,118.865450,39.303000
1733986158.000000,32.050076,118.865393,39.304000
1733986159.000000,32.050026,118.865340,39.314000
1733986160.000000,32.049972,118.865292,39.328000
1733986161.000000,32.049913,118.865251,39.393000
1733986162.000000,32.049848,118.865213,39.446000
1733986163.000000,32.049774,118.865179,39.564000
1733986164.000000,32.049689,118.865154,39.678000
1733986165.000000,32.049594,118.865142,39.808000
1733986166.000000,32.049489,118.865145,39.950000
1733986167.000000,32.049379,118.865157,40.084000
1733986168.000000,32.049271,118.865175,40.230000
1733986169.000000,32.049166,118.865193,40.379000
1733986170.000000,32.049068,118.865212,40.531000
1733986171.000000,32.048975,118.865231,40.626000
1733986172.000000,32.048886,118.865251,40.702000
1733986173.000000,32.048798,118.865269,40.730000
1733986174.000000,32.048711,118.865286,40.690000
1733986175.000000,32.048625,118.865303,40.586000
1733986176.000000,32.048539,118.865320,40.454000
1733986177.000000,32.048455,118.865337,40.311000
1733986178.000000,32.048372,118.865354,40.148000
1733986179.000000,32.048290,118.865371,39.989000
1733986180.000000,32.048213,118.865387,39.865000
1733986181.000000,32.048143,118.865402,39.749000
1733986182.000000,32.048082,118.865416,39.666000
1733986183.000000,32.048030,118.865428,39.554000
