time,E,N,U
1733987000.000000,-0.248916,2.243724,-2.462640
1733987001.000000,0.082560,1.933583,-2.812842
1733987002.000000,-0.028360,1.638244,-1.718584
1733987003.000000,0.031620,1.722167,0.273217
1733987004.000000,0.278792,1.710725,-0.711490
1733987005.000000,0.165531,1.889034,-0.034707
1733987006.000000,0.121548,1.568026,0.726660
1733987007.000000,-0.100065,2.242957,0.289362
1733987008.000000,0.408152,1.872187,1.512839
1733987009.000000,-0.284859,1.653742,3.018169
1733987010.000000,-0.518101,2.149442,3.824608
1733987011.000000,-0.203666,2.195777,3.877287
1733987012.000000,-0.143503,2.600182,2.852888
1733987013.000000,0.042313,2.116152,2.597688
1733987014.000000,0.071804,2.169784,1.643354
1733987015.000000,0.200149,2.068162,1.215742
1733987016.000000,0.554413,1.930029,1.394740
1733987017.000000,0.587134,1.939674,1.468691
1733987018.000000,0.569910,1.877961,1.999244
1733987019.000000,0.713333,1.719126,2.747114
1733987020.000000,0.149129,1.357300,0.617091
1733987021.000000,0.023415,1.345998,0.447468
1733987022.000000,0.087341,1.115514,0.545702
1733987023.000000,-0.005726,0.886256,0.591223
1733987024.000000,-0.561073,1.621645,-1.017642
1733987025.000000,-0.375736,1.758454,-0.835359
1733987026.000000,-0.542607,1.983024,-0.589516
1733987027.000000,-0.640076,1.879616,-0.270884
1733987028.000000,-0.540394,1.619268,-0.572548
1733987029.000000,-0.522478,1.940978,-0.728875
1733987030.000000,-0.507808,1.835853,-0.984468
1733987031.000000,-0.459310,1.761152,-0.566158
1733987032.000000,-0.522542,1.751503,-0.432390
1733987033.000000,-0.305569,1.937792,-0.046534
1733987034.000000,-0.246366,2.003227,-0.430045
1733987035.000000,-0.197526,1.799681,0.208109
1733987036.000000,-0.066302,2.588791,0.124295
1733987037.000000,-0.038287,2.730478,-0.158496
1733987038.000000,0.294865,2.123502,0.439941
1733987039.000000,0.181311,1.911240,0.670342
1733987040.000000,0.235679,2.144138,0.394019
1733987043.000000,-0.033536,2.292434,0.465774
