time,E,N,U
1733985000.000000,-0.290238,0.258291,-0.665657
1733985003.000000,-0.225379,-0.052097,0.477253
1733985004.000000,-0.295450,-0.054564,0.229367
1733985005.000000,-0.265138,-0.100542,0.134504
1733985006.000000,-0.396072,0.040659,-0.093716
1733985007.000000,-0.292886,0.057998,-0.019905
1733985008.000000,-0.418421,0.187526,0.038124
1733985009.000000,-0.403499,-0.012413,0.268747
1733985010.000000,-0.366690,-0.069917,-0.149194
1733985011.000000,-0.276885,0.453501,-0.192416
1733985012.000000,-0.446952,0.399305,0.143046
1733985013.000000,-0.304378,0.132941,1.008022
1733985014.000000,-0.396666,0.072678,1.986630
1733985015.000000,-0.434620,-0.706009,3.266861
1733985016.000000,-1.165413,-1.368822,4.096428
1733985017.000000,-0.324431,-0.764008,2.933875
1733985018.000000,0.254064,-0.003147,1.938604
1733985019.000000,0.652863,0.416399,0.829629
1733985020.000000,0.491527,0.334770,0.700378
1733985021.000000,0.360746,-0.255675,0.507209
1733985022.000000,1.266151,0.435074,-2.030612
1733985023.000000,1.965897,1.496815,-4.461110
1733985024.000000,0.193898,0.849452,-2.721539
1733985025.000000,-0.260214,0.207177,-0.807343
1733985026.000000,-0.066849,0.084801,0.280795
1733985027.000000,-0.049620,0.013538,0.856236
1733985028.000000,0.203812,0.261424,1.039304
1733985029.000000,0.030179,0.232442,1.422430
1733985030.000000,-0.126466,-0.191542,1.579139
1733985031.000000,-0.301442,-0.185044,0.892977
1733985032.000000,-0.207908,0.040524,0.056538
1733985033.000000,-0.173202,-0.201721,-0.257498
1733985034.000000,-0.297573,-0.125196,-0.644557
1733985035.000000,-0.420155,-0.160761,-0.575446
1733985036.000000,-0.271212,-0.169326,-0.259745
1733985037.000000,-0.361973,-0.171437,-0.619587
1733985038.000000,-1.085406,0.063435,-1.035986
1733985039.000000,-1.619770,-0.183081,-0.912370
1733985040.000000,-1.382120,0.204491,-1.020065
1733985041.000000,-1.567648,-0.281374,-0.339595
1733985042.000000,-0.844593,-0.144473,0.080031
1733985043.000000,-0.329184,-0.059240,0.166290
1733985044.000000,-0.163573,-0.048131,-0.030389
1733985045.000000,-0.316799,-0.110811,0.062532
1733985046.000000,-0.403831,-0.147574,0.130232
1733985047.000000,-0.265344,-0.240046,0.253925
1733985048.000000,-0.466561,0.090346,0.052992
1733985049.000000,-0.961322,-0.123532,0.560683
1733985050.000000,-0.702496,-0.187877,0.737003
1733985051.000000,-0.177462,0.032236,1.017669
1733985052.000000,-0.190764,0.231946,1.104556
1733985053.000000,0.137227,0.279847,1.211616
1733985054.000000,0.000362,0.139592,0.800337
1733985055.000000,-0.029345,0.229683,0.511220
1733985056.000000,0.038614,0.138135,0.651038
1733985057.000000,-0.195453,-0.116682,0.630473
1733985058.000000,-0.439618,-0.083083,0.165424
1733985059.000000,-0.148887,0.263994,0.240974
1733985060.000000,0.336011,0.180088,1.151471
1733985063.000000,-0.169264,0.061387,1.558745
1733985064.000000,-0.430694,-0.466689,1.692793
1733985065.000000,-2.008060,-0.641286,0.497045
1733985066.000000,-2.990689,-1.884729,0.684041
1733985067.000000,-7.273964,-8.061459,18.509463
1733985068.000000,-8.335453,-6.005562,46.705182
1733985096.000000,-13.235602,-0.396770,0.094577
1733985097.000000,-2.171160,1.042951,-0.538012
1733985098.000000,0.046858,2.094024,-0.215987
1733985099.000000,-0.543309,0.752771,-1.129171
1733985100.000000,-0.854994,0.449618,0.076922
1733985101.000000,-0.280754,-0.005079,0.916614
1733985102.000000,-0.015020,-0.171947,1.611126
1733985103.000000,-0.022485,-0.177347,2.413003
1733985104.000000,0.506156,0.035637,1.860726
1733985105.000000,-0.638609,0.259522,0.738045
1733985106.000000,0.947151,0.423783,2.146951
1733985107.000000,-0.106754,0.334389,2.048557
1733985108.000000,0.117741,0.489359,0.211616
1733985109.000000,0.367498,0.300884,0.113117
1733985110.000000,0.075153,0.154446,0.238713
1733985111.000000,0.009193,0.195740,0.074337
1733985112.000000,0.124830,-0.121476,0.760153
1733985113.000000,-0.069356,-0.065141,0.472971
1733985114.000000,-0.125035,0.018394,-0.007468
1733985115.000000,0.336821,-0.037038,0.642148
1733985116.000000,0.223016,0.037684,0.658921
1733985117.000000,-0.094390,-0.117288,1.432417
1733985118.000000,-0.011872,-0.190657,1.269317
1733985119.000000,0.197376,-0.334601,1.242256
1733985120.000000,0.309389,-0.327806,0.818332
1733985121.000000,0.390479,-0.233661,0.962608
1733985122.000000,0.542561,-0.172882,0.768339
1733985123.000000,0.870404,-0.185929,0.577559
1733985124.000000,1.142213,-0.161633,0.389019
1733985125.000000,1.245106,-0.057358,0.222558
1733985126.000000,1.097913,0.013073,-0.391972
1733985127.000000,0.960599,0.248399,-0.995265
1733985128.000000,0.784037,0.211845,-0.863287
1733985129.000000,1.101433,1.080173,-1.281889
1733985130.000000,0.778800,0.640340,-1.042496
1733985131.000000,0.451077,0.576819,-1.099704
1733985132.000000,0.232142,0.526129,-1.059972
1733985133.000000,0.024209,0.507980,-1.229746
1733985134.000000,-0.127437,0.432649,-1.010598
1733985135.000000,-0.146145,0.222926,-0.936333
1733985136.000000,-0.147818,-0.037943,-0.909476
1733985137.000000,-0.469172,-0.169046,-0.923222
1733985138.000000,-0.377921,-0.279915,-1.231406
1733985139.000000,-0.225318,-0.371482,-1.159061
1733985140.000000,-0.401525,-0.300148,-1.135922
1733985141.000000,-0.325727,-0.325170,-1.459608
1733985142.000000,-0.251413,-0.382213,-1.460876
1733985143.000000,-0.044060,-0.362008,-1.494823
1733985144.000000,-0.438940,-0.295691,-1.854598
1733985145.000000,-0.321764,-0.174382,-2.471534
1733985146.000000,-0.033008,-0.143914,-3.136948
1733985147.000000,0.152618,-0.167822,-3.743998
1733985148.000000,0.198799,-0.186359,-4.287583
1733985149.000000,-0.096862,0.247454,-3.424841
1733985150.000000,-0.007044,-0.140604,-2.533723
1733985151.000000,-0.089146,-0.456133,-1.518795
1733985152.000000,-0.119087,-0.417705,-0.649967
1733985153.000000,-0.066929,-0.582037,0.246453
1733985154.000000,-0.002058,-0.859180,1.360226
1733985155.000000,0.561216,-0.815891,1.874877
1733985156.000000,1.235876,-0.829369,2.415124
1733985157.000000,1.970765,-0.600875,2.670339
1733985158.000000,2.105184,-0.403117,2.737536
1733985159.000000,2.144667,-0.287988,2.699515
1733985160.000000,2.013393,-0.562336,2.190682
1733985161.000000,1.567130,0.077832,0.372241
1733985162.000000,0.813333,0.355701,-0.840347
1733985163.000000,0.308043,0.399028,-1.463771
1733985164.000000,0.201454,0.383183,-1.483449
1733985165.000000,0.223618,0.298049,-1.491971
1733985166.000000,0.235070,0.498543,-1.012433
1733985167.000000,-0.111708,0.280508,-0.486931
1733985168.000000,0.013839,0.179604,-0.242889
1733985169.000000,0.149976,0.182204,0.501813
1733985170.000000,-0.403516,0.033446,1.817552
1733985171.000000,-0.296853,-0.337504,2.106491
1733985172.000000,-0.469853,-0.311042,1.920414
1733985173.000000,-0.592373,-0.360370,1.423465
1733985174.000000,-0.636672,-0.319012,0.844040
1733985175.000000,-0.369262,-0.578106,1.264073
1733985176.000000,-0.364460,-0.123071,2.447885
1733985177.000000,0.373312,0.459674,2.468402
1733985178.000000,0.866788,0.401018,4.736988
1733985179.000000,1.381143,0.139009,6.370497
1733985180.000000,2.354655,-0.225306,8.441183
1733985182.000000,1.293984,-0.450031,8.931070
1733985183.000000,0.646885,-0.648379,6.947566
1733985184.000000,0.671535,-0.603646,5.506674
1733985185.000000,0.216749,-0.567608,5.033032
1733985186.000000,0.770110,-0.054469,5.788497
1733985187.000000,1.317576,-0.455165,6.379305
1733985188.000000,0.796206,-0.457637,4.850367
1733985189.000000,0.694835,-0.345986,4.362422
1733985190.000000,1.443463,-0.396332,5.370121
1733985191.000000,0.633820,-0.281246,5.611419
1733985192.000000,-0.644876,0.270659,5.193793
1733985193.000000,-0.346941,0.336341,5.209609
1733985194.000000,-0.700412,-0.029799,4.700189
1733985195.000000,-0.185943,-0.466959,5.368448
1733985196.000000,-0.107866,-0.502543,6.019620
1733985197.000000,0.394114,-0.231395,5.004568
1733985198.000000,0.167969,-0.348260,3.941449
1733985199.000000,0.168693,-0.335333,3.254109
1733985200.000000,0.559094,-0.147585,3.218942
1733985201.000000,0.430343,-0.036005,2.908795
1733985202.000000,0.367630,0.343739,2.550802
1733985203.000000,-0.160838,0.093612,2.370272
1733985204.000000,0.030565,-0.476773,3.350949
1733985205.000000,-0.170189,-0.241138,3.225157
1733985206.000000,-0.358445,0.124412,2.262413
1733985207.000000,-0.744979,-0.561151,3.558272
1733985208.000000,-0.115651,0.122356,4.505215
1733985209.000000,-0.171970,-0.161692,6.519931
1733985210.000000,0.637427,-0.154895,7.773607
1733985211.000000,1.290504,-0.065815,8.346397
1733985212.000000,4.716839,1.439847,12.342556
