time,lat,lon,height
1733985000.000000,32.067160,118.810666,15.929343
1733985003.000000,32.067024,118.810870,17.252253
1733985004.000000,32.066982,118.810946,17.096367
1733985005.000000,32.066940,118.811022,17.108504
1733985006.000000,32.066899,118.811099,16.953284
1733985007.000000,32.066853,118.811177,17.154095
1733985008.000000,32.066800,118.811250,17.372124
1733985009.000000,32.066740,118.811323,17.711747
1733985010.000000,32.066677,118.811397,17.454806
1733985011.000000,32.066619,118.811470,17.598584
1733985012.000000,32.066555,118.811541,18.094046
1733985013.000000,32.066490,118.811614,19.145022
1733985014.000000,32.066429,118.811683,20.334630
1733985015.000000,32.066362,118.811753,21.851861
1733985016.000000,32.066293,118.811815,22.873428
1733985017.000000,32.066234,118.811897,21.939875
1733985018.000000,32.066175,118.811977,21.198604
1733985019.000000,32.066111,118.812058,20.337629
1733985020.000000,32.066039,118.812135,20.460378
1733985021.000000,32.065959,118.812216,20.520209
1733985022.000000,32.065888,118.812313,18.273388
1733985023.000000,32.065817,118.812411,16.116890
1733985024.000000,32.065729,118.812483,18.128461
1733985025.000000,32.065640,118.812571,20.342657
1733985026.000000,32.065553,118.812666,21.694795
1733985027.000000,32.065464,118.812762,22.606236
1733985028.000000,32.065376,118.812863,23.116304
1733985029.000000,32.065283,118.812960,23.816430
1733985030.000000,32.065185,118.813053,24.286139
1733985031.000000,32.065088,118.813143,23.927977
1733985032.000000,32.064991,118.813234,23.416538
1733985033.000000,32.064887,118.813321,23.405502
1733985034.000000,32.064787,118.813402,23.349443
1733985035.000000,32.064685,118.813479,23.703554
1733985036.000000,32.064582,118.813556,24.329255
1733985037.000000,32.064480,118.813628,24.256413
1733985038.000000,32.064380,118.813689,24.103015
1733985039.000000,32.064276,118.813750,24.514631
1733985040.000000,32.064175,118.813817,24.622936
1733985041.000000,32.064061,118.813879,25.440405
1733985042.000000,32.063948,118.813947,25.960031
1733985043.000000,32.063832,118.814012,26.077290
1733985044.000000,32.063714,118.814071,25.882611
1733985045.000000,32.063592,118.814123,25.932532
1733985046.000000,32.063469,118.814173,25.875232
1733985047.000000,32.063346,118.814223,25.855925
1733985048.000000,32.063229,118.814265,25.475992
1733985049.000000,32.063109,118.814299,25.742683
1733985050.000000,32.062988,118.814338,25.682003
1733985051.000000,32.062869,118.814377,25.708669
1733985052.000000,32.062747,118.814406,25.482556
1733985053.000000,32.062620,118.814435,25.269616
1733985054.000000,32.062487,118.814458,24.554337
1733985055.000000,32.062352,118.814476,24.008220
1733985056.000000,32.062213,118.814493,23.891038
1733985057.000000,32.062070,118.814503,23.658473
1733985058.000000,32.061929,118.814508,23.001424
1733985059.000000,32.061796,118.814515,22.903974
1733985060.000000,32.061669,118.814521,23.627471
1733985063.000000,32.061309,118.814499,23.501745
1733985064.000000,32.061181,118.814486,23.506793
1733985065.000000,32.061050,118.814460,22.074045
1733985066.000000,32.060906,118.814442,22.042042
1733985067.000000,32.060716,118.814389,39.644472
1733985068.000000,32.060599,118.814369,67.632191
1733985096.000000,32.056876,118.814127,16.323591
1733985097.000000,32.056787,118.814242,15.655989
1733985098.000000,32.056681,118.814249,15.107013
1733985099.000000,32.056556,118.814241,14.077829
1733985100.000000,32.056445,118.814237,15.188922
1733985101.000000,32.056335,118.814244,15.690614
1733985102.000000,32.056230,118.814250,16.231126
1733985103.000000,32.056127,118.814255,16.845003
1733985104.000000,32.056024,118.814268,16.170726
1733985105.000000,32.055920,118.814265,14.868045
1733985106.000000,32.055819,118.814292,16.137951
1733985107.000000,32.055719,118.814292,15.886557
1733985108.000000,32.055622,118.814307,13.887616
1733985109.000000,32.055524,118.814323,13.632117
1733985110.000000,32.055429,118.814334,13.625713
1733985111.000000,32.055347,118.814344,13.356337
1733985112.000000,32.055277,118.814354,13.956153
1733985113.000000,32.055223,118.814358,13.579971
1733985114.000000,32.055179,118.814364,13.038532
1733985115.000000,32.055141,118.814373,13.634148
