time,E,N,U
1733986000.000000,-0.992043,-0.402432,3.533571
1733986001.000000,-1.206746,-0.566132,2.009837
1733986002.000000,-1.954599,0.058299,0.638719
1733986003.000000,-1.082740,-0.557532,1.840290
1733986004.000000,-1.253174,-0.656484,3.216964
1733986005.000000,-0.808152,-0.126981,2.056398
1733986006.000000,-1.010569,0.468083,1.141423
1733986007.000000,-1.004120,0.907382,0.768724
1733986008.000000,-1.633301,0.231785,1.335506
1733986009.000000,-1.019249,-0.065672,2.477726
1733986010.000000,-0.817046,-1.338267,3.613194
1733986011.000000,-0.277549,-0.446215,3.861631
1733986012.000000,-0.259565,-0.408257,3.276756
1733986013.000000,-0.369612,-0.205331,3.635993
1733986014.000000,-0.652459,-1.004308,2.998946
1733986015.000000,-0.901152,-0.720345,3.770435
1733986016.000000,-0.818559,-0.691779,3.423223
1733986017.000000,-1.228557,0.142593,2.944508
1733986018.000000,-1.113629,0.297478,0.828293
1733986019.000000,-0.767744,0.427182,-0.505256
1733986020.000000,-0.564096,0.343441,-0.783661
1733986022.000000,-0.406834,-0.124345,-0.854176
1733986023.000000,-0.655970,0.114328,-0.840630
1733986024.000000,-0.584335,0.305573,-0.718350
1733986025.000000,-0.645580,0.451397,-0.461989
1733986026.000000,-0.274231,0.250052,-0.298766
1733986027.000000,0.046765,0.701024,0.002667
1733986028.000000,0.086925,0.670195,0.184606
1733986029.000000,-0.025787,0.591735,0.029459
1733986030.000000,-0.522405,0.511120,0.116656
1733986031.000000,-0.242097,0.143908,0.037221
1733986032.000000,-0.275776,0.094358,0.207975
1733986033.000000,0.030644,-0.022905,-0.298861
1733986034.000000,-0.404142,-0.087616,-0.299691
1733986035.000000,-0.439088,0.193405,-0.702267
1733986036.000000,-0.505632,0.074687,-0.349099
1733986037.000000,-0.415697,0.231426,-0.357474
1733986038.000000,-0.476406,0.315548,-0.796333
1733986039.000000,-0.244837,-0.016638,-0.551544
1733986040.000000,-0.342341,0.199512,-0.060359
1733986041.000000,-0.156335,0.348175,0.696987
1733986042.000000,0.363807,-0.192537,1.562352
1733986043.000000,0.343828,-0.303720,1.988423
1733986044.000000,0.021567,-0.296629,1.782854
1733986045.000000,-0.042547,0.420000,2.164070
1733986046.000000,-0.336916,-0.100201,2.747002
1733986047.000000,-0.689924,-0.489159,2.764883
1733986048.000000,-0.402575,-0.954048,2.990449
1733986049.000000,-0.647040,-0.205764,2.934922
1733986050.000000,0.034788,-0.047614,1.900788
1733986051.000000,-0.136224,0.540130,0.856685
1733986052.000000,-0.413561,0.203060,0.417900
1733986053.000000,-0.238748,0.177875,0.900473
1733986054.000000,-0.387986,0.036424,0.941780
1733986055.000000,-0.429145,0.342071,0.057738
1733986056.000000,-0.520215,0.417900,-0.479900
1733986057.000000,-0.481569,0.430612,-0.505218
1733986058.000000,-0.715142,0.392877,-0.682014
1733986059.000000,-0.540079,0.451974,-0.864707
1733986060.000000,-0.322818,0.226791,-0.660797
1733986061.000000,-0.357042,0.250624,-0.016145
1733986062.000000,-0.358974,-0.175411,0.101223
1733986063.000000,-0.541768,-0.082068,0.208465
1733986064.000000,-0.854796,0.477202,0.742877
1733986065.000000,-1.216298,1.099523,0.998257
1733986066.000000,-0.684240,0.755231,-0.399663
1733986067.000000,-0.766505,0.616297,-0.774478
1733986068.000000,-0.116104,0.613567,0.519460
1733986069.000000,-0.090567,0.262475,0.738896
1733986070.000000,-0.019059,-0.624330,-0.611644
1733986071.000000,-0.166201,-0.674736,-0.754199
1733986072.000000,-0.544999,0.210373,-0.283961
1733986073.000000,-0.159409,-0.096203,0.379737
1733986074.000000,0.165993,0.248768,0.819714
1733986075.000000,0.011615,0.292689,0.511993
1733986076.000000,-0.285117,0.653067,0.401382
1733986077.000000,-0.395333,0.375779,0.085359
1733986078.000000,-0.949793,0.488080,-0.548923
1733986079.000000,-0.639431,0.822350,-0.410819
1733986080.000000,-0.399574,0.785108,-0.132744
1733986083.000000,0.248393,-0.170300,2.079650
1733986084.000000,0.207046,-0.405843,2.275371
1733986085.000000,-0.345329,-0.464643,1.573934
1733986086.000000,-0.790864,-0.097398,0.956339
1733986087.000000,-0.673087,0.820052,0.512714
1733986088.000000,-0.545680,1.005690,-0.644269
1733986089.000000,-0.510426,0.698381,-0.542423
1733986090.000000,-0.246369,0.429109,-0.360495
1733986091.000000,-0.187623,0.403076,-0.386918
1733986092.000000,-0.093484,0.243712,-0.611910
1733986093.000000,-0.241856,0.320926,-0.471285
1733986094.000000,-0.155584,0.413011,-0.616189
1733986095.000000,-1.040018,0.937006,-1.452110
1733986096.000000,-1.284742,0.990014,-1.545302
1733986097.000000,-0.939434,0.649531,-1.381808
1733986098.000000,-0.387878,0.260720,-0.762650
1733986099.000000,-0.239357,0.007187,-0.244605
