time,E,N,U
1733987000.000000,-2.800888,-1.107998,-3.528469
1733987001.000000,-1.929455,-0.876166,-2.759322
1733987002.000000,-1.433798,-0.745487,-1.951498
1733987003.000000,-1.162832,-0.436665,-1.296661
1733987004.000000,-1.076099,-0.616417,-1.482797
1733987005.000000,-0.755501,0.162413,-1.264468
1733987006.000000,-0.708218,-0.525377,-0.716688
1733987007.000000,-0.741882,-0.006112,-0.282044
1733987008.000000,-0.379155,-0.185049,0.446517
1733987009.000000,-0.663099,-0.035209,0.872150
1733987010.000000,-1.119027,0.365886,2.588201
1733987011.000000,-0.979240,0.248129,3.341519
1733987012.000000,-1.157806,0.402877,2.668038
1733987013.000000,-0.913409,0.283091,2.598465
1733987014.000000,-1.054711,0.024931,2.311425
1733987015.000000,-0.850143,-0.141280,2.185977
1733987016.000000,-0.553826,0.118773,2.177024
1733987017.000000,-0.386029,0.045349,1.935941
1733987018.000000,-0.070316,-0.252434,1.697931
1733987019.000000,-0.164533,-0.146264,1.449882
1733987020.000000,-0.134846,0.021645,0.486546
1733987021.000000,-0.584282,0.189702,-0.523182
1733987022.000000,-0.548541,0.304734,-1.103248
1733987023.000000,-0.627093,0.282837,-1.637120
1733987024.000000,-1.338264,1.326350,-3.352820
1733987025.000000,-1.348262,1.390279,-4.393046
1733987026.000000,-1.404890,1.234591,-4.281987
1733987027.000000,-1.580283,1.340706,-4.429060
1733987028.000000,-1.270565,0.773599,-3.589272
1733987029.000000,-1.430078,0.906259,-3.041081
1733987030.000000,-1.484098,0.858404,-2.592725
1733987031.000000,-1.385334,0.863983,-2.685664
1733987032.000000,-1.549059,0.537245,-2.686902
1733987033.000000,-1.525463,0.515057,-2.454648
1733987034.000000,-1.513163,0.259677,-2.363951
1733987035.000000,-1.269600,0.236462,-2.145888
1733987036.000000,-1.557500,0.545125,-1.033755
1733987037.000000,-1.213887,0.884858,-0.856171
1733987038.000000,-0.782531,0.415305,-0.943796
1733987039.000000,-0.815200,0.302539,-0.675490
1733987040.000000,-0.911935,0.324901,-0.628514
1733987043.000000,-0.971832,0.506620,-0.633754
1733987044.000000,-0.870258,1.428206,-1.940635
1733987045.000000,-1.143672,1.304884,-3.290402
1733987046.000000,-0.980363,0.091641,-1.245578
1733987047.000000,-0.825413,0.117529,-0.432970
1733987048.000000,-0.757663,0.004984,0.210071
1733987049.000000,-0.732523,0.067730,0.293122
1733987050.000000,-0.772130,0.000598,0.433851
1733987051.000000,-0.906145,-0.000559,0.500481
1733987052.000000,-0.879700,0.205425,0.352396
1733987053.000000,-0.905103,0.205046,0.213286
1733987054.000000,-1.000877,0.238448,0.285433
1733987055.000000,-0.760946,0.234988,0.133256
1733987056.000000,-0.811275,0.146302,0.267133
1733987057.000000,-0.740745,0.104116,-0.080340
1733987058.000000,-0.930867,-0.027148,0.138919
1733987059.000000,-0.880899,0.078097,0.230876
1733987060.000000,-0.775390,0.225008,-0.014339
1733987061.000000,-0.969042,0.095472,0.015141
1733987062.000000,-0.914349,0.140137,-0.314896
1733987063.000000,-0.885787,0.323391,-0.817183
1733987064.000000,-0.715972,0.424706,-1.288537
