time,lat,lon,height
1733987000.000000,32.041954,118.859042,30.487532
1733987001.000000,32.041899,118.859148,30.151679
1733987002.000000,32.041854,118.859248,29.975502
1733987003.000000,32.041825,118.859340,29.705339
1733987004.000000,32.041800,118.859425,28.632203
1733987005.000000,32.041788,118.859506,28.011532
1733987006.000000,32.041773,118.859579,27.836312
1733987007.000000,32.041787,118.859649,27.572956
1733987008.000000,32.041804,118.859717,27.715517
1733987009.000000,32.041821,118.859773,27.607150
1733987010.000000,32.041834,118.859819,28.915201
1733987011.000000,32.041831,118.859863,29.407519
1733987012.000000,32.041815,118.859891,28.722038
1733987013.000000,32.041780,118.859910,28.687465
1733987014.000000,32.041733,118.859906,28.468425
1733987015.000000,32.041690,118.859881,28.477977
1733987016.000000,32.041660,118.859836,28.710024
1733987017.000000,32.041640,118.859768,28.811941
1733987018.000000,32.041633,118.859678,28.974931
1733987019.000000,32.041637,118.859562,29.167882
1733987020.000000,32.041646,118.859429,28.703546
1733987021.000000,32.041654,118.859278,28.229818
1733987022.000000,32.041662,118.859130,28.189752
1733987023.000000,32.041670,118.858981,28.189880
1733987024.000000,32.041687,118.858829,26.992180
1733987025.000000,32.041696,118.858688,26.483954
1733987026.000000,32.041701,118.858548,27.105013
1733987027.000000,32.041708,118.858410,27.460941
1733987028.000000,32.041709,118.858281,28.791728
1733987029.000000,32.041716,118.858154,29.775919
1733987030.000000,32.041721,118.858031,30.596276
1733987031.000000,32.041729,118.857914,30.791336
1733987032.000000,32.041735,118.857799,30.937098
1733987033.000000,32.041746,118.857687,31.238352
1733987034.000000,32.041755,118.857574,31.252050
1733987035.000000,32.041767,118.857463,31.415113
1733987036.000000,32.041782,118.857346,32.490246
1733987037.000000,32.041798,118.857237,32.696829
1733987038.000000,32.041807,118.857128,32.574204
1733987039.000000,32.041823,118.857012,32.730510
1733987040.000000,32.041842,118.856891,32.690486
1733987043.000000,32.041909,118.856512,32.375246
1733987044.000000,32.041940,118.856384,30.965365
1733987045.000000,32.041962,118.856249,29.489598
1733987046.000000,32.041974,118.856112,31.383422
1733987047.000000,32.041996,118.855968,32.002030
1733987048.000000,32.042020,118.855818,32.421071
1733987049.000000,32.042047,118.855667,32.264122
1733987050.000000,32.042075,118.855513,32.129851
1733987051.000000,32.042104,118.855359,31.911481
1733987052.000000,32.042135,118.855208,31.451396
1733987053.000000,32.042165,118.855057,30.976286
1733987054.000000,32.042195,118.854908,30.716434
1733987055.000000,32.042226,118.854765,30.230256
1733987056.000000,32.042255,118.854620,30.083133
1733987057.000000,32.042284,118.854476,29.486660
1733987058.000000,32.042313,118.854328,29.455919
1733987059.000000,32.042343,118.854183,29.326876
1733987060.000000,32.042376,118.854041,28.860661
1733987061.000000,32.042406,118.853894,28.676141
1733987062.000000,32.042437,118.853750,28.168104
1733987063.000000,32.042468,118.853605,27.477817
1733987064.000000,32.042499,118.853462,26.820463
1733987065.000000,32.042529,118.853316,26.893694
1733987066.000000,32.042559,118.853170,27.207276
1733987067.000000,32.042588,118.853024,27.287416
1733987068.000000,32.042616,118.852878,27.526564
1733987069.000000,32.042645,118.852732,27.532615
1733987070.000000,32.042677,118.852587,27.416563
1733987071.000000,32.042708,118.852442,27.561918
1733987072.000000,32.042737,118.852299,27.950949
1733987073.000000,32.042767,118.852153,28.134379
1733987074.000000,32.042799,118.852008,27.807715
1733987075.000000,32.042827,118.851864,27.441485
1733987076.000000,32.042857,118.851718,27.436085
1733987077.000000,32.042889,118.851578,27.705934
1733987078.000000,32.042919,118.851433,27.778322
1733987079.000000,32.042946,118.851287,28.207561
1733987080.000000,32.042969,118.851140,28.374986
1733987081.000000,32.042990,118.850991,28.649311
1733987082.000000,32.043009,118.850842,28.860530
1733987083.000000,32.043024,118.850694,29.018544
1733987084.000000,32.043035,118.850544,29.377603
1733987085.000000,32.043047,118.850395,29.291199
1733987086.000000,32.043055,118.850246,29.266539
1733987087.000000,32.043058,118.850098,29.234929
1733987088.000000,32.043061,118.849948,29.153842
1733987089.000000,32.043062,118.849799,29.031121
1733987090.000000,32.043057,118.849649,29.123885
1733987091.000000,32.043049,118.849501,29.492390
1733987092.000000,32.043039,118.849353,29.840204
1733987093.000000,32.043024,118.849204,30.315245
1733987094.000000,32.043008,118.849057,30.582713
1733987095.000000,32.042990,118.848912,30.618800
1733987096.000000,32.042969,118.848769,30.695765
1733987097.000000,32.042948,118.848627,30.801236
1733987098.000000,32.042923,118.848486,30.892129
1733987099.000000,32.042898,118.848352,30.631812
1733987100.000000,32.042870,118.848207,30.717067
1733987101.000000,32.042842,118.848054,30.615879
1733987102.000000,32.042806,118.847895,30.092644
1733987103.000000,32.042763,118.847727,30.071320
1733987104.000000,32.042718,118.847545,29.957180
1733987105.000000,32.042671,118.847352,30.023051
1733987106.000000,32.042627,118.847148,30.124632
1733987107.000000,32.042581,118.846943,30.227939
1733987108.000000,32.042538,118.846729,30.021567
1733987109.000000,32.042493,118.846509,29.660839
1733987110.000000,32.042445,118.846283,29.313644
1733987111.000000,32.042398,118.846057,28.819603
1733987112.000000,32.042352,118.845828,28.454569
1733987113.000000,32.042303,118.845595,28.158400
1733987114.000000,32.042256,118.845360,27.823347
1733987115.000000,32.042213,118.845125,27.429976
1733987116.000000,32.042172,118.844886,26.908738
1733987117.000000,32.042138,118.844648,26.689076
1733987118.000000,32.042111,118.844409,26.306354
1733987119.000000,32.042089,118.844168,25.762861
1733987120.000000,32.042071,118.843908,25.927880
1733987121.000000,32.042063,118.843619,26.002410
1733987122.000000,32.042061,118.843307,26.158002
1733987123.000000,32.042073,118.842986,25.857212
1733987124.000000,32.042098,118.842668,25.922419
1733987125.000000,32.042137,118.842363,25.808834
1733987126.000000,32.042182,118.842071,25.933340
1733987127.000000,32.042231,118.841789,26.309385
1733987128.000000,32.042285,118.841521,26.966479
1733987129.000000,32.042340,118.841265,27.327166
1733987130.000000,32.042395,118.841016,27.481021
1733987131.000000,32.042448,118.840776,28.076843
1733987132.000000,32.042502,118.840543,28.643086
1733987133.000000,32.042549,118.840321,28.957679
1733987134.000000,32.042598,118.840107,29.447415
1733987135.000000,32.042648,118.839900,29.937545
1733987136.000000,32.042696,118.839698,30.518214
1733987137.000000,32.042740,118.839498,30.977451
1733987138.000000,32.042787,118.839304,31.245666
1733987139.000000,32.042833,118.839106,31.456941
1733987140.000000,32.042878,118.838909,32.518305
1733987141.000000,32.042923,118.838718,32.343311
1733987142.000000,32.042965,118.838524,32.099342
1733987143.000000,32.043013,118.838324,29.201243
1733987144.000000,32.043041,118.838109,30.192654
1733987168.000000,32.044011,118.833737,30.123645
1733987169.000000,32.043923,118.833405,41.747635
1733987170.000000,32.043913,118.833222,41.654872
1733987171.000000,32.043912,118.833031,40.521246
1733987172.000000,32.043897,118.832839,39.744032
1733987173.000000,32.043884,118.832640,37.927619
1733987174.000000,32.043858,118.832443,36.557431
1733987175.000000,32.043827,118.832243,35.720044
1733987176.000000,32.043794,118.832048,36.108689
1733987177.000000,32.043761,118.831858,36.404355
1733987178.000000,32.043730,118.831667,36.075367
1733987179.000000,32.043698,118.831478,35.673392
1733987180.000000,32.043666,118.831285,35.549392
1733987181.000000,32.043631,118.831089,35.197903
1733987182.000000,32.043598,118.830891,34.644989
1733987183.000000,32.043564,118.830694,34.104050
1733987184.000000,32.043529,118.830495,33.334181
1733987185.000000,32.043495,118.830295,32.447950
1733987186.000000,32.043463,118.830094,31.987485
1733987187.000000,32.043428,118.829893,31.763447
1733987188.000000,32.043392,118.829689,31.509065
1733987189.000000,32.043357,118.829487,30.999714
1733987190.000000,32.043324,118.829289,30.939388
1733987191.000000,32.043292,118.829091,30.668566
1733987192.000000,32.043260,118.828895,30.684249
1733987193.000000,32.043228,118.828702,30.711129
1733987194.000000,32.043197,118.828513,31.088163
1733987195.000000,32.043158,118.828328,31.030592
1733987196.000000,32.043115,118.828148,31.068282
1733987197.000000,32.043066,118.827972,30.422630
1733987198.000000,32.043016,118.827796,30.049539
1733987199.000000,32.042957,118.827623,29.886211
1733987200.000000,32.042894,118.827451,29.428333
1733987201.000000,32.042829,118.827283,29.170373
1733987202.000000,32.042760,118.827116,28.909551
1733987203.000000,32.042684,118.826948,28.461939
1733987204.000000,32.042600,118.826785,27.791792
1733987205.000000,32.042506,118.826623,27.523976
1733987206.000000,32.042407,118.826461,26.993138
1733987207.000000,32.042308,118.826294,26.460336
1733987208.000000,32.042208,118.826130,26.342513
1733987209.000000,32.042106,118.825965,26.343039
1733987210.000000,32.042002,118.825798,25.981938
1733987211.000000,32.041900,118.825630,25.608356
1733987212.000000,32.041799,118.825464,25.446094
1733987213.000000,32.041698,118.825304,25.246590
1733987214.000000,32.041595,118.825147,24.629219
1733987215.000000,32.041496,118.824988,23.728106
1733987216.000000,32.041397,118.824825,23.100777
1733987217.000000,32.041299,118.824662,22.801970
1733987218.000000,32.041208,118.824498,22.419033
1733987219.000000,32.041127,118.824335,22.246729
1733987220.000000,32.041059,118.824177,22.361136
1733987221.000000,32.041004,118.824025,22.474586
1733987222.000000,32.040959,118.823880,22.644263
1733987223.000000,32.040922,118.823745,22.738985
1733987224.000000,32.040895,118.823629,22.627945
1733987225.000000,32.040875,118.823528,22.466058
1733987226.000000,32.040862,118.823448,22.392019
1733987227.000000,32.040853,118.823391,22.491513
1733987228.000000,32.040850,118.823348,22.595521
1733987229.000000,32.040845,118.823322,22.767319
1733987230.000000,32.040844,118.823311,22.745535
1733987231.000000,32.040846,118.823304,22.571289
1733987232.000000,32.040844,118.823301,22.082059
1733987233.000000,32.040843,118.823298,21.771651
1733987234.000000,32.040843,118.823298,21.509191
1733987235.000000,32.040845,118.823297,21.531287
1733987236.000000,32.040845,118.823297,21.825137
1733987237.000000,32.040844,118.823297,22.035762
1733987238.000000,32.040843,118.823298,22.278476
1733987239.000000,32.040843,118.823298,22.243875
1733987240.000000,32.040842,118.823299,22.264801
1733987241.000000,32.040841,118.823301,22.354662
1733987242.000000,32.040841,118.823302,22.149983
1733987243.000000,32.040841,118.823301,21.648019
1733987244.000000,32.040840,118.823300,21.316133
1733987245.000000,32.040840,118.823301,21.242638
1733987246.000000,32.040842,118.823302,21.225831
1733987247.000000,32.040842,118.823302,21.163896
1733987248.000000,32.040842,118.823304,21.221025
1733987249.000000,32.040843,118.823303,21.393578
1733987250.000000,32.040842,118.823305,21.644456
1733987251.000000,32.040842,118.823303,21.750399
1733987252.000000,32.040843,118.823304,22.004937
1733987253.000000,32.040841,118.823305,22.248682
1733987254.000000,32.040840,118.823305,22.292823
1733987255.000000,32.040840,118.823305,22.365232
1733987256.000000,32.040841,118.823305,22.401140
1733987257.000000,32.040841,118.823305,22.431572
1733987258.000000,32.040841,118.823306,22.761083
1733987259.000000,32.040843,118.823307,22.926429
1733987260.000000,32.040844,118.823308,23.254688
1733987261.000000,32.040843,118.823310,23.480418
1733987262.000000,32.040845,118.823310,23.743764
1733987263.000000,32.040843,118.823311,23.737959
1733987264.000000,32.040844,118.823311,23.635750
1733987265.000000,32.040844,118.823310,23.569099
1733987266.000000,32.040844,118.823311,23.431799
1733987267.000000,32.040841,118.823309,23.671183
1733987268.000000,32.040839,118.823309,23.549131
1733987269.000000,32.040839,118.823308,23.429192
1733987270.000000,32.040839,118.823307,23.370143
1733987271.000000,32.040839,118.823306,23.199202
1733987272.000000,32.040838,118.823307,23.444940
1733987273.000000,32.040839,118.823307,23.526328
1733987274.000000,32.040839,118.823310,23.571994
1733987275.000000,32.040837,118.823310,23.792496
1733987276.000000,32.040839,118.823304,23.109254
1733987277.000000,32.040838,118.823289,22.570970
1733987278.000000,32.040835,118.823265,22.208026
1733987279.000000,32.040833,118.823234,22.051474
1733987280.000000,32.040831,118.823197,21.851734
1733987283.000000,32.040827,118.823057,22.165452
1733987284.000000,32.040827,118.823014,22.056358
1733987285.000000,32.040824,118.822975,22.288776
1733987286.000000,32.040824,118.822944,22.044164
1733987287.000000,32.040824,118.822919,21.786027
1733987288.000000,32.040824,118.822896,21.604527
1733987289.000000,32.040822,118.822877,21.676012
1733987290.000000,32.040822,118.822860,21.712663
1733987291.000000,32.040821,118.822843,22.149879
1733987292.000000,32.040824,118.822824,22.078420
1733987293.000000,32.040822,118.822809,22.264639
1733987294.000000,32.040822,118.822796,22.390213
1733987295.000000,32.040826,118.822787,22.773608
1733987296.000000,32.040828,118.822776,23.061466
1733987297.000000,32.040826,118.822765,22.893461
1733987298.000000,32.040829,118.822757,22.280616
1733987299.000000,32.040825,118.822757,22.816137
1733987300.000000,32.040825,118.822759,23.344337
1733987301.000000,32.040823,118.822760,23.922059
1733987302.000000,32.040822,118.822761,24.164653
1733987303.000000,32.040823,118.822761,24.207674
1733987304.000000,32.040826,118.822763,24.007172
1733987305.000000,32.040827,118.822764,23.536709
1733987306.000000,32.040829,118.822766,23.399579
1733987307.000000,32.040828,118.822765,23.285156
1733987308.000000,32.040829,118.822764,23.187051
1733987309.000000,32.040830,118.822763,23.180847
1733987310.000000,32.040830,118.822763,22.980995
1733987311.000000,32.040832,118.822763,22.859530
1733987312.000000,32.040832,118.822764,22.882980
1733987313.000000,32.040832,118.822764,23.049887
1733987314.000000,32.040831,118.822764,23.289731
1733987315.000000,32.040830,118.822763,23.297409
1733987316.000000,32.040831,118.822763,23.206565
1733987317.000000,32.040831,118.822763,23.091000
1733987318.000000,32.040830,118.822763,23.057837
1733987319.000000,32.040830,118.822762,22.954471
1733987320.000000,32.040831,118.822762,22.797295
1733987321.000000,32.040832,118.822761,22.465610
1733987322.000000,32.040828,118.822758,22.517913
1733987323.000000,32.040826,118.822758,22.308313
1733987324.000000,32.040831,118.822758,21.866360
1733987325.000000,32.040832,118.822757,21.570870
1733987326.000000,32.040832,118.822756,21.304726
1733987327.000000,32.040832,118.822755,21.193440
1733987328.000000,32.040831,118.822753,21.157040
1733987329.000000,32.040831,118.822752,21.164690
1733987330.000000,32.040830,118.822752,21.199975
1733987331.000000,32.040830,118.822752,21.220840
1733987332.000000,32.040830,118.822752,21.105118
1733987333.000000,32.040830,118.822753,21.001827
1733987334.000000,32.040830,118.822754,21.041737
1733987335.000000,32.040829,118.822756,21.164736
1733987336.000000,32.040829,118.822757,21.254485
